,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
0,2MASS J16085953-3856275,Alcala 2017,0.023677,0.29,,,,,
1,2MASS J15414081-3345188,Alcala 2017,0.045801999999999995,0.26,6.3099999999999996e-12,3.0692261264321893e-12,8.864854732874266e-12,1.2348882281580412e-11,8.094321046962289e-12
2,2MASS J16083733-3923109,Alcala 2017,0.031800999999999996,0.22,2.5099999999999996e-12,,,,
3,ISO-Oph 033,Comeron 2010,0.047607,0.64,9.5e-10,,,,
4,ISO-Oph 023,Gatti 2006,0.058417,0.43,2.0400000000000002e-10,,1.811885181058427e-11,1.1730863709129167e-10,6.771374445093797e-11
5,2MASS J16262152-2426009,Gatti 2006,0.058417,0.37,2.88e-10,,,,
6,ISO-Oph 033,Gatti 2006,0.047607,0.64,1.48e-11,,,,
7,ISO-Oph 102,Gatti 2006,0.058417,0.4,6.759999999999999e-10,,2.1589164366168345e-10,5.876383047931995e-10,4.017649742274415e-10
8,ISO-Oph 160,Gatti 2006,0.058417,0.47,2.24e-10,,4.087721289922531e-11,2.569662276699668e-10,1.4892172028459604e-10
9,2MASS J16273863-2438391,Gatti 2006,0.038932999999999995,0.69,4.07e-10,,,,
10,ISO-Oph 193,Gatti 2006,0.058417,0.42,1.32e-09,,1.0129073263959135e-10,5.425938352888097e-10,3.2194228396420053e-10
11,2MASS J04141188+2811535,Herczeg 2008,0.052624000000000004,0.69,9e-10,6.775457676686759e-10,,,6.775457676686759e-10
12,2MASS J04390396+2544264,Herczeg 2008,0.035005,0.69,6.900000000000001e-12,1.0771660906684973e-10,,,1.0771660906684973e-10
13,2MASS J04414825+2534304,Herczeg 2008,0.031573000000000004,0.42,1.9e-11,6.388454502034427e-11,,,6.388454502034427e-11
14,2MASS J04442713+2512164,Herczeg 2008,0.05,0.45,9.2e-12,4.6896684110922574e-11,,,4.6896684110922574e-11
15,2MASS J12073346-3932539,Herczeg 2008,0.024,0.52,2.3e-12,4.56125069542887e-11,,,4.56125069542887e-11
16,2MASS J12073346-3932539,Herczeg 2008,0.024,0.52,1.6999999999999998e-12,1.2899220386420715e-11,,,1.2899220386420715e-11
17,2MASS J12073346-3932539,Herczeg 2009,0.035,0.52,1.26e-12,6.59364330022231e-12,,,6.59364330022231e-12
18,DENIS J160603.9-205644,Herczeg 2009,0.03689,0.35,2.5099999999999996e-12,2.0660669040205784e-11,,,2.0660669040205784e-11
19,Oph 11A,Herczeg 2009,0.03689,0.25,5.01e-14,3.706826841758944e-13,,,3.706826841758944e-13
20,Oph 11B,Herczeg 2009,0.023688999999999998,0.23,2.51e-13,1.8015237924177504e-12,,,1.8015237924177504e-12
21,2MASS J11020983-3430355,Herczeg 2009,0.026,0.23,1.58e-13,7.315974251512975e-13,,,7.315974251512975e-13
22,2MASS J16060374-2219298,Herczeg 2009,0.023688999999999998,0.17,5.01e-13,4.6973686972269265e-12,,,4.6973686972269265e-12
23,2MASS J16072382-2211018,Herczeg 2009,0.025279,0.22,5.009999999999999e-12,6.349144906309238e-14,,,6.349144906309238e-14
24,2MASS J15591135-2338002,Herczeg 2009,0.039758,0.98,3.9800000000000004e-12,3.433689091488699e-11,,,3.433689091488699e-11
25,ISO-Oph 023,Manara 2015,0.058417,0.43,1.41e-10,2.2372218389622285e-10,1.1034137272701382e-10,2.1614949445337188e-10,1.8340435035886954e-10
26,ISO-Oph 032,Manara 2015,0.047607,0.54,3.24e-11,1.0517276690790998e-10,5.3643879010335084e-11,,7.940832295912253e-11
