Source,Alternative Names,Reference,Sp Type,System Age Myr,Age range Myr,Sp Type Err,Effective Temperature K,Temp err,Object Mass M_Solar,Accretion Diagnostic,R Band Magnitude,R Band Flux Density (erg/(s*cm^2*Å),Ha EW (Å),Ha Line Flux from R band and EW,PaB EW (Å),BrG EW (Å),Ha Line Flux (erg/(s*cm^2),Hb Line Flux (erg/(s*cm^2),Hgamma Line Flux (erg/(s*cm^2),PaB Line Flux (erg/(s*cm^2),PaG Line Flux (erg/(s*cm^2),BrG Line Flux (erg/(s*cm^2),He I 587.6 Line Flux (erg/(s*cm^2),He I 667.8 Line Flux (erg/(s*cm^2),Ca II K Line Flux (erg/(s*cm^2),Ca II H Line Flux (erg/(s*cm^2),,Line Flux Errors,PaB Line Lum (L_solar),Line Flux erg/s/cm^2,Line Luminosity (W),Log Accretion Luminosity (solar),,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J16085953-3856275,,Alcala 2017,M8.5,3,3-10,0.50,2.60E+03,,2.00E-02,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-4.60E+00,,,,,,0.47,0.11,2.51E-11,-1.06E+01,,1.00E-02,-1.70E+00,,,0.00E+00,,Nisini+2017,Barraffe 15,3.14E+00,,
2MASS J15414081-3345188,AKC2006-18,Alcala 2017,M6.5,3,3-10,0.50,2.94E+03,,7.00E-02,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,2.05E-15,6.65E-16,3.87E-16,,,,,,,,,".1,.6,.31",,,,-4.60E+00,,,,,,0.4,0.09,6.31E-12,-1.12E+01,,1.00E-02,-1.15E+00,,,0.00E+00,,Nisini+2017,Barraffe 15,,,
2MASS J16083733-3923109,Lup706,Alcala 2017,M7.5,3,3-10,0.50,2.80E+03,,5.00E-02,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,,,,,,,,,,,,,,,,,-4.80E+00,,,,,,0.22,0.05,2.51E-12,-1.16E+01,,1.00E-02,-1.30E+00,,,0.00E+00,,Nisini+2017,Barraffe 15,,,
2MASS J16262226-2424070,"ISO-Oph 033, GY 11",Comeron 2010,M6.5,1,,,2700,100,0.028629,Ca II,,,,,,,,,,,,,,,,,,,,1.02E+06,,,,0.005,,,,,,9.50E-10,-9.022276395,0.02-0.04,,,,,8,,,,,,
2MASS J16261882-2426105,ISO-Oph 023,Gatti 2006,M7,1,.1-1,2.00,2650,150,0.04,EW PaB  & BrG,,,,,1.20E+00,1.60E+00,,,,,,,,,,,,,,,,,,0.040,,0.95,,,,2.04E-10,-9.69,,,,,,9,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,"ISO-Oph 030, GY 5",Gatti 2006,M6,1,.1-1,2.00,2700,150,0.06,EW PaB  & BrG,,,,,,,,,,,,,,,,,,,,,,,,0.070,,1.21,,,,2.88E-10,-9.54,,,,,,3,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16262226-2424070,"ISO-Oph 033, GY 11",Gatti 2006,M8.5,1,.1-1,0.50,2400,150,0.015,EW PaB  & BrG,,,,,,,,,,,,,,,,,,,,,,,,0.010,,0.58,,,,1.48E-11,-10.83,,,,,,8,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16270659-2441488,ISO-Oph 102,Gatti 2006,M6,1,.1-1,1.50,2700,150,0.06,EW PaB  & BrG,,,,,1.40E+00,1.80E+00,,,,,,,,,,,,,,,,,,0.080,,1.30,,,,6.76E-10,-9.17,,,,,,3,,"Gatti+2018, converted from A_j",,,,
2MASS J16273742-2417548,ISO-Oph 160,Gatti 2006,M6,1,.1-1,2.00,2700,150,0.05,EW PaB  & BrG,,,,,1.20E+00,2.30E+00,,,,,,,,,,,,,,,,,,0.040,,0.92,,,,2.24E-10,-9.65,,,,,,7,,"Gatti+2018, converted from A_j",,,,
2MASS J16273863-2438391,"ISO-Oph 164, GY 310",Gatti 2006,M6,1,.1-1,,2700,150,0.06,EW PaB  & BrG,,,,,,,,,,,,,,,,,,,,,,,,0.090,,1.37,,,,4.07E-10,-9.39,,,,,,7,,"Gatti+2018, converted from A_j",upper limit,,,
