,name,ra,dec,pmra,pmdec,epmra,epmdec,rv,erv,plx,eplx
0,2MASS J16085953-3856275,242.24802607952998,-38.94110029411,-9.872,-23.526,0.465,0.3,,,6.6565,0.2796
1,2MASS J15414081-3345188,235.41993844292003,-33.7553303731,-19.095,-21.107,0.575,0.405,,,6.6964,0.3486
2,2MASS J16083733-3923109,242.15548996810003,-39.38647185371,-12.46,-24.016,1.798,0.873,,,5.3478,0.874
3,2MASS J16262152-2426009,246.58970277037002,-24.43372013257,-9.05,-25.287,0.40299999999999997,0.25,,,7.321,0.1942
4,2MASS J16270659-2441488,246.77744165029,-24.697019908260003,-5.694,-25.03,0.29100000000000004,0.19699999999999998,,,7.0362,0.1327
5,ISO-Oph 160,246.90592466488,-24.29871206033,-4.6930000000000005,-26.314,2.667,1.903,,,7.0079,0.9044
6,2MASS J16273863-2438391,246.91091767988,-24.644336867129997,-6.904,-24.646,1.0859999999999999,0.7190000000000001,,,7.0095,0.4997
7,2MASS J16281271-2411355,247.05298679365,-24.193370303729996,-6.087000000000001,-26.409000000000002,1.051,0.76,,,6.5901,0.5742
8,2MASS J04141188+2811535,63.54955404774999,28.198066642990003,9.077,-23.889,0.42100000000000004,0.21100000000000002,,,7.6285,0.1661
9,2MASS J04390396+2544264,69.76653526707,25.740560672470004,7.037000000000001,-20.605999999999998,0.36200000000000004,0.249,,,6.945,0.2107
10,2MASS J04414825+2534304,70.45107273714001,25.57507367388,4.511,-19.605,0.4,0.251,,,7.3442,0.2017
11,2MASS J04442713+2512164,71.11312309552,25.204479828389996,6.452999999999999,-20.154,0.23199999999999998,0.107,,,7.0915,0.1363
12,2MASS J12073346-3932539,181.88909057554,-39.54843991802,-64.083,-23.72,0.233,0.13,,,15.5242,0.1561
13,DENIS J160603.9-205644,241.51626632753997,-20.94577374616,-13.190999999999999,-21.976,0.547,0.27399999999999997,,,7.2913,0.2675
14,Oph 11,245.60496095316003,-24.08722187485,-15.79,-23.236,0.698,0.52,,,7.344,0.406
15,2MASS J11020983-3430355,165.5406281171,-34.509940862609994,-68.979,-13.805,0.32799999999999996,0.285,,,16.731,0.2121
16,2MASS J16060374-2219298,241.5156037277,-22.32507294108,,,,,,,,
17,2MASS J16072382-2211018,241.84922265945,-22.183958282210003,-17.958,-21.801,2.804,1.42,,,8.3818,1.243
18,2MASS J15591135-2338002,239.79724356136,-23.63354283923,-12.811,-25.735,0.6459999999999999,0.358,,,7.1459,0.3587
19,ISO-Oph 032,246.59124582209998,-24.744475192059998,-8.227,-25.155,0.457,0.34700000000000003,,,6.6112,0.2065
20,ISO-Oph 160,246.90592466488,-24.29871206033,-4.6930000000000005,-26.314,2.667,1.903,,,7.0079,0.9044
21,2MASS J16273863-2438391,246.91091767988,-24.644336867129997,-6.904,-24.646,1.0859999999999999,0.7190000000000001,,,7.0095,0.4997
22,2MASS J16274629-2431411,246.94284337854,-24.528236285349998,-8.295,-24.901999999999997,1.389,1.018,,,7.1967,0.7053
23,2MASS J12073346-3932539,181.88909057554,-39.54843991802,-64.083,-23.72,0.233,0.13,,,15.5242,0.1561
24,2MASS J04394748+2601407,69.94787355129,26.02787631047,6.627999999999999,-21.865,0.483,0.309,,,6.7966,0.2372
25,2MASS J16273863-2438391,246.91091767988,-24.644336867129997,-6.904,-24.646,1.0859999999999999,0.7190000000000001,,,7.0095,0.4997
26,Cl* IC 348 LRL 291,56.14185764668,32.1158301387,5.071000000000001,-7.546,0.894,0.56,,,4.2564,0.526
27,Cl* IC 348 LRL 415,56.12487348143001,32.16093531504,3.938,-6.117999999999999,1.984,1.3019999999999998,,,2.3926,1.5947
28,2MASS J04190126+2802487,64.75533699347,28.0467072173,,,,,,,,
29,2MASS J04272799+2612052,66.86667415169,26.20131514855,1.805,-23.448,2.4330000000000003,2.3280000000000003,,,7.4243,1.2143
