,NAME,BEST_HYP,BEST_PROB
0,2MASS J16085953-3856275,UCL,0.9412931308820255
1,2MASS J15414081-3345188,UCL,0.9702099362441798
2,2MASS J16083733-3923109,UCL,0.9175982664012711
3,2MASS J16262152-2426009,ROPH,0.9876077877669092
4,2MASS J16270659-2441488,ROPH,0.7770326472662704
5,ISO-Oph 160,ROPH,0.9559238402781455
6,2MASS J16273863-2438391,ROPH,0.9845716627378206
7,2MASS J16281271-2411355,ROPH,0.9089140085244699
8,2MASS J04141188+2811535,TAU,0.9794897808100625
9,2MASS J04390396+2544264,TAU,0.9741032951478955
10,2MASS J04414825+2534304,TAU,0.9906670995370891
11,2MASS J04442713+2512164,TAU,0.9835870316487357
12,2MASS J12073346-3932539,TWA,0.997493894833946
13,DENIS J160603.9-205644,USCO,0.9975251861157809
14,Oph 11,USCO,0.8737667916478683
15,2MASS J11020983-3430355,TWA,0.9955418212357413
16,2MASS J16072382-2211018,USCO,0.9488923465837448
17,2MASS J15591135-2338002,USCO,0.9964701381003529
18,ISO-Oph 032,USCO,0.8797626079166422
19,ISO-Oph 160,ROPH,0.9559238402781455
20,2MASS J16273863-2438391,ROPH,0.9845716627378206
21,2MASS J16274629-2431411,ROPH,0.9862490871354407
22,2MASS J12073346-3932539,TWA,0.997493894833946
23,2MASS J04394748+2601407,TAU,0.9549528236049946
24,2MASS J16273863-2438391,ROPH,0.9845716627378206
25,Cl* IC 348 LRL 291,FIELD,0.9999893768912284
26,Cl* IC 348 LRL 415,FIELD,0.9999717322990848
27,2MASS J04272799+2612052,TAU,0.9721450244558224
28,2MASS J04300724+2608207,TAU,0.99427896811885
29,2MASS J04305718+2556394,TAU,0.994525590750315
30,DENIS J160603.9-205644,USCO,0.9975251861157809
31,Cl* IC 348 LRL 415,FIELD,0.9999717322990848
32,2MASS J04321606+1812464,TAU,0.9291596750052247
33,2MASS J11013205-7718249,FIELD,0.9999999681857569
34,2MASS J04141188+2811535,TAU,0.9794897808100625
35,2MASS J04381486+2611399,TAU,0.9679787133943886
36,2MASS J04390396+2544264,TAU,0.9741032951478955
37,2MASS J04414825+2534304,TAU,0.9906670995370891
38,2MASS J04554801+3028050,FIELD,0.952335334970703
39,2MASS J11011926-7732383,FIELD,0.9999999999825233
40,2MASS J11070324-7610565,FIELD,0.9999999999999662
41,2MASS J04363893+2258119,FIELD,0.9548644907534882
42,2MASS J04394748+2601407,TAU,0.9549528236049946
43,[NC98] Cha HA 1,FIELD,0.9999999999997646
44,[NC98] Cha HA 10,FIELD,0.9999999999990123
45,[NC98] Cha HA 11,FIELD,0.9999999992982334
46,[NC98] Cha HA 12,FIELD,0.9999999999973257
47,[NC98] Cha HA 7,FIELD,0.9999999999314992
48,CHSM 17173,FIELD,0.9999999999994067
49,CHSM 7869,FIELD,0.9999999999988249
50,2MASS J04185115+2814332,TAU,0.9861206981921963
51,2MASS J04272799+2612052,TAU,0.9721450244558224
52,2MASS J04294568+2630468,TAU,0.9937959622848654
53,2MASS J04300724+2608207,TAU,0.99427896811885
54,2MASS J04305718+2556394,TAU,0.994525590750315
55,[NC98] Cha HA 1,FIELD,0.9999999999997646
56,[NC98] Cha HA 3,FIELD,0.9999999999998463
57,[NC98] Cha HA 6,FIELD,0.9999999999483151
58,2MASS J16262152-2426009,ROPH,0.9876077877669092
59,ISO-Oph 032,USCO,0.8797626079166422
60,2MASS J16270659-2441488,ROPH,0.7770326472662704
61,ISO-Oph 032,USCO,0.8797626079166422
62,ISO-Oph 158,FIELD,1.0
63,ISO-Oph 160,ROPH,0.9559238402781455
64,CD-35 10525,UCL,0.992888752567666
65,CD-35 10525,UCL,0.992888752567666
66,GSC 06214-00210,UCL,0.5590507577048878
67,GSC 06214-00210,UCL,0.5590507577048878
68,2MASS J04554757+3028077,FIELD,0.7501368091510413
69,2MASS J10561638-7630530,FIELD,0.9999999999999236
70,2MASS J10580597-7711501,FIELD,0.9999999999962723
71,2MASS J11072443-7743489,FIELD,0.9999999999981979
72,2MASS J11075993-7715317,FIELD,0.9999999999997664
73,2MASS J11080234-7640343,FIELD,0.9999999999996598
74,2MASS J11173792-7646193,FIELD,0.9999997791519895
75,2MASS J16081497-3857145,UCL,0.9903389663043383
76,2MASS J16085324-3914401,UCL,0.8785303984493068
77,2MASS J16085373-3914367,FIELD,0.6165863026363507
78,2MASS J16085529-3848481,UCL,0.9780744726720262
79,2MASS J16100133-3906449,FIELD,0.886945945481948
80,V* AA Tau,TAU,0.9899574056601649
81,V* AB Aur,FIELD,0.9615564489335762
82,2MASS J15445789-3423392,UCL,0.9760281906178164
83,V* V866 Sco,USCO,0.9890278968442164
84,V* V866 Sco,USCO,0.9890278968442164
85,2MASS J16491530-1422087,FIELD,0.9548093092614462
86,V* BF Ori,FIELD,1.0
87,V* BP Tau,TAU,0.9787925716351698
88,[NC98] Cha HA 5,FIELD,0.9999999999998819
89,[NC98] Cha HA 6,FIELD,0.9999999999483151
90,Haro 6-36,FIELD,0.9944721692018212
91,CI Tau,TAU,0.6017481168224648
92,CK4,FIELD,1.0
93,CV Cha,FIELD,0.9999999999999449
94,CY Tau,TAU,0.9821552974475061
95,DE Tau,TAU,0.981160329894576
96,DF Tau,TAU,0.9910790093859947
97,DK Tau,TAU,0.994784096640742
98,DN Tau,TAU,0.9962212205207787
99,DO Tau,TAU,0.9848867531792165
100,DQ Tau,FIELD,0.9999999955451555
101,DS Tau,FIELD,0.7880612061145439
102,2MASS J16030548-4018254,UCL,0.9349436443726484
103,2MASS J04333405+2421170,TAU,0.9956524822504882
104,2MASS J04333456+2421058,TAU,0.9956428133277417
105,2MASS J04551098+3021595,FIELD,0.88585039770111
106,2MASS J16262152-2426009,ROPH,0.9876077877669092
107,TWA 3,TWA,0.8433155127785572
108,TWA 3,TWA,0.8433155127785572
109,2MASS J04333935+1751523,TAU,0.9754230444475542
110,Cl* IC 348 LRL 165,FIELD,0.9999986211163904
111,2MASS J03442980+3200545,FIELD,0.9999998730252165
112,2MASS J03435526+3207533,FIELD,0.9999999996814601
113,Cl* IC 348 LRL 336,FIELD,0.9999440036826364
114,IP Tau,TAU,0.9861369216764504
115,2MASS J16253673-2415424,USCO,0.8137961752204307
116,ISO-Oph 002,ROPH,0.9592455207241012
117,2MASS J16255052-2439145,USCO,0.9802737252040014
118,2MASS J16255615-2420481,ROPH,0.9784376788888285
119,2MASS J16260329-2417464,ROPH,0.9769224600734233
120,2MASS J16260931-2434121,USCO,0.9690226456140352
121,2MASS J16261684-2422231,ROPH,0.9691501313755104
122,2MASS J16261706-2420216,ROPH,0.9873219675802526
123,2MASS J16261886-2428196,ROPH,0.9829455326245038
124,2MASS J16262101-2415414,FIELD,0.9999915542860367
125,2MASS J16262152-2426009,ROPH,0.9876077877669092
126,ISO-Oph 032,USCO,0.8797626079166422
127,ISO-Oph 036,ROPH,0.9589308283756439
128,ISO-Oph 038,ROPH,0.60063420788958
129,ISO-Oph 039,ROPH,0.9772479249979418
130,ISO-Oph 040,ROPH,0.9722817451424952
131,ISO-Oph 051,ROPH,0.9799329312735994
132,ISO-Oph 056,FIELD,0.5039641417741104
133,ISO-Oph 062,ROPH,0.9763458427946036
134,ISO-Oph 064,ROPH,0.9610842494688845
135,ISO-Oph 066,USCO,0.796354457410797
136,ISO-Oph 067,ROPH,0.9865952635843193
137,YLW 37,ROPH,0.8999646939460889
138,ISO-Oph 069,ROPH,0.5115410122754249
139,ISO-Oph 072,ROPH,0.9896184824685325
140,WL 18,ROPH,0.9896184824685325
141,ISO-Oph 083,ROPH,0.9908873298345349
142,EM* SR 24,FIELD,0.9245184213811073
143,EM* SR 24,FIELD,0.9245184213811073
144,ISO-Oph 102,ROPH,0.7770326472662704
145,ISO-Oph 105,ROPH,0.9933748539260977
146,ISO-Oph 106,ROPH,0.9477645521494088
147,ISO-Oph 110,ROPH,0.8131764558722687
148,ISO-Oph 116,ROPH,0.987438321466456
149,ISO-Oph 117,ROPH,0.9801769015254068
150,ISO-Oph 123,ROPH,0.9695668894248208
151,ISO-Oph 135,FIELD,0.6540483893278478
152,ISO-Oph 142,ROPH,0.5733497017213408
153,ISO-Oph 148,ROPH,0.9754117921645798
154,ISO-Oph 151,ROPH,0.9612616496505246
155,ISO-Oph 155,ROPH,0.9862865958438334
156,ISO-Oph 156,USCO,0.9407725549089018
157,ISO-Oph 157,ROPH,0.9513210247467805
158,ISO-Oph 163,ROPH,0.9942682719877898
159,2MASS J16273863-2438391,ROPH,0.9845716627378206
160,ISO-Oph 166,ROPH,0.9719902093596151
161,ISO-Oph 168,ROPH,0.9965673427331935
162,ISO-Oph 172,ROPH,0.916479842109836
163,ISO-Oph 176,ROPH,0.9862490871354407
164,ISO-Oph 178,FIELD,0.6183040859435481
165,ISO-Oph 179,ROPH,0.9815292322439987
166,ISO-Oph 180,USCO,0.9636643736518758
167,ISO-Oph 181,FIELD,0.9997443465211848
168,ISO-Oph 186,ROPH,0.8675971472258781
169,ISO-Oph 187,ROPH,0.9939692044859779
170,ISO-Oph 193,ROPH,0.9089140085244699
171,ISO-Oph 194,ROPH,0.9451326591877333
172,ISO-Oph 195,USCO,0.577201636285411
173,ISO-Oph 196,ROPH,0.9774584258331996
174,ISO-Oph 198,ROPH,0.9031189239324697
175,ISO-Oph 199,USCO,0.7585762148665449
176,2MASS J11095215-7639128,FIELD,1.0
177,2MASS J11104141-7720480,FIELD,0.9999999999995222
178,2MASS J06443541+0019093,FIELD,0.9999999999928946
179,2MASS J06443682+0016186,FIELD,0.9999999999999893
180,2MASS J06443788+0021509,FIELD,0.9999999999996341
181,2MASS J06443827+0019229,FIELD,0.9999999999996199
182,2MASS J06444936+0020245,FIELD,0.9999999997839275
183,2MASS J06445577+0013168,FIELD,1.0
184,2MASS J06445837+0014151,FIELD,0.999999999999222
185,2MASS J06450208+0019443,FIELD,0.9999999999971898
186,2MASS J06450681+0013535,FIELD,0.9999999999994102
187,2MASS J06450971+0014121,FIELD,0.9999999999999822
188,2MASS J06451701+0022077,FIELD,0.9999999999994955
189,2MASS J06451727+0023454,FIELD,0.9999999998663576
190,2MASS J06451841+0022189,FIELD,0.9999999984805044
191,2MASS J06452454+0022448,FIELD,0.9999999999657447
192,2MASS J06452774+0015514,FIELD,0.9999999954515921
193,2MASS J04174955+2813318,TAU,0.9615777114074044
194,2MASS J04183030+2743208,TAU,0.9830578514580641
195,2MASS J04330781+2616066,TAU,0.8832500379073934
196,2MASS J04262939+2624137,TAU,0.7009561690466624
197,2MASS J19013357-3700304,CRA,0.7384982809082103
198,[LEM2005] Lup 607,UCL,0.9419255545444073
199,2MASS J16073773-3921388,UCL,0.924094886030783
200,2MASS J16095628-3859518,FIELD,0.99999635564279
201,MHO 5,TAU,0.9291596750052247
202,MHO 6,TAU,0.9637748597472607
203,MY Lup,UCL,0.9856722998676617
204,THA 15-35,UCL,0.8487229522686167
205,RXJ1556.1-3655,UCL,0.9743941738367932
206,RY Lup,UCL,0.9214822506226046
207,2MASS J05392174-0244038,FIELD,1.0
208,2MASS J05392633-0228376,FIELD,1.0
209,2MASS J05392677-0242583,FIELD,1.0
210,2MASS J05392935-0227209,FIELD,1.0
211,V* RV Ori,FIELD,1.0
212,2MASS J05394318-0232433,FIELD,1.0
213,[BZR99] S Ori 10,FIELD,1.0
214,2MASS J05394944-0223459,FIELD,1.0
215,Haro 5-32,FIELD,1.0
216,2MASS J05395421-0227326,FIELD,1.0
217,Mayrit 1045094,FIELD,0.9999999999936904
218,Haro 5-34,FIELD,1.0
219,2MASS J05400101-0219597,FIELD,1.0
220,Haro 5-36,FIELD,1.0
221,V* V608 Ori,FIELD,1.0
222,2MASS J05380097-0226079,FIELD,1.0
223,Kiso A-0904 67,FIELD,1.0
224,2MASS J05381824-0248143,FIELD,1.0
225,[W96] rJ053820-0234,FIELD,1.0
226,V* V2725 Ori,FIELD,1.0
227,V* V2728 Ori,FIELD,0.9999999999998899
228,[BNM2013] 93.03 227,FIELD,1.0
229,V* V505 Ori,FIELD,1.0
230,Kiso A-0976 329,FIELD,1.0
231,Haro 5-9,FIELD,1.0
232,V* TX Ori,FIELD,0.999999999992486
233,[W96] rJ053833-0236,FIELD,0.9999999999999991
234,[BNM2013] 93.03 29,FIELD,1.0
235,V* TY Ori,FIELD,1.0
236,[W96] 4771-1147,FIELD,1.0
237,2MASS J05383902-0245321,FIELD,1.0
238,Haro 5-13,FIELD,1.0
239,2MASS J05384053-0233275,FIELD,1.0
240,[BNM2013] 92.01 24,FIELD,1.0
241,[W96] 4771-1051,FIELD,1.0
242,2MASS J05384448-0240376,FIELD,0.9999999999985274
243,V* V595 Ori A or,FIELD,1.0
244,2MASS J05384755-0227120,FIELD,1.0
245,[BZR99] S Ori 15,FIELD,1.0
246,2MASS J05384818-0244007,FIELD,1.0
247,V* V2737 Ori,FIELD,0.9999999999999822
248,[BNM2013] 92.01 11,FIELD,0.9999999999469171
249,2MASS J05385060-0242429,FIELD,1.0
250,V* RU Ori,FIELD,1.0
