Simbad-Resolvable Name,Source,Alternative Names,Star Forming Region,COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J16085953-3856275,2MASS J16085953-3856275,,Lupus,242.24804167 -38.94097222,II,Alcala 2017,,2.60E+03,,M8.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.47,0.11,2.51E-11,-1.06E+01,,2.00E-02,1.00E-02,-1.70E+00,,-4.60E+00,3-10,3,,0.00E+00,,Nisini+2017,Barraffe 15,,,1.50E+02
2MASS J15414081-3345188,2MASS J15414081-3345188,AKC2006-18,Lupus,235.42003733 -33.75523944,II,Alcala 2017,2015,2.94E+03,,M6.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.4,0.09,6.31E-12,-1.12E+01,,7.00E-02,1.00E-02,-1.15E+00,,-4.60E+00,3-10,3,,0.00E+00,,Nisini+2017,Barraffe 15,,,
2MASS J16083733-3923109,2MASS J16083733-3923109,Lup706,Lupus,242.15555937 -39.38636833,II,Alcala 2017,,2.80E+03,,M7.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.22,0.05,2.51E-12,-1.16E+01,,5.00E-02,1.00E-02,-1.30E+00,,-4.80E+00,3-10,3,,0.00E+00,,Nisini+2017,Barraffe 15,,,
ISO-Oph 033,ISO-Oph 033,"ISO-Oph 033, GY 11",p Oph,246.592788 -24.401962,II,Comeron 2010,February 26 - March 30 2003,2700,100,M6.5,,R 260 long slit spectroscopy,6000-10000 A,VLT/FORS1,line strength,Ca II,1.02E+06,0.005,,,,,,9.50E-10,-9.022276395,0.02-0.04,0.028629,,,,,,1,,8,,,,,,
ISO-Oph 023,ISO-Oph 023,,p Oph,246.578419 -24.436256,II,Gatti 2006,May 19 20 2005,2650,150,M7,2.00,".06"" spectra 750 - 860 R spectra",2 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.040,,0.95,,,,2.04E-10,-9.69,,0.04,,,,,.1-1,1,,9,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,II,Gatti 2006,May 19 20 2005,2700,150,M6,2.00,".06"" spectra 750 - 860 R spectra",4 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.070,,1.21,,,,2.88E-10,-9.54,,0.06,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",upper limit,,,
ISO-Oph 033,ISO-Oph 033,"ISO-Oph 033, GY 11",p Oph,246.592788 -24.401962,II,Gatti 2006,May 19 20 2005,2400,150,M8.5,0.50,".06"" spectra 750 - 860 R spectra",1 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.010,,0.58,,,,1.48E-11,-10.83,,0.015,,,,,.1-1,1,,8,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16270659-2441488,2MASS J16270659-2441488,ISO-Oph 102,p Oph,246.77746863 -24.69691214,II,Gatti 2006,May 19 20 2005,2700,150,M6,1.50,".06"" spectra 750 - 860 R spectra",5 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.080,,1.30,,,,6.76E-10,-9.17,,0.06,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,
ISO-Oph 160,ISO-Oph 160,,p Oph,246.90594683 -24.29859876,II,Gatti 2006,May 19 20 2005,2700,150,M6,2.00,".06"" spectra 750 - 860 R spectra",3 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.040,,0.92,,,,2.24E-10,-9.65,,0.05,,,,,.1-1,1,,7,,"Gatti+2018, converted from A_j",,,,
2MASS J16273863-2438391,2MASS J16273863-2438391,"ISO-Oph 164, GY 310",p Oph,246.91095039 -24.64423075,II,Gatti 2006,May 19 20 2005,2700,150,M6,,".06"" spectra 750 - 860 R spectra",6 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.090,,1.37,,,,4.07E-10,-9.39,,0.06,,,,,.1-1,1,,7,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16281271-2411355,2MASS J16281271-2411355,ISO-Oph 193,p Oph,247.05301552 -24.1932566,II,Gatti 2006,May 19 20 2005,2650,150,M6,,".06"" spectra 750 - 860 R spectra",7 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,,,,,,,1.32E-09,-8.88,,0.06,,,2.67E+25,-8.176244711,.1-1,1,,8,,"Gatti+2018, converted from A_j",,,,
