Name	SimpleSpTy	SpTyIdentifer
FT Tau	M0	50
IRAS 04370+2559	M0	50
SU Aur	G8	38
T Tau N	K0	40
RY Tau	K1	41
UX Tau A	K2	42
HQ Tau	K2	42
RW Aur A	K2.5	42.5
CW Tau	K3	43
IT Tau A	K3	43
HP Tau	K3	43
GM Aur	K3	43
LR 1	K4.5	44.5
FV Tau A	K5	45
FY Tau	K5	45
HN Tau A	K5	45
LkCa 15	K5	45
DR Tau	K5	45
DS Tau	K5	45
RW Aur B	K5	45
IRAS 04260+2642	K5.5	45.5
FV Tau B	K6	46
DG Tau	K6	46
JH 112 A	K6	46
HV Tau C	K6	46
GG Tau Aab	K7	47
BP Tau	K7	47
V807 Tau A	K7	47
GI Tau	K7	47
GK Tau	K7	47
DL Tau	K7	47
CI Tau	K7	47
AA Tau	K7	47
V955 Tau A	K7	47
V836 Tau	K7	47
DK Tau A	K8	48
CIDA 9 A	K8	48
DQ Tau AB	M0	50
FM Tau	M0	50
V410 X-ray 2	M0	50
FS Tau A	M0	50
IP Tau	M0	50
Haro 6-13	M0	50
FZ Tau	M0	50
IRAS 04301+2608	M0	50
IS Tau A	M0	50
DN Tau	M0	50
DO Tau	M0	50
IRAS 04385+2550	M0	50
GO Tau	M0	50
UY Aur A	M0	50
IQ Tau	M0.5	50.5
HK Tau A	M0.5	50.5
V710 Tau A	M0.5	50.5
HO Tau	M0.5	50.5
UZ Tau Eab	M1	51
J04202144+2813491	M1	51
DE Tau	M1	51
IRAS 04196+2638	M1	51
DH Tau A	M1	51
FX Tau A	M1	51
J04333278+1800436	M1	51
DM Tau	M1	51
Haro 6-37 C	M1	51
IRAS 04125+2902	M1.25	51.25
CoKu Tau/4 AB	M1.5	51.5
CY Tau	M1.5	51.5
V409 Tau	M1.5	51.5
J04333905+2227207	M1.75	51.75
DF Tau AB	M2	52
IRAS 04200+2759	M2	52
XZ Tau A	M2	52
HK Tau B	M2	52
UZ Tau Wa	M2	52
GH Tau A	M2	52
Haro 6-28 A	M2	52
MHO 2 AB	M2.5	52.5
MHO 1	M2.5	52.5
CX Tau	M2.5	52.5
GN Tau A	M2.5	52.5
IRAS 04429+1550	M2.5	52.5
UY Aur B	M2.5	52.5
FQ Tau A	M3	53
XEST 13-010	M3	53
UZ Tau Wb	M3	53
FO Tau A	M3.5	53.5
DD Tau A	M3.5	53.5
DD Tau B	M3.5	53.5
CIDA 8	M3.5	53.5
J04153916+2818586	M3.75	53.75
J04334171+1750402	M4	54
IT Tau B	M4	54
XEST 26-062	M4	54
J04385859+2336351	M4.25	54.25
MHO 6	M4.75	54.75
J04334465+2615005	M4.75	54.75
CIDA 7	M4.75	54.75
FN Tau	M5	55
KPNO 10	M5	55
ZZ Tau IRS	M5	55
J04202555+2700355	M5.25	55.25
CIDA 1	M5.5	55.5
J04155799+2746175	M5.5	55.5
J04230607+2801194	M6	56
KPNO 3	M6	56
CFHT 4	M7	57
J04381486+2611399	M7.25	57.25
J04390396+2544264	M7.25	57.25
IRAS 04414+2506	M7.25	57.25
J04414825+2534304	M7.75	57.75
JH 112 B	M8.5	58.5
