FT Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IRAS 04370+2559;M0;50.0;3898.28564757;3953.86146533;3815.15523455
SU Aur;G8;38.0;5179.66984075;5243.25121945;5101.9813798
T Tau N;K0;40.0;4870.50087682;4937.4557261;4823.45888536
RY Tau;K1;41.0;4788.53414249;4823.45888536;4754.38368276
UX Tau A;K2;42.0;4709.66454074;4754.38368276;4645.93090491
HQ Tau;K2;42.0;4709.66454074;4754.38368276;4645.93090491
RW Aur A;K2.5;42.5;4645.93090491;4709.66454074;4566.3255794
CW Tau;K3;43.0;4566.3255794;4645.93090491;4476.88852228
IT Tau A;K3;43.0;4566.3255794;4645.93090491;4476.88852228
HP Tau;K3;43.0;4566.3255794;4645.93090491;4476.88852228
GM Aur;K3;43.0;4566.3255794;4645.93090491;4476.88852228
LR 1;K4.5;44.5;4292.67904546;4383.65969162;4209.98654188
FV Tau A;K5;45.0;4209.98654188;4292.67904546;4140.64515422
FY Tau;K5;45.0;4209.98654188;4292.67904546;4140.64515422
HN Tau A;K5;45.0;4209.98654188;4292.67904546;4140.64515422
LkCa 15;K5;45.0;4209.98654188;4292.67904546;4140.64515422
DR Tau;K5;45.0;4209.98654188;4292.67904546;4140.64515422
DS Tau;K5;45.0;4209.98654188;4292.67904546;4140.64515422
RW Aur B;K5;45.0;4209.98654188;4292.67904546;4140.64515422
IRAS 04260+2642;K5.5;45.5;4140.64515422;4209.98654188;4085.80991702
FV Tau B;K6;46.0;4085.80991702;4140.64515422;4045.6588801
DG Tau;K6;46.0;4085.80991702;4140.64515422;4045.6588801
JH 112 A;K6;46.0;4085.80991702;4140.64515422;4045.6588801
HV Tau C;K6;46.0;4085.80991702;4140.64515422;4045.6588801
GG Tau Aab;K7;47.0;4020.3700933;4045.6588801;4008.76776491
BP Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
V807 Tau A;K7;47.0;4020.3700933;4045.6588801;4008.76776491
GI Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
GK Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
DL Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
CI Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
AA Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
V955 Tau A;K7;47.0;4020.3700933;4045.6588801;4008.76776491
V836 Tau;K7;47.0;4020.3700933;4045.6588801;4008.76776491
DK Tau A;K8;48.0;4004.26073719;4008.76776491;3998.90401087
CIDA 9 A;K8;48.0;4004.26073719;4008.76776491;3998.90401087
DQ Tau AB;M0;50.0;3898.28564757;3953.86146533;3815.15523455
FM Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
V410 X-ray 2;M0;50.0;3898.28564757;3953.86146533;3815.15523455
FS Tau A;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IP Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
Haro 6-13;M0;50.0;3898.28564757;3953.86146533;3815.15523455
FZ Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IRAS 04301+2608;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IS Tau A;M0;50.0;3898.28564757;3953.86146533;3815.15523455
DN Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
DO Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IRAS 04385+2550;M0;50.0;3898.28564757;3953.86146533;3815.15523455
GO Tau;M0;50.0;3898.28564757;3953.86146533;3815.15523455
UY Aur A;M0;50.0;3898.28564757;3953.86146533;3815.15523455
IQ Tau;M0.5;50.5;3815.15523455;3898.28564757;3721.90072912
HK Tau A;M0.5;50.5;3815.15523455;3898.28564757;3721.90072912
V710 Tau A;M0.5;50.5;3815.15523455;3898.28564757;3721.90072912
HO Tau;M0.5;50.5;3815.15523455;3898.28564757;3721.90072912
UZ Tau Eab;M1;51.0;3721.90072912;3815.15523455;3636.76165851
J04202144+2813491;M1;51.0;3721.90072912;3815.15523455;3636.76165851
DE Tau;M1;51.0;3721.90072912;3815.15523455;3636.76165851
IRAS 04196+2638;M1;51.0;3721.90072912;3815.15523455;3636.76165851
DH Tau A;M1;51.0;3721.90072912;3815.15523455;3636.76165851
FX Tau A;M1;51.0;3721.90072912;3815.15523455;3636.76165851
J04333278+1800436;M1;51.0;3721.90072912;3815.15523455;3636.76165851
DM Tau;M1;51.0;3721.90072912;3815.15523455;3636.76165851
Haro 6-37 C;M1;51.0;3721.90072912;3815.15523455;3636.76165851
IRAS 04125+2902;M1.25;51.25;3677.97668327;3768.38689318;3597.86929822
CoKu Tau/4 AB;M1.5;51.5;3636.76165851;3721.90072912;3560.91324577
CY Tau;M1.5;51.5;3636.76165851;3721.90072912;3560.91324577
V409 Tau;M1.5;51.5;3636.76165851;3721.90072912;3560.91324577
J04333905+2227207;M1.75;51.75;3597.86929822;3677.97668327;3525.23773955
DF Tau AB;M2;52.0;3560.91324577;3636.76165851;3489.109398
IRAS 04200+2759;M2;52.0;3560.91324577;3636.76165851;3489.109398
XZ Tau A;M2;52.0;3560.91324577;3636.76165851;3489.109398
HK Tau B;M2;52.0;3560.91324577;3636.76165851;3489.109398
UZ Tau Wa;M2;52.0;3560.91324577;3636.76165851;3489.109398
GH Tau A;M2;52.0;3560.91324577;3636.76165851;3489.109398
Haro 6-28 A;M2;52.0;3560.91324577;3636.76165851;3489.109398
MHO 2 AB;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
MHO 1;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
CX Tau;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
GN Tau A;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
IRAS 04429+1550;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
UY Aur B;M2.5;52.5;3489.109398;3560.91324577;3407.48306267
FQ Tau A;M3;53.0;3407.48306267;3489.109398;3305.00228503
XEST 13-010;M3;53.0;3407.48306267;3489.109398;3305.00228503
UZ Tau Wb;M3;53.0;3407.48306267;3489.109398;3305.00228503
FO Tau A;M3.5;53.5;3305.00228503;3407.48306267;3190.59646113
DD Tau A;M3.5;53.5;3305.00228503;3407.48306267;3190.59646113
DD Tau B;M3.5;53.5;3305.00228503;3407.48306267;3190.59646113
CIDA 8;M3.5;53.5;3305.00228503;3407.48306267;3190.59646113
J04153916+2818586;M3.75;53.75;3248.4200205;3358.60328799;3133.27157363
J04334171+1750402;M4;54.0;3190.59646113;3305.00228503;3078.18532472
IT Tau B;M4;54.0;3190.59646113;3305.00228503;3078.18532472
XEST 26-062;M4;54.0;3190.59646113;3305.00228503;3078.18532472
J04385859+2336351;M4.25;54.25;3133.27157363;3248.4200205;3027.07768112
MHO 6;M4.75;54.75;3027.07768112;3133.27157363;2943.23238736
J04334465+2615005;M4.75;54.75;3027.07768112;3133.27157363;2943.23238736
CIDA 7;M4.75;54.75;3027.07768112;3133.27157363;2943.23238736
FN Tau;M5;55.0;2981.68860954;3078.18532472;2910.82053453
KPNO 10;M5;55.0;2981.68860954;3078.18532472;2910.82053453
ZZ Tau IRS;M5;55.0;2981.68860954;3078.18532472;2910.82053453
J04202555+2700355;M5.25;55.25;2943.23238736;3027.07768112;2883.03888168
CIDA 1;M5.5;55.5;2910.82053453;2981.68860954;2858.47325942
J04155799+2746175;M5.5;55.5;2910.82053453;2981.68860954;2858.47325942
J04230607+2801194;M6;56.0;2858.47325942;2910.82053453;2814.10208451
KPNO 3;M6;56.0;2858.47325942;2910.82053453;2814.10208451
CFHT 4;M7;57.0;2770.23693161;2814.10208451;2721.80304048
J04381486+2611399;M7.25;57.25;2746.60325161;2792.52509424;2696.21861729
J04390396+2544264;M7.25;57.25;2746.60325161;2792.52509424;2696.21861729
IRAS 04414+2506;M7.25;57.25;2746.60325161;2792.52509424;2696.21861729
J04414825+2534304;M7.75;57.75;2696.21861729;2746.60325161;2644.22641099
JH 112 B;M8.5;58.5;2618.58326602;2670.2323011;2569.91448776
