# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
FT Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IRAS 04370+2559;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
FV Tau A;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
FY Tau;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
HN Tau A;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
LkCa 15;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
DR Tau;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
DS Tau;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
RW Aur B;K5;45.0;4209.986541877521;0.8566554419860333;0.790066353182928;0.9420086042572067;1.3995799963552729;1.3003666405405023;1.5701907160483373;-0.03749330018773936;-0.09482153987391083;0.030078316542999778;0.2388896162299796;0.18342833977756517;0.3364058370319936
IRAS 04260+2642;K5.5;45.5;4140.645154218775;0.790066353182928;0.7404420799168572;0.8566554419860333;1.3003666405405023;1.2407590697208686;1.3995799963552729;-0.09482153987391083;-0.1405879739139332;-0.03749330018773936;0.18342833977756517;0.14887845320022094;0.2388896162299796
FV Tau B;K6;46.0;4085.80991701806;0.7404420799168572;0.7057241257428508;0.790066353182928;1.2407590697208686;1.203456863579334;1.3003666405405023;-0.1405879739139332;-0.17434058227390498;-0.09482153987391083;0.14887845320022094;0.12537529302627734;0.18342833977756517
DG Tau;K6;46.0;4085.80991701806;0.7404420799168572;0.7057241257428508;0.790066353182928;1.2407590697208686;1.203456863579334;1.3003666405405023;-0.1405879739139332;-0.17434058227390498;-0.09482153987391083;0.14887845320022094;0.12537529302627734;0.18342833977756517
JH 112 A;K6;46.0;4085.80991701806;0.7404420799168572;0.7057241257428508;0.790066353182928;1.2407590697208686;1.203456863579334;1.3003666405405023;-0.1405879739139332;-0.17434058227390498;-0.09482153987391083;0.14887845320022094;0.12537529302627734;0.18342833977756517
HV Tau C;K6;46.0;4085.80991701806;0.7404420799168572;0.7057241257428508;0.790066353182928;1.2407590697208686;1.203456863579334;1.3003666405405023;-0.1405879739139332;-0.17434058227390498;-0.09482153987391083;0.14887845320022094;0.12537529302627734;0.18342833977756517
