m	Teff	logL	logg	NOTRADIUS_mv
0.02	2519	-2.58	3.872	15.84
0.03	2705	-2.19	3.784	14.04
0.04	2794	-1.93	3.705	13.07
0.05	2845	-1.75	3.652	12.47
0.055	2865	-1.68	3.632	12.23
0.06	2887	-1.61	3.615	12
0.07	2922	-1.5	3.588	11.63
0.072	2928	-1.48	3.584	11.56
0.075	2936	-1.45	3.579	11.48
0.08	2950	-1.41	3.572	11.34
0.09	2974	-1.33	3.566	11.11
0.1	2998	-1.28	3.575	10.92
0.11	3014	-1.25	3.59	10.8
0.13	3045	-1.19	3.621	10.59
0.15	3080	-1.13	3.646	10.37
0.175	3122	-1.05	3.66	10.11
0.2	3162	-0.99	3.671	9.88
0.25	3245	-0.85	3.681	9.44
0.3	3313	-0.75	3.688	9.1
0.35	3369	-0.66	3.694	8.81
0.4	3416	-0.58	3.697	8.55
0.45	3460	-0.51	3.7	8.32
0.5	3497	-0.45	3.707	8.12
0.57	3552	-0.37	3.709	7.82
0.6	3574	-0.34	3.714	7.72
0.62	3588	-0.32	3.713	7.64
0.7	3645	-0.24	3.72	7.35
0.75	3679	-0.2	3.727	7.19
0.8	3711	-0.17	3.733	7.03
0.85	3745	-0.12	3.732	6.86
0.9	3780	-0.11	3.757	6.74
0.95	3807	-0.05	3.739	6.56
1	3842	-0.03	3.753	6.43
1.05	3873	0.01	3.747	6.27
1.1	3910	0.04	3.753	6.08
1.15	3998	0.09	3.759	5.51
1.2	4048	0.12	3.77	5.36
1.3	4136	0.18	3.784	5.1
1.4	4211	0.24	3.79	4.85
