M/Ms	Teff	L/Ls	g	R/Rs
0.01	2142	-3.13	3.85	0.198
0.015	2406	-2.79	3.88	0.232
0.02	2545	-2.57	3.89	0.267
0.03	2706	-2.17	3.77	0.373
0.04	2784	-1.92	3.69	0.47
0.05	2831	-1.74	3.64	0.559
0.06	2870	-1.61	3.61	0.634
0.07	2906	-1.51	3.6	0.695
0.072	2911	-1.49	3.59	0.71
0.075	2919	-1.46	3.59	0.727
0.08	2931	-1.42	3.58	0.758
0.09	2956	-1.36	3.59	0.794
0.1	2998	-1.44	3.74	0.71
0.11	3016	-1.39	3.75	0.736
0.13	3052	-1.32	3.76	0.783
0.15	3088	-1.25	3.78	0.827
0.17	3127	-1.18	3.78	0.882
0.2	3196	-1.1	3.81	0.917
0.3	3404	-0.86	3.86	1.067
0.4	3582	-0.68	3.89	1.186
0.5	3731	-0.54	3.91	1.292
0.6	3868	-0.42	3.94	1.374
0.7	3998	-0.31	3.96	1.458
0.8	4120	-0.21	3.97	1.535
0.9	4232	-0.13	3.98	1.604
1	4330	-0.05	3.99	1.674
1.1	4421	0.02	3.99	1.747
1.2	4505	0.09	4	1.817
1.3	4588	0.15	4	1.887
1.4	4671	0.22	4	1.967
