Source	Sp Type	SpNum
2MASSJ16085953-3856275	M8.5	58.5
AKC2006-18	M6.5	56.5
Lup706	M7.5	57.5
ISO-Oph 033	M6.5	56.5
ISO-Oph 023	M7	57
ISO-Oph 030	M6	56
ISO-Oph 033	M8.5	58.5
ISO-Oph 102	M6	56
ISO-Oph 160	M6	56
ISO-Oph 164	M6	56
ISO-Oph 193	M6	56
2MASS J04141188+2811535	M6.5	56.5
2MASS J04390396+2544264	M7.25	57.25
2MASS J04414825+2534304	M7.75	57.75
2MASS J04442713+2512164	M7.25	57.25
2MASS J12073347-3932540	M8	58
2MASS J12073347-3932540	M8	58
2MASS J12073347-3932540	M8.25	58.25
DENIS-P J160603.9-205644	M7.25	57.25
Oph J162225-240515A	M7.25	57.25
OphJ162225-240515B	M8.75	58.75
SSPM J1102-3431	M8.5	58.5
Usco J160603.75-221930.0	M8.75	58.75
USco J160723.82221102.0	M8.5	58.5
UScoCTIO 128	M7	57
ISO-Oph 023	M7	57
ISO-Oph 032	M6.5	56.5
ISO-Oph 033	M8	58
ISO-Oph 160	M7.5	57.5
ISO-Oph 164	M8	58
ISO-Oph 176	M7.5	57.5
2MASS 1207-3932	M8.0	58
2MASS 1207-3932	M8.0	58
CFHT-BD-Tau 4	M7.0	57
CFHT-BD-Tau 4	M7.0	57
GY 310	M7.0	57
GY 310	M7.0	57
IC348 291	M7.25	57.25
IC348 291	M7.25	57.25
IC348 415	M6.5	56.5
IC348 415	M6.5	56.5
KPNO Tau 12	M9.0	59
KPNO Tau 12	M9.0	59
KPNO Tau 4	M9.5	59.5
KPNO Tau 4	M9.5	59.5
KPNO Tau 6	M8.5	58.5
KPNO Tau 6	M8.5	58.5
KPNO Tau 7	M8.25	58.25
KPNO Tau 7	M8.25	58.25
USco DENIS 160603	M7.5	57.5
USco DENIS 160603	M7.5	57.5
IC348 382	M6.5	56.5
IC348 415	M6.25	56.25
MHO 5	M6	56
2M J11013205-7718249	M8	58
2MASS J04141188+2811535	M6.25	56.25
2MASS J04381486+2611399	M7.25	57.25
2MASS J04390396+2544264	M7.25	57.25
2MASS J04414825+2534304	M7.75	57.75
2MASS J04554801+3028050	M5.6	56
2MASS J11011926-7732383	M7.25	57.25
2MASS J11070324-7610565	M6	56
CFHT 3	M7.75	57.75
CFHT 4	M7	57
Cha Ha 1	M7.75	57.75
Cha Ha 10	M6.25	56.25
Cha Ha 11	M7.25	57.25
Cha Ha 12	M6.5	56.5
Cha Ha 7	M7.75	57.75
CHSM 17173	M8	58
CHSM 7869	M6	56
ISO-Oph 138	M6.5	56.5
KPNO Tau 12	M9	59
KPNO Tau 2	M7.5	57.5
KPNO Tau 4	M9.5	59.5
KPNO Tau 5	M7.5	57.5
KPNO Tau 6	M8.5	58.5
KPNO Tau 7	M8.25	58.25
Cha Ha 1	M7.5	57.5
Cha Ha 1	M7.5	57.5
Cha Ha 2	M7	57
Cha Ha 2	M6.5	56.5
Cha Ha 2	M6.5	56.5
Cha Ha 3	M7	57
Cha Ha 3	M7	57
Cha Ha 6	M7	57
ISO-Oph 023	M6	56
ISO-Oph 030	M7.5	57.5
ISO-Oph 030	M6	56
ISO-Oph 032	M7.5	57.5
ISO-Oph 102	M6	56
ISO-Oph 102	M6	56
ISO-Oph 023	M7	57
ISO-Oph 032	M6.5	56.5
ISO-Oph 033	M8	58
ISO-Oph 082	M2.5	52.5
ISO-Oph 094	M1.5	51.5
ISO-Oph 158	M2	52
ISO-Oph 160	M7.5	57.5
ISO-Oph 165	M2.5	52.5
2MASS J01033563-5515561	M5	55
2MASS J01033563-5515561	M5	55
2MASS J01033563-5515561	M5	55
2MASS J01033563-5515561	M5	55
DENIS-P	M5.5	55.5
DENIS-P	M5.5	55.5
DENIS-P	M5.5	55.5
DENIS-P	M5.5	55.5
DENIS-P	M5.5	55.5
CT Cha B	M8	58
OTS 44	M9.5	59.5
