# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
2MASSJ16085953-3856275;M8.5;58.5;2618.583266017328;0.020984504022103116;0.01805337171790403;0.025352700868578812;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.2080241778148797;-2.30578686836949;-2.0875080446890615;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
AKC2006-18;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
Lup706;M7.5;57.5;2721.803040484453;0.031389956896822765;0.025352700868578812;0.03893331172169137;0.03062217037748985;0.02581420711661538;0.03692823376029611;-1.9532126276608082;-2.0875080446890615;-1.817701615814387;-2.1468037166250955;-2.2925300307297776;-1.987668744778465
ISO-Oph 033;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
ISO-Oph 023;M7;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
ISO-Oph 030;M6;56.0;2858.473259423381;0.05841703926319091;0.04760741414084585;0.08794445858597529;0.053831262618478495;0.04438164079246555;0.06774976849791002;-1.5577250295389247;-1.6897618084210588;-1.2310453776740928;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 033;M8.5;58.5;2618.583266017328;0.020984504022103116;0.01805337171790403;0.025352700868578812;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.2080241778148797;-2.30578686836949;-2.0875080446890615;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
ISO-Oph 102;M6;56.0;2858.473259423381;0.05841703926319091;0.04760741414084585;0.08794445858597529;0.053831262618478495;0.04438164079246555;0.06774976849791002;-1.5577250295389247;-1.6897618084210588;-1.2310453776740928;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 160;M6;56.0;2858.473259423381;0.05841703926319091;0.04760741414084585;0.08794445858597529;0.053831262618478495;0.04438164079246555;0.06774976849791002;-1.5577250295389247;-1.6897618084210588;-1.2310453776740928;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 164;M6;56.0;2858.473259423381;0.05841703926319091;0.04760741414084585;0.08794445858597529;0.053831262618478495;0.04438164079246555;0.06774976849791002;-1.5577250295389247;-1.6897618084210588;-1.2310453776740928;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
ISO-Oph 193;M6;56.0;2858.473259423381;0.05841703926319091;0.04760741414084585;0.08794445858597529;0.053831262618478495;0.04438164079246555;0.06774976849791002;-1.5577250295389247;-1.6897618084210588;-1.2310453776740928;-1.6683587423050907;-1.831612623386628;-1.4764580867987491
2MASS J04141188+2811535;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
2MASS J04390396+2544264;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
2MASS J04414825+2534304;M7.75;57.75;2696.2186172918105;0.028161070210712295;0.02296788659694378;0.0350045443103746;0.028011888545494565;0.024028318503877485;0.03361560491050669;-2.0213475776204417;-2.1501722817097937;-1.8847584913598816;-2.2227210223668044;-2.3538217371198056;-2.0675012971560043
2MASS J04442713+2512164;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
2MASS J12073347-3932540;M8;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
2MASS J12073347-3932540;M8;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
2MASS J12073347-3932540;M8.25;58.25;2644.2264109904813;0.02296788659694378;0.019362839567413928;0.028161070210712295;0.024028318503877485;0.021573346722219482;0.028011888545494565;-2.1501722817097937;-2.2600201761889185;-2.0213475776204417;-2.3538217371198056;-2.443865559531059;-2.2227210223668044
DENIS-P J160603.9-205644;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
Oph J162225-240515A;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
OphJ162225-240515B;M8.75;58.75;2593.68518525287;0.019362839567413928;0.017004065183798503;0.02296788659694378;0.021573346722219482;0.02027498456593725;0.024028318503877485;-2.2600201761889185;-2.345851821416018;-2.1501722817097937;-2.443865559531059;-2.4862142504428975;-2.3538217371198056
SSPM J1102-3431;M8.5;58.5;2618.583266017328;0.020984504022103116;0.01805337171790403;0.025352700868578812;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.2080241778148797;-2.30578686836949;-2.0875080446890615;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
Usco J160603.75-221930.0;M8.75;58.75;2593.68518525287;0.019362839567413928;0.017004065183798503;0.02296788659694378;0.021573346722219482;0.02027498456593725;0.024028318503877485;-2.2600201761889185;-2.345851821416018;-2.1501722817097937;-2.443865559531059;-2.4862142504428975;-2.3538217371198056
USco J160723.82221102.0;M8.5;58.5;2618.583266017328;0.020984504022103116;0.01805337171790403;0.025352700868578812;0.022628994960182322;0.02080784442266256;0.02581420711661538;-2.2080241778148797;-2.30578686836949;-2.0875080446890615;-2.4046838451356676;-2.470906704417493;-2.2925300307297776
UScoCTIO 128;M7;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
ISO-Oph 023;M7;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
ISO-Oph 032;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
ISO-Oph 033;M8;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
ISO-Oph 160;M7.5;57.5;2721.803040484453;0.031389956896822765;0.025352700868578812;0.03893331172169137;0.03062217037748985;0.02581420711661538;0.03692823376029611;-1.9532126276608082;-2.0875080446890615;-1.817701615814387;-2.1468037166250955;-2.2925300307297776;-1.987668744778465
ISO-Oph 164;M8;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
ISO-Oph 176;M7.5;57.5;2721.803040484453;0.031389956896822765;0.025352700868578812;0.03893331172169137;0.03062217037748985;0.02581420711661538;0.03692823376029611;-1.9532126276608082;-2.0875080446890615;-1.817701615814387;-2.1468037166250955;-2.2925300307297776;-1.987668744778465
2MASS 1207-3932;M8.0;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
2MASS 1207-3932;M8.0;58.0;2670.232301104564;0.025352700868578812;0.020984504022103116;0.031389956896822765;0.02581420711661538;0.022628994960182322;0.03062217037748985;-2.0875080446890615;-2.2080241778148797;-1.9532126276608082;-2.2925300307297776;-2.4046838451356676;-2.1468037166250955
CFHT-BD-Tau 4;M7.0;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
CFHT-BD-Tau 4;M7.0;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
GY 310;M7.0;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
GY 310;M7.0;57.0;2770.236931614866;0.03893331172169137;0.031389956896822765;0.04760741414084585;0.03692823376029611;0.03062217037748985;0.04438164079246555;-1.817701615814387;-1.9532126276608082;-1.6897618084210588;-1.987668744778465;-2.1468037166250955;-1.831612623386628
IC348 291;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
IC348 291;M7.25;57.25;2746.6032516147275;0.0350045443103746;0.028161070210712295;0.043105706286854284;0.03361560491050669;0.028011888545494565;0.04049408319322805;-1.8847584913598816;-2.0213475776204417;-1.7531598896020706;-2.0675012971560043;-2.2227210223668044;-1.909402627007169
IC348 415;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
IC348 415;M6.5;56.5;2814.1020845117528;0.04760741414084585;0.03893331172169137;0.05841703926319091;0.04438164079246555;0.03692823376029611;0.053831262618478495;-1.6897618084210588;-1.817701615814387;-1.5577250295389247;-1.831612623386628;-1.987668744778465;-1.6683587423050907
KPNO Tau 12;M9.0;59.0;2569.9144877648723;0.01805337171790403;0.016166564319098183;0.020984504022103116;0.02080784442266256;0.019919053972571377;0.022628994960182322;-2.30578686836949;-2.380721844662165;-2.2080241778148797;-2.470906704417493;-2.491071434485274;-2.4046838451356676
KPNO Tau 12;M9.0;59.0;2569.9144877648723;0.01805337171790403;0.016166564319098183;0.020984504022103116;0.02080784442266256;0.019919053972571377;0.022628994960182322;-2.30578686836949;-2.380721844662165;-2.2080241778148797;-2.470906704417493;-2.491071434485274;-2.4046838451356676
