Sixth Cata	log of Orbits	of Visual	Binary Stars	: Eph	emerides									
WDS	Name	Grade	Reference	Theta	Rho	Theta	Rho	Theta	Rho	Theta	Rho	Theta	Rho	Notes
00000-1930	LTT 9831	9	HIP1997d	252.5	0.0141	340.7	0.0068	79.1	0.0143	189.2	0.0071	265.8	0.0138	astrometric orbit
00003-4417	I  1477	5	Cve2010e	102.4	0.129	111	0.16	116.8	0.192	120.9	0.224	124	0.255	
00014+3937	HLD  60	3	Hrt2011a	167.9	1.298	167.5	1.302	167.2	1.305	166.8	1.308	166.5	1.311	
00021-6817	I   699AB	5	Zir2013d	129.8	4.256	130	4.254	130.2	4.25	130.4	4.247	130.6	4.243	
00022+2705	BU  733AB	2	Sod1999	322.9	0.487	356.2	0.362	44.3	0.357	78.9	0.475	98.7	0.604	
00024+1047	A  1249AB	4	Zir2003	69.7	0.208	68.7	0.222	67.8	0.236	67	0.25	66.3	0.263	
00026-0829	A   428	4	Tok2015c	322.5	0.121	317.3	0.115	311.8	0.111	305.7	0.107	299.3	0.104	
00028+0208	BU  281AB	5	Lin2015a	160.5	1.562	160.2	1.56	159.9	1.558	159.5	1.555	159.2	1.552	
00046+4206	"CHR 122Aa,Ab"	4	Cve2008a	311.4	0.114	309.2	0.121	307.2	0.127	305.4	0.133	303.8	0.139	
00047+3416	STF3056AB	4	Zir2015a	141.9	0.709	141.9	0.709	141.8	0.708	141.8	0.707	141.7	0.706	
00048+3810	BU  862	4	Cou1986b	27.5	0.827	27.9	0.835	28.3	0.842	28.7	0.849	29.1	0.857	
00053-0542	33 Psc	9	HIP1997d	193	0.0047	195.1	0.0047	197.2	0.0048	199.2	0.0049	201.2	0.0049	astrometric orbit
00055+3406	HU 1201AB	3	Zir2003	306.9	0.168	306.8	0.159	306.7	0.149	306.5	0.139	306.4	0.127	
00057+4549	STT 547AB	4	Pop1996b	188.1	5.919	188.6	5.913	189	5.906	189.5	5.899	189.9	5.892	
00057+4549	STT 547AB	4	Kiy2001	187.7	6.016	188.1	6.007	188.5	5.998	189	5.989	189.4	5.978	
00057+4549	STT 547AF	5	Kiy2001	254.3	326.834	254.3	326.828	254.3	326.823	254.3	326.817	254.3	326.812	
00063+5826	STF3062	2	Sod1999	354.2	1.553	356	1.553	357.9	1.553	359.7	1.552	1.5	1.55	
00084+2905	"MKT  11Aa,Ab"	2	Pbx2000b	53.6	0.0038	129.2	0.0156	214.3	0.0104	263.9	0.021	284.9	0.019	
00085+3456	HDS  17	2	Cve2010c	50.6	0.133	40.3	0.123	27.5	0.106	8.4	0.083	331.5	0.056	
00088+8647	NLTT 324	9	Ren2013	121.8	0.0022	87.1	0.0025	60.8	0.0028	39.1	0.0029	17	0.0027	astrometric orbit
00090-5400	HDO 181	5	USN2001	15.3	0.441	13.7	0.451	12.2	0.461	10.7	0.472	9.3	0.482	
00090-5400	HDO 181	4	Ary2002b	28.4	0.369	26.7	0.375	25	0.381	23.4	0.387	21.9	0.393	
