#VisAO Ys
#Effective wavelength =      0.98584704 microns
#Effective width =      0.086492557 microns
#note: effective values include atmosphere
#     lambda     trans     RSR       RSR+atm
     0.870000      0.00000      0.00000       0.0000000
     0.880000   0.00873744   0.00792675    0.0079501582
     0.890000    0.0317042    0.0290895     0.029175354
     0.900000    0.0646899    0.0600216     0.060117762
     0.910000     0.113313     0.106304      0.10614380
     0.920000     0.210588     0.199733      0.19989441
     0.930000     0.381850     0.366103      0.30174131
     0.940000     0.560768     0.543425      0.54121933
     0.950000     0.805726     0.789113      0.24035411
     0.960000     0.952779     0.942956      0.79804984
     0.970000      1.00000      1.00000       1.0000000
     0.980000     0.971953     0.981973      0.98435075
     0.990000     0.850886     0.868430      0.86705513
      1.00000     0.694028     0.715493      0.71759152
      1.01000     0.563150     0.586372      0.58769504
      1.02000     0.462645     0.486493      0.48792961
      1.03000     0.383070     0.406765      0.40794481
      1.04000     0.269025     0.288439      0.28929050
      1.05000     0.189060     0.204652      0.20525308
      1.06000     0.143817     0.157161      0.15762505
      1.07000     0.108693     0.119898      0.12024431
      1.08000    0.0733394    0.0816562     0.081804126
      1.09000    0.0537845    0.0604382     0.060616220
      1.10000    0.0378316    0.0429018     0.042635715
      1.11000    0.0198676    0.0227351     0.022732817
      1.12000   0.00181253   0.00209282   0.00044496932
      1.13000      0.00000      0.00000       0.0000000
      1.14000      0.00000      0.00000       0.0000000
      1.15000      0.00000      0.00000       0.0000000
      1.16000      0.00000      0.00000       0.0000000
      1.17000      0.00000      0.00000       0.0000000
      1.18000      0.00000      0.00000       0.0000000
      1.19000      0.00000      0.00000       0.0000000
      1.20000      0.00000      0.00000       0.0000000
