#VisAO i-prime
#Effective wavelength =      0.76691462 microns
#Effective width =       0.13151942 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.670000      0.00000      0.00000      0.00000
     0.670500  4.78895e-06  4.28948e-06  4.28948e-06
     0.671000  8.01606e-06  7.18538e-06  7.18538e-06
     0.671500  1.08079e-05  9.69510e-06  9.69510e-06
     0.672000  1.56636e-05  1.40614e-05  1.40614e-05
     0.672500  2.16235e-05  1.94260e-05  1.94260e-05
     0.673000  3.30589e-05  2.97214e-05  2.97214e-05
     0.673500  4.58036e-05  4.12101e-05  4.12101e-05
     0.674000  6.76093e-05  6.08741e-05  6.08741e-05
     0.674500  9.73745e-05  8.77391e-05  8.77391e-05
     0.675000  0.000140278  0.000126491  0.000126491
     0.675500  0.000201109  0.000181478  0.000181478
     0.676000  0.000285028  0.000257396  0.000257396
     0.676500  0.000402734  0.000363959  0.000363959
     0.677000  0.000561492  0.000507807  0.000507807
     0.677500  0.000779622  0.000705601  0.000705601
     0.678000   0.00107449  0.000973195  0.000973195
     0.678500   0.00147155   0.00133380   0.00133380
     0.679000   0.00198874   0.00180391   0.00180391
     0.679500   0.00265179   0.00240710   0.00240710
     0.680000   0.00352777   0.00320462   0.00320462
     0.680500   0.00465341   0.00423025   0.00423025
     0.681000   0.00603799   0.00549295   0.00549295
     0.681500   0.00782165   0.00712082   0.00712082
     0.682000    0.0100530   0.00915895   0.00915895
     0.682500    0.0127548    0.0116290    0.0116290
     0.683000    0.0160220    0.0146186    0.0146186
     0.683500    0.0199530    0.0182185    0.0182185
     0.684000    0.0245932    0.0224718    0.0224718
     0.684500    0.0300496    0.0274775    0.0274775
     0.685000    0.0364599    0.0333635    0.0333635
     0.685500    0.0438680    0.0401718    0.0401718
     0.686000    0.0521128    0.0477567    0.0477567
     0.686500    0.0615675    0.0564622    0.0564622
     0.687000    0.0721978    0.0662593    0.0662593
     0.687500    0.0837658    0.0769317    0.0769317
     0.688000    0.0965834    0.0887682    0.0887682
     0.688500     0.110839     0.101945     0.101945
     0.689000     0.126011     0.115983     0.115983
     0.689500     0.142323     0.131092     0.131092
     0.690000     0.159665     0.147172     0.147172
     0.690500     0.177685     0.163900     0.163900
     0.691000     0.196525     0.181411     0.181411
     0.691500     0.216863     0.200329     0.200329
     0.692000     0.237982     0.219997     0.219997
     0.692500     0.259326     0.239901     0.239901
     0.693000     0.281736     0.260821     0.260821
     0.693500     0.304632     0.282220     0.282220
     0.694000     0.327394     0.303526     0.303526
     0.694500     0.350943     0.325593     0.325593
     0.695000     0.374685     0.347870     0.347870
     0.695500     0.398205     0.369973     0.369973
     0.696000     0.421894     0.392264     0.392264
     0.696500     0.445262     0.414289     0.414289
     0.697000     0.468466     0.436192     0.436192
     0.697500     0.491345     0.457822     0.457822
     0.698000     0.514109     0.479376     0.479376
     0.698500     0.536523     0.500635     0.500635
     0.699000     0.557852     0.520910     0.520910
     0.699500     0.577997     0.540106     0.540106
     0.700000     0.597394     0.558631     0.558631
     0.700500     0.616964     0.577343     0.577343
     0.701000     0.636266     0.595831     0.595831
     0.701500     0.654875     0.613695     0.613695
     0.702000     0.672918     0.631053     0.631053
     0.702500     0.690140     0.647664     0.647664
     0.703000     0.706574     0.663558     0.663558
     0.703500     0.722704     0.679189     0.679189
     0.704000     0.737811     0.693879     0.693879
     0.704500     0.752618     0.708307     0.708307
     0.705000     0.766749     0.722119     0.722119
     0.705500     0.780008     0.735127     0.735127
     0.706000     0.792742     0.747657     0.747657
     0.706500     0.804954     0.759712     0.759712
     0.707000     0.816393     0.771054     0.771054
     0.707500     0.826454     0.781109     0.781109
     0.708000     0.834522     0.789292     0.789292
     0.708500     0.843868     0.798695     0.798695
     0.709000     0.853291     0.808183     0.808183
     0.709500     0.862254     0.817248     0.817248
     0.710000     0.870806     0.825936     0.825936
     0.710500     0.878648     0.833960     0.833960
     0.711000     0.886274     0.841790     0.841790
     0.711500     0.893621     0.849365     0.849365
     0.712000     0.900353     0.856365     0.856365
     0.712500     0.907007     0.863300     0.863300
     0.713000     0.912908     0.869527     0.869527
     0.713500     0.918625     0.875586     0.875586
     0.714000     0.924098     0.881419     0.881419
     0.714500     0.929364     0.887063     0.887063
     0.715000     0.934452     0.892543     0.892543
     0.715500     0.938823     0.897345     0.897345
     0.716000     0.943239     0.902197     0.902197
     0.716500     0.946166     0.905627     0.905627
     0.717000     0.947241     0.907289     0.907289
     0.717500     0.950394     0.910944     0.910944
     0.718000     0.953810     0.914856     0.914856
     0.718500     0.957142     0.918691     0.918691
     0.719000     0.960193     0.922260     0.922260
     0.719500     0.963153     0.925747     0.925747
     0.720000     0.965764     0.928902     0.928902
     0.720500     0.968391     0.932075     0.932075
     0.721000     0.970830     0.935071     0.935071
     0.721500     0.973193     0.937997     0.937997
     0.722000     0.975399     0.940775     0.940775
     0.722500     0.977490     0.943444     0.943444
     0.723000     0.979476     0.946015     0.946015
     0.723500     0.981184     0.948321     0.948321
     0.724000     0.982946     0.950680     0.950680
     0.724500     0.984699     0.953034     0.953034
     0.725000     0.986212     0.955156     0.955156
     0.725500     0.986499     0.956093     0.956093
     0.726000     0.985417     0.955703     0.955703
     0.726500     0.986281     0.957199     0.957199
     0.727000     0.987464     0.959007     0.959007
     0.727500     0.988598     0.960769     0.960769
     0.728000     0.989639     0.962442     0.962442
     0.728500     0.990766     0.964199     0.964199
     0.729000     0.991685     0.965756     0.965756
     0.729500     0.992583     0.967294     0.967294
     0.730000     0.993386     0.968740     0.968740
     0.730500     0.994285     0.970280     0.970280
     0.731000     0.995072     0.971713     0.971713
     0.731500     0.995708     0.972999     0.972999
     0.732000     0.996401     0.974342     0.974342
     0.732500     0.997067     0.975659     0.975659
     0.733000     0.997742     0.976986     0.976986
     0.733500     0.997879     0.977787     0.977787
     0.734000     0.995596     0.976215     0.976215
     0.734500     0.994426     0.975731     0.975731
     0.735000     0.994986     0.976945     0.976945
     0.735500     0.995560     0.978175     0.978175
     0.736000     0.995924     0.979197     0.979197
     0.736500     0.996261     0.980194     0.980194
     0.737000     0.996795     0.981385     0.981385
     0.737500     0.997157     0.982407     0.982407
     0.738000     0.997597     0.983507     0.983507
     0.738500     0.997983     0.984554     0.984554
     0.739000     0.998444     0.985676     0.985676
     0.739500     0.998805     0.986700     0.986700
     0.740000     0.999183     0.987740     0.987740
     0.740500     0.999528     0.988749     0.988749
     0.741000     0.999723     0.989610     0.989610
     0.741500      1.00000     0.990552     0.990552
     0.742000     0.998179     0.989415     0.989415
     0.742500     0.995879     0.987801     0.987801
     0.743000     0.996113     0.988698     0.988698
     0.743500     0.996461     0.989709     0.989709
     0.744000     0.996780     0.990692     0.990692
     0.744500     0.997051     0.991627     0.991627
     0.745000     0.997316     0.992556     0.992556
     0.745500     0.997576     0.993482     0.993482
     0.746000     0.997878     0.994449     0.994449
     0.746500     0.998224     0.995460     0.995460
     0.747000     0.998407     0.996310     0.996310
     0.747500     0.998740     0.997309     0.997309
     0.748000     0.999028     0.998264     0.998264
     0.748500     0.999309     0.999212     0.999212
     0.749000     0.999429      1.00000      1.00000
     0.749500     0.997082     0.998318     0.998318
     0.750000     0.995552     0.997451     0.997451
     0.750500     0.994827     0.997389     0.997389
     0.751000     0.994187     0.997411     0.997411
     0.751500     0.993597     0.997483     0.997483
     0.752000     0.992881     0.997427     0.997427
     0.752500     0.992084     0.997289     0.997289
     0.753000     0.991445     0.997309     0.997309
