#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.754000      0.00000      0.00000      0.00000
     0.754500  2.30506e-06  2.06022e-06  2.06022e-06
     0.755000  2.41550e-06  2.16036e-06  2.16036e-06
     0.755500  3.33574e-06  2.98536e-06  2.98536e-06
     0.756000  2.77270e-06  2.48311e-06  2.48311e-06
     0.756500  1.85366e-06  1.66116e-06  1.66116e-06
     0.757000  1.53153e-06  1.37339e-06  1.37339e-06
     0.757500  1.70091e-06  1.52629e-06  1.52629e-06
     0.758000  1.82207e-06  1.63608e-06  1.63608e-06
     0.758500  2.27509e-06  2.04421e-06  2.04421e-06
     0.759000  5.18478e-06  4.66169e-06  4.66169e-06
     0.759500  2.96817e-06  2.67047e-06  2.67047e-06
     0.760000  3.22554e-06  2.90394e-06  2.90394e-06
     0.760500  3.69140e-06  3.32554e-06  3.32554e-06
     0.761000  3.09639e-06  2.79133e-06  2.79133e-06
     0.761500  1.92792e-06  1.73912e-06  1.73912e-06
     0.762000  2.92006e-06  2.63583e-06  2.63583e-06
     0.762500  4.67773e-06  4.22519e-06  4.22519e-06
     0.763000  4.51933e-06  4.08479e-06  4.08479e-06
     0.763500  4.81574e-06  4.35555e-06  4.35555e-06
     0.764000  3.38647e-06  3.06487e-06  3.06487e-06
     0.764500  3.21235e-06  2.90918e-06  2.90918e-06
     0.765000  4.10284e-06  3.71807e-06  3.71807e-06
     0.765500  5.24638e-06  4.75747e-06  4.75747e-06
     0.766000  3.47455e-06  3.15282e-06  3.15282e-06
     0.766500  4.41611e-06  4.00981e-06  4.00981e-06
     0.767000  5.58631e-06  5.07565e-06  5.07565e-06
     0.767500  4.18421e-06  3.80420e-06  3.80420e-06
     0.768000  3.96102e-06  3.60362e-06  3.60362e-06
     0.768500  5.10152e-06  4.64424e-06  4.64424e-06
     0.769000  5.92960e-06  5.40160e-06  5.40160e-06
     0.769500  6.71264e-06  6.11890e-06  6.11890e-06
     0.770000  6.47630e-06  5.90730e-06  5.90730e-06
     0.770500  6.28056e-06  5.73248e-06  5.73248e-06
     0.771000  7.23173e-06  6.60493e-06  6.60493e-06
     0.771500  8.01741e-06  7.32726e-06  7.32726e-06
     0.772000  8.53336e-06  7.80385e-06  7.80385e-06
     0.772500  1.00577e-05  9.20381e-06  9.20381e-06
     0.773000  8.91208e-06  8.16074e-06  8.16074e-06
     0.773500  1.01468e-05  9.29740e-06  9.29740e-06
     0.774000  1.10697e-05  1.01496e-05  1.01496e-05
     0.774500  1.27973e-05  1.17412e-05  1.17412e-05
     0.775000  1.17740e-05  1.08093e-05  1.08093e-05
     0.775500  1.16745e-05  1.07248e-05  1.07248e-05
     0.776000  1.29981e-05  1.19485e-05  1.19485e-05
     0.776500  1.53472e-05  1.41170e-05  1.41170e-05
     0.777000  1.45148e-05  1.33599e-05  1.33599e-05
     0.777500  1.58300e-05  1.45799e-05  1.45799e-05
     0.778000  1.51350e-05  1.39487e-05  1.39487e-05
     0.778500  1.81515e-05  1.67395e-05  1.67395e-05
     0.779000  1.97868e-05  1.82593e-05  1.82593e-05
     0.779500  2.06694e-05  1.90861e-05  1.90861e-05
     0.780000  2.07858e-05  1.92058e-05  1.92058e-05
     0.780500  2.05219e-05  1.89742e-05  1.89742e-05
     0.781000  2.33995e-05  2.16486e-05  2.16486e-05
     0.781500  2.49536e-05  2.31012e-05  2.31012e-05
     0.782000  2.73564e-05  2.53418e-05  2.53418e-05
     0.782500  2.98413e-05  2.76614e-05  2.76614e-05
     0.783000  2.87408e-05  2.66583e-05  2.66583e-05
     0.783500  3.54783e-05  3.29286e-05  3.29286e-05
     0.784000  3.36685e-05  3.12688e-05  3.12688e-05
     0.784500  3.73337e-05  3.46948e-05  3.46948e-05
     0.785000  3.96063e-05  3.68303e-05  3.68303e-05
     0.785500  4.31292e-05  4.01318e-05  4.01318e-05
     0.786000  4.54722e-05  4.23389e-05  4.23389e-05
     0.786500  4.95471e-05  4.61623e-05  4.61623e-05
     0.787000  5.29678e-05  4.93808e-05  4.93808e-05
     0.787500  5.89139e-05  5.49591e-05  5.49591e-05
     0.788000  6.13396e-05  5.72583e-05  5.72583e-05
     0.788500  6.38941e-05  5.96807e-05  5.96807e-05
     0.789000  6.99095e-05  6.53408e-05  6.53408e-05
     0.789500  7.60497e-05  7.11248e-05  7.11248e-05
     0.790000  8.05062e-05  7.53404e-05  7.53404e-05
     0.790500  8.86502e-05  8.30143e-05  8.30143e-05
     0.791000  9.14325e-05  8.56739e-05  8.56739e-05
     0.791500  0.000100046  9.38040e-05  9.38040e-05
     0.792000  0.000109659  0.000102882  0.000102882
     0.792500  0.000116623  0.000109485  0.000109485
     0.793000  0.000125941  0.000118307  0.000118307
     0.793500  0.000134719  0.000126633  0.000126633
     0.794000  0.000146451  0.000137748  0.000137748
     0.794500  0.000158893  0.000149545  0.000149545
     0.795000  0.000170614  0.000160676  0.000160676
     0.795500  0.000184491  0.000173855  0.000173855
     0.796000  0.000199192  0.000187826  0.000187826
     0.796500  0.000215195  0.000203044  0.000203044
     0.797000  0.000234206  0.000221120  0.000221120
     0.797500  0.000252180  0.000238239  0.000238239
     0.798000  0.000274832  0.000259802  0.000259802
     0.798500  0.000297614  0.000281514  0.000281514
     0.799000  0.000324448  0.000307088  0.000307088
     0.799500  0.000350088  0.000331564  0.000331564
     0.800000  0.000380283  0.000360386  0.000360386
     0.800500  0.000415677  0.000394175  0.000394175
     0.801000  0.000450808  0.000427755  0.000427755
     0.801500  0.000493944  0.000468978  0.000468978
     0.802000  0.000537353  0.000510511  0.000510511
     0.802500  0.000585485  0.000556586  0.000556586
     0.803000  0.000639472  0.000608286  0.000608286
     0.803500  0.000696567  0.000663010  0.000663010
     0.804000  0.000765775  0.000729338  0.000729338
     0.804500  0.000834658  0.000795437  0.000795437
     0.805000  0.000911285  0.000869003  0.000869003
     0.805500  0.000997282  0.000951600  0.000951600
     0.806000   0.00109315   0.00104373   0.00104373
     0.806500   0.00119887   0.00114537   0.00114537
     0.807000   0.00131297   0.00125516   0.00125516
     0.807500   0.00144324   0.00138055   0.00138055
     0.808000   0.00158833   0.00152028   0.00152028
