#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ch4_bs-65-35_scibs-5050.dat
#
# Science CH4 bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  8.75106e-07 [central wavelength, in m]
#    w_eff:     2.5723e-08 [effective width, in m]
#    FWHM:      2.50716e-08 [full-width at half max., in m]
#    Trans_max: 0.0430747 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00875975 [W/m^3 above atm]
#    f_nu_0:     2237.08 [Jy above atm]
#    f_phot_0:   3.85825e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 6.84822e-09 [W at telescope aperture]
#    F_phot_0:   1.29927e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  8.063e-07          0
  8.064e-07          1.32903e-05
  8.065e-07          2.65837e-05
  8.066e-07          3.98803e-05
  8.067e-07          5.318e-05
  8.068e-07          6.64779e-05
  8.069e-07          7.9777e-05
  8.07e-07          7.98918e-05
  8.071e-07          7.99936e-05
  8.072e-07          8.00953e-05
  8.073e-07          8.01969e-05
  8.074e-07          8.02985e-05
  8.075e-07          8.0445e-05
  8.076e-07          8.05752e-05
  8.077e-07          8.07055e-05
  8.078e-07          8.07997e-05
  8.079e-07          8.08938e-05
  8.08e-07          8.09797e-05
  8.081e-07          8.10659e-05
  8.082e-07          8.11642e-05
  8.083e-07          8.12794e-05
  8.084e-07          8.13945e-05
  8.085e-07          8.15214e-05
  8.086e-07          8.16483e-05
  8.087e-07          8.17752e-05
  8.088e-07          8.19021e-05
  8.089e-07          8.20252e-05
  8.09e-07          8.21482e-05
  8.091e-07          8.22713e-05
  8.092e-07          8.2345e-05
  8.093e-07          8.24186e-05
  8.094e-07          8.24919e-05
  8.095e-07          8.26015e-05
  8.096e-07          8.27111e-05
  8.097e-07          8.28208e-05
  8.098e-07          8.29304e-05
  8.099e-07          8.30427e-05
  8.1e-07          8.31551e-05
  8.101e-07          8.3257e-05
  8.102e-07          8.33589e-05
  8.103e-07          8.34609e-05
  8.104e-07          8.35628e-05
  8.105e-07          8.36647e-05
  8.106e-07          8.37666e-05
  8.107e-07          8.38622e-05
  8.108e-07          8.39578e-05
  8.109e-07          8.40702e-05
  8.11e-07          8.42079e-05
  8.111e-07          8.43476e-05
  8.112e-07          8.44873e-05
  8.113e-07          8.46271e-05
  8.114e-07          8.4608e-05
  8.115e-07          8.45718e-05
  8.116e-07          8.46791e-05
  8.117e-07          8.47863e-05
  8.118e-07          8.48937e-05
  8.119e-07          8.5001e-05
  8.12e-07          8.51083e-05
  8.121e-07          8.52008e-05
  8.122e-07          8.53101e-05
  8.123e-07          8.54193e-05
  8.124e-07          8.55582e-05
  8.125e-07          8.56971e-05
  8.126e-07          8.58361e-05
  8.127e-07          8.59751e-05
  8.128e-07          8.60713e-05
  8.129e-07          8.61674e-05
  8.13e-07          8.62636e-05
  8.131e-07          8.62775e-05
  8.132e-07          8.6291e-05
  8.133e-07          8.63045e-05
  8.134e-07          8.63593e-05
  8.135e-07          8.64284e-05
  8.136e-07          8.64974e-05
  8.137e-07          8.65957e-05
  8.138e-07          8.6694e-05
  8.139e-07          8.67923e-05
  8.14e-07          8.68906e-05
  8.141e-07          8.70042e-05
  8.142e-07          8.71307e-05
  8.143e-07          8.72571e-05
  8.144e-07          8.73836e-05
  8.145e-07          8.75101e-05
  8.146e-07          8.763e-05
  8.147e-07          8.77498e-05
  8.148e-07          8.78525e-05
  8.149e-07          8.79456e-05
  8.15e-07          8.80387e-05
  8.151e-07          8.8124e-05
  8.152e-07          8.82093e-05
  8.153e-07          8.82531e-05
  8.154e-07          8.82968e-05
  8.155e-07          8.83802e-05
  8.156e-07          8.85082e-05
  8.157e-07          8.86361e-05
  8.158e-07          8.87805e-05
  8.159e-07          8.89249e-05
  8.16e-07          8.90069e-05
  8.161e-07          8.90919e-05
  8.162e-07          8.9177e-05
  8.163e-07          8.92659e-05
  8.164e-07          8.93457e-05
  8.165e-07          8.94255e-05
  8.166e-07          8.95053e-05
  8.167e-07          8.9526e-05
  8.168e-07          8.95757e-05
  8.169e-07          8.96344e-05
  8.17e-07          8.97551e-05
  8.171e-07          8.98727e-05
  8.172e-07          8.99903e-05
  8.173e-07          9.01079e-05
  8.174e-07          9.0198e-05
  8.175e-07          9.0288e-05
  8.176e-07          9.03779e-05
  8.177e-07          9.04789e-05
  8.178e-07          9.05798e-05
  8.179e-07          9.06807e-05
  8.18e-07          9.07816e-05
  8.181e-07          9.08973e-05
  8.182e-07          9.10129e-05
  8.183e-07          9.11286e-05
  8.184e-07          9.12443e-05
  8.185e-07          9.13811e-05
  8.186e-07          9.15181e-05
  8.187e-07          9.16384e-05
  8.188e-07          9.17162e-05
  8.189e-07          9.17939e-05
  8.19e-07          9.18715e-05
  8.191e-07          9.19543e-05
  8.192e-07          9.20471e-05
  8.193e-07          9.214e-05
  8.194e-07          9.22499e-05
  8.195e-07          9.23351e-05
  8.196e-07          9.24203e-05
  8.197e-07          9.25053e-05
  8.198e-07          9.258e-05
  8.199e-07          9.26545e-05
  8.2e-07          9.27122e-05
  8.201e-07          9.27428e-05
  8.202e-07          9.28197e-05
  8.203e-07          9.28966e-05
  8.204e-07          9.29734e-05
  8.205e-07          9.30502e-05
  8.206e-07          9.31197e-05
  8.207e-07          9.32053e-05
  8.208e-07          9.32909e-05
  8.209e-07          9.33836e-05
  8.21e-07          9.34764e-05
  8.211e-07          9.35758e-05
  8.212e-07          9.36753e-05
  8.213e-07          9.37632e-05
  8.214e-07          9.3851e-05
  8.215e-07          9.39387e-05
  8.216e-07          9.406e-05
  8.217e-07          9.41814e-05
  8.218e-07          9.43027e-05
  8.219e-07          9.43632e-05
  8.22e-07          9.44236e-05
  8.221e-07          9.44759e-05
  8.222e-07          9.45282e-05
  8.223e-07          9.46026e-05
  8.224e-07          9.46769e-05
  8.225e-07          9.47512e-05
  8.226e-07          9.48254e-05
  8.227e-07          9.48565e-05
  8.228e-07          9.48874e-05
  8.229e-07          9.49181e-05
  8.23e-07          9.49488e-05
  8.231e-07          9.49437e-05
  8.232e-07          9.49384e-05
  8.233e-07          9.49328e-05
  8.234e-07          9.49914e-05
  8.235e-07          9.50498e-05
  8.236e-07          9.51259e-05
  8.237e-07          9.5202e-05
  8.238e-07          9.52586e-05
  8.239e-07          9.53152e-05
  8.24e-07          9.53789e-05
  8.241e-07          9.54375e-05
  8.242e-07          9.5496e-05
  8.243e-07          9.55543e-05
  8.244e-07          9.56125e-05
  8.245e-07          9.56905e-05
  8.246e-07          9.57521e-05
  8.247e-07          9.58137e-05
  8.248e-07          9.58871e-05
  8.249e-07          9.59605e-05
  8.25e-07          9.60338e-05
  8.251e-07          9.61135e-05
  8.252e-07          9.6216e-05
  8.253e-07          9.63348e-05
  8.254e-07          9.64536e-05
  8.255e-07          9.65494e-05
  8.256e-07          9.66452e-05
  8.257e-07          9.67409e-05
  8.258e-07          9.68366e-05
  8.259e-07          9.67944e-05
  8.26e-07          9.6752e-05
  8.261e-07          9.68317e-05
  8.262e-07          9.69115e-05
  8.263e-07          9.69911e-05
  8.264e-07          9.70708e-05
  8.265e-07          9.71504e-05
  8.266e-07          9.72401e-05
  8.267e-07          9.73298e-05
  8.268e-07          9.74195e-05
  8.269e-07          9.75259e-05
  8.27e-07          9.76322e-05
  8.271e-07          9.77378e-05
  8.272e-07          9.78433e-05
  8.273e-07          9.78515e-05
  8.274e-07          9.78546e-05
  8.275e-07          9.78574e-05
  8.276e-07          9.786e-05
  8.277e-07          9.79286e-05
  8.278e-07          9.7996e-05
  8.279e-07          9.80633e-05
  8.28e-07          9.81384e-05
  8.281e-07          9.82139e-05
  8.282e-07          9.82894e-05
  8.283e-07          9.83648e-05
  8.284e-07          9.83961e-05
  8.285e-07          9.84273e-05
  8.286e-07          9.84584e-05
  8.287e-07          9.85335e-05
  8.288e-07          9.86086e-05
  8.289e-07          9.86837e-05
  8.29e-07          9.87587e-05
  8.291e-07          9.88261e-05
  8.292e-07          9.89319e-05
  8.293e-07          9.90376e-05
  8.294e-07          9.91432e-05
  8.295e-07          9.92487e-05
  8.296e-07          9.93542e-05
  8.297e-07          9.94138e-05
  8.298e-07          9.94734e-05
  8.299e-07          9.95329e-05
  8.3e-07          9.95923e-05
  8.301e-07          9.96835e-05
  8.302e-07          9.97747e-05
  8.303e-07          9.98659e-05
  8.304e-07          9.99571e-05
  8.305e-07          0.000100012
  8.306e-07          0.000100018
  8.307e-07          0.000100024
  8.308e-07          0.000100071
  8.309e-07          0.000100165
  8.31e-07          0.000100259
  8.311e-07          0.000100339
  8.312e-07          0.000100365
  8.313e-07          0.000100392
  8.314e-07          0.000100402
  8.315e-07          0.000100411
  8.316e-07          0.0001004
  8.317e-07          0.000100388
  8.318e-07          0.000100452
  8.319e-07          0.000100517
  8.32e-07          0.000100581
