#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-halpha-cont_bs-halpha-ir_scibs-halpha.dat
#
# Science H-alpha Continuum bandpass with H-alpha/IR B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.68052e-07 [central wavelength, in m]
#    w_eff:     8.62173e-09 [effective width, in m]
#    FWHM:      8.50373e-09 [full-width at half max., in m]
#    Trans_max: 0.218202 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0197919 [W/m^3 above atm]
#    f_nu_0:     2946.18 [Jy above atm]
#    f_phot_0:   6.65584e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.18615e-09 [W at telescope aperture]
#    F_phot_0:   3.80558e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.515e-07          0
  6.516e-07          1.81635e-09
  6.517e-07          2.0555e-09
  6.518e-07          2.23115e-09
  6.519e-07          2.37389e-09
  6.52e-07          2.47292e-09
  6.521e-07          2.48971e-09
  6.522e-07          2.46368e-09
  6.523e-07          2.46314e-09
  6.524e-07          2.46236e-09
  6.525e-07          2.53268e-09
  6.526e-07          2.60174e-09
  6.527e-07          2.72771e-09
  6.528e-07          2.85215e-09
  6.529e-07          3.05373e-09
  6.53e-07          3.18033e-09
  6.531e-07          3.29025e-09
  6.532e-07          3.42687e-09
  6.533e-07          3.52013e-09
  6.534e-07          3.64131e-09
  6.535e-07          3.79183e-09
  6.536e-07          3.8677e-09
  6.537e-07          3.94521e-09
  6.538e-07          4.0476e-09
  6.539e-07          4.15266e-09
  6.54e-07          4.29356e-09
  6.541e-07          4.43909e-09
  6.542e-07          4.62173e-09
  6.543e-07          4.92718e-09
  6.544e-07          5.07912e-09
  6.545e-07          5.22796e-09
  6.546e-07          5.34231e-09
  6.547e-07          5.45482e-09
  6.548e-07          5.67574e-09
  6.549e-07          5.82456e-09
  6.55e-07          6.10329e-09
  6.551e-07          6.39211e-09
  6.552e-07          6.55929e-09
  6.553e-07          6.87132e-09
  6.554e-07          7.19576e-09
  6.555e-07          7.5368e-09
  6.556e-07          7.83511e-09
  6.557e-07          8.14731e-09
  6.558e-07          8.64657e-09
  6.559e-07          8.9888e-09
  6.56e-07          9.34699e-09
  6.561e-07          9.98855e-09
  6.562e-07          1.39144e-08
  6.563e-07          3.4985e-08
  6.564e-07          5.82805e-08
  6.565e-07          6.99927e-08
  6.566e-07          8.26501e-08
  6.567e-07          8.67014e-08
  6.568e-07          9.07422e-08
  6.569e-07          9.57033e-08
  6.57e-07          1.01675e-07
