#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35_scibs-5050_atm.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  7.61583e-07 [central wavelength, in m]
#    w_eff:     1.25524e-07 [effective width, in m]
#    FWHM:      1.39948e-07 [full-width at half max., in m]
#    Trans_max: 0.0550513 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.01346 [W/m^3 above atm]
#    f_nu_0:     2565 [Jy above atm]
#    f_phot_0:   5.11419e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.13495e-08 [W at telescope aperture]
#    F_phot_0:   1.07408e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          2.22298e-08
  5.001e-07          2.52722e-08
  5.002e-07          2.83256e-08
  5.003e-07          3.13871e-08
  5.004e-07          3.44591e-08
  5.005e-07          3.7551e-08
  5.006e-07          3.22572e-08
  5.007e-07          2.69423e-08
  5.008e-07          2.16061e-08
  5.009e-07          1.6249e-08
  5.01e-07          1.08706e-08
  5.011e-07          1.37318e-08
  5.012e-07          1.6598e-08
  5.013e-07          1.94724e-08
  5.014e-07          2.23547e-08
  5.015e-07          2.52451e-08
  5.016e-07          2.20158e-08
  5.017e-07          1.87774e-08
  5.018e-07          1.55298e-08
  5.019e-07          1.22731e-08
  5.02e-07          9.00718e-09
  5.021e-07          1.21625e-08
  5.022e-07          1.53302e-08
  5.023e-07          1.85103e-08
  5.024e-07          2.17053e-08
  5.025e-07          2.49135e-08
  5.026e-07          2.65553e-08
  5.027e-07          2.82044e-08
  5.028e-07          2.98608e-08
  5.029e-07          3.15237e-08
  5.03e-07          3.31872e-08
  5.031e-07          3.34897e-08
  5.032e-07          3.37931e-08
  5.033e-07          3.40938e-08
  5.034e-07          3.43954e-08
  5.035e-07          3.46979e-08
  5.036e-07          3.733e-08
  5.037e-07          3.99709e-08
  5.038e-07          4.26208e-08
  5.039e-07          4.52794e-08
  5.04e-07          4.7947e-08
  5.041e-07          4.32776e-08
  5.042e-07          3.85923e-08
  5.043e-07          3.38909e-08
  5.044e-07          2.91793e-08
  5.045e-07          2.44529e-08
  5.046e-07          2.52978e-08
  5.047e-07          2.61458e-08
  5.048e-07          2.69916e-08
  5.049e-07          2.78403e-08
  5.05e-07          2.86883e-08
  5.051e-07          2.82676e-08
  5.052e-07          2.78455e-08
  5.053e-07          2.74221e-08
  5.054e-07          2.70033e-08
  5.055e-07          2.65829e-08
  5.056e-07          2.93996e-08
  5.057e-07          3.22259e-08
  5.058e-07          3.50537e-08
  5.059e-07          3.78898e-08
  5.06e-07          4.07343e-08
  5.061e-07          3.89994e-08
  5.062e-07          3.72592e-08
  5.063e-07          3.55138e-08
  5.064e-07          3.37631e-08
  5.065e-07          3.20071e-08
  5.066e-07          3.22215e-08
  5.067e-07          3.24366e-08
  5.068e-07          3.26521e-08
  5.069e-07          3.28812e-08
  5.07e-07          3.3111e-08
  5.071e-07          3.17154e-08
  5.072e-07          3.03143e-08
  5.073e-07          2.89081e-08
  5.074e-07          2.74966e-08
  5.075e-07          2.60713e-08
  5.076e-07          2.80611e-08
  5.077e-07          3.00566e-08
  5.078e-07          3.20579e-08
  5.079e-07          3.40649e-08
  5.08e-07          3.60777e-08
  5.081e-07          3.39604e-08
  5.082e-07          3.18367e-08
  5.083e-07          2.97064e-08
  5.084e-07          2.75695e-08
  5.085e-07          2.54261e-08
  5.086e-07          2.50869e-08
  5.087e-07          2.47466e-08
  5.088e-07          2.44052e-08
  5.089e-07          2.40627e-08
  5.09e-07          2.3719e-08
  5.091e-07          2.44124e-08
  5.092e-07          2.51074e-08
  5.093e-07          2.58041e-08
  5.094e-07          2.65022e-08
  5.095e-07          2.72019e-08
  5.096e-07          3.13626e-08
  5.097e-07          3.55365e-08
  5.098e-07          3.97211e-08
  5.099e-07          4.39163e-08
  5.1e-07          4.81222e-08
