#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35_scibs-open_atm.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, sci open, with atmosphere
#
# Characteristics:
#    lambda_0:  7.61562e-07 [central wavelength, in m]
#    w_eff:     1.25754e-07 [effective width, in m]
#    FWHM:      1.40088e-07 [full-width at half max., in m]
#    Trans_max: 0.112856 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134618 [W/m^3 above atm]
#    f_nu_0:     2565.1 [Jy above atm]
#    f_phot_0:   5.11462e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.14505e-08 [W at telescope aperture]
#    F_phot_0:   2.20611e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          4.96201e-08
  5.001e-07          5.64089e-08
  5.002e-07          6.32216e-08
  5.003e-07          7.0052e-08
  5.004e-07          7.6905e-08
  5.005e-07          8.38022e-08
  5.006e-07          7.19851e-08
  5.007e-07          6.01218e-08
  5.008e-07          4.82123e-08
  5.009e-07          3.62568e-08
  5.01e-07          2.42549e-08
  5.011e-07          3.06375e-08
  5.012e-07          3.70311e-08
  5.013e-07          4.34421e-08
  5.014e-07          4.98705e-08
  5.015e-07          5.63162e-08
  5.016e-07          4.91105e-08
  5.017e-07          4.18849e-08
  5.018e-07          3.46394e-08
  5.019e-07          2.7374e-08
  5.02e-07          2.00889e-08
  5.021e-07          2.71253e-08
  5.022e-07          3.41886e-08
  5.023e-07          4.12789e-08
  5.024e-07          4.8402e-08
  5.025e-07          5.55539e-08
  5.026e-07          5.92125e-08
  5.027e-07          6.2887e-08
  5.028e-07          6.65774e-08
  5.029e-07          7.02823e-08
  5.03e-07          7.39881e-08
  5.031e-07          7.46594e-08
  5.032e-07          7.53326e-08
  5.033e-07          7.6e-08
  5.034e-07          7.66692e-08
  5.035e-07          7.73402e-08
  5.036e-07          8.32036e-08
  5.037e-07          8.90863e-08
  5.038e-07          9.49883e-08
  5.039e-07          1.0091e-07
  5.04e-07          1.0685e-07
  5.041e-07          9.64405e-08
  5.042e-07          8.59961e-08
  5.043e-07          7.55168e-08
  5.044e-07          6.50158e-08
  5.045e-07          5.44824e-08
  5.046e-07          5.63624e-08
  5.047e-07          5.82494e-08
  5.048e-07          6.01313e-08
  5.049e-07          6.20195e-08
  5.05e-07          6.3906e-08
  5.051e-07          6.29663e-08
  5.052e-07          6.20236e-08
  5.053e-07          6.10778e-08
  5.054e-07          6.01427e-08
  5.055e-07          5.92041e-08
  5.056e-07          6.54746e-08
  5.057e-07          7.17659e-08
  5.058e-07          7.80603e-08
  5.059e-07          8.43725e-08
  5.06e-07          9.07026e-08
  5.061e-07          8.68361e-08
  5.062e-07          8.29581e-08
  5.063e-07          7.90687e-08
  5.064e-07          7.51678e-08
  5.065e-07          7.12554e-08
  5.066e-07          7.173e-08
  5.067e-07          7.22057e-08
  5.068e-07          7.26825e-08
  5.069e-07          7.31896e-08
  5.07e-07          7.36982e-08
  5.071e-07          7.05887e-08
  5.072e-07          6.74678e-08
  5.073e-07          6.43354e-08
  5.074e-07          6.11916e-08
  5.075e-07          5.80174e-08
  5.076e-07          6.24428e-08
  5.077e-07          6.68806e-08
  5.078e-07          7.13308e-08
  5.079e-07          7.57935e-08
  5.08e-07          8.02685e-08
  5.081e-07          7.55549e-08
  5.082e-07          7.08271e-08
  5.083e-07          6.60851e-08
  5.084e-07          6.13289e-08
  5.085e-07          5.65585e-08
  5.086e-07          5.58018e-08
  5.087e-07          5.50427e-08
  5.088e-07          5.4281e-08
  5.089e-07          5.3517e-08
  5.09e-07          5.27505e-08
  5.091e-07          5.42905e-08
  5.092e-07          5.58338e-08
  5.093e-07          5.73806e-08
  5.094e-07          5.89308e-08
  5.095e-07          6.04843e-08
  5.096e-07          6.97325e-08
  5.097e-07          7.90098e-08
  5.098e-07          8.83101e-08
  5.099e-07          9.76331e-08
  5.1e-07          1.06979e-07
  5.101e-07          9.90409e-08
  5.102e-07          9.10647e-08
  5.103e-07          8.30613e-08
  5.104e-07          7.50257e-08
  5.105e-07          6.6964e-08
  5.106e-07          7.31099e-08
  5.107e-07          7.92751e-08
  5.108e-07          8.54686e-08
  5.109e-07          9.16828e-08
  5.11e-07          9.79177e-08
  5.111e-07          9.55513e-08
  5.112e-07          9.31792e-08
  5.113e-07          9.08015e-08
  5.114e-07          8.84181e-08
  5.115e-07          8.60485e-08
  5.116e-07          7.88171e-08
  5.117e-07          7.15658e-08
  5.118e-07          6.42947e-08
  5.119e-07          5.69981e-08
  5.12e-07          4.9683e-08
  5.121e-07          5.57781e-08
  5.122e-07          6.18868e-08
  5.123e-07          6.80189e-08
  5.124e-07          7.41676e-08
  5.125e-07          8.03329e-08
  5.126e-07          7.42843e-08
  5.127e-07          6.82185e-08
  5.128e-07          6.21332e-08
  5.129e-07          5.60523e-08
  5.13e-07          4.995e-08
  5.131e-07          6.05774e-08
  5.132e-07          7.12116e-08
  5.133e-07          8.18729e-08
  5.134e-07          9.25533e-08
  5.135e-07          1.03259e-07
  5.136e-07          9.92721e-08
  5.137e-07          9.5277e-08
  5.138e-07          9.12738e-08
  5.139e-07          8.72623e-08
  5.14e-07          8.32646e-08
  5.141e-07          7.98031e-08
  5.142e-07          7.63323e-08
  5.143e-07          7.28495e-08
  5.144e-07          6.93577e-08
  5.145e-07          6.58569e-08
  5.146e-07          6.97141e-08
  5.147e-07          7.35641e-08
  5.148e-07          7.74219e-08
  5.149e-07          8.12874e-08
  5.15e-07          8.51606e-08
  5.151e-07          8.22605e-08
  5.152e-07          7.93554e-08
  5.153e-07          7.64604e-08
  5.154e-07          7.35593e-08
  5.155e-07          7.06521e-08
  5.156e-07          6.63152e-08
  5.157e-07          6.19571e-08
  5.158e-07          5.75918e-08
  5.159e-07          5.32192e-08
  5.16e-07          4.88394e-08
  5.161e-07          4.58932e-08
  5.162e-07          4.29407e-08
  5.163e-07          3.99818e-08
  5.164e-07          3.70142e-08
  5.165e-07          3.40405e-08
  5.166e-07          4.18626e-08
  5.167e-07          4.97002e-08
  5.168e-07          5.75418e-08
  5.169e-07          6.53957e-08
  5.17e-07          7.32712e-08
  5.171e-07          7.55277e-08
  5.172e-07          7.77882e-08
  5.173e-07          8.00527e-08
  5.174e-07          8.23108e-08
  5.175e-07          8.45724e-08
  5.176e-07          7.8467e-08
  5.177e-07          7.23518e-08
  5.178e-07          6.62267e-08
  5.179e-07          6.00918e-08
  5.18e-07          5.39471e-08
  5.181e-07          5.9247e-08
  5.182e-07          6.4555e-08
  5.183e-07          6.98711e-08
  5.184e-07          7.51952e-08
  5.185e-07          8.05275e-08
  5.186e-07          8.52081e-08
  5.187e-07          8.98957e-08
  5.188e-07          9.45903e-08
  5.189e-07          9.9292e-08
  5.19e-07          1.04001e-07
  5.191e-07          1.10672e-07
  5.192e-07          1.17356e-07
  5.193e-07          1.24051e-07
  5.194e-07          1.30758e-07
  5.195e-07          1.37482e-07
  5.196e-07          1.22732e-07
  5.197e-07          1.07955e-07
  5.198e-07          9.31494e-08
  5.199e-07          7.83164e-08
  5.2e-07          6.34646e-08
  5.201e-07          7.35589e-08
  5.202e-07          8.36733e-08
  5.203e-07          9.37796e-08
  5.204e-07          1.039e-07
  5.205e-07          1.14034e-07
  5.206e-07          1.03853e-07
  5.207e-07          9.36672e-08
  5.208e-07          8.34648e-08
  5.209e-07          7.3246e-08
  5.21e-07          6.30108e-08
  5.211e-07          6.35409e-08
  5.212e-07          6.40653e-08
  5.213e-07          6.45902e-08
  5.214e-07          6.51267e-08
  5.215e-07          6.56641e-08
  5.216e-07          7.29674e-08
  5.217e-07          8.02828e-08
  5.218e-07          8.75956e-08
  5.219e-07          9.4918e-08
  5.22e-07          1.0225e-07
  5.221e-07          9.48022e-08
  5.222e-07          8.73443e-08
  5.223e-07          7.98764e-08
  5.224e-07          7.23983e-08
  5.225e-07          6.49102e-08
  5.226e-07          7.14731e-08
  5.227e-07          7.80446e-08
  5.228e-07          8.46247e-08
  5.229e-07          9.12135e-08
  5.23e-07          9.7811e-08
  5.231e-07          9.55815e-08
  5.232e-07          9.33769e-08
  5.233e-07          9.11678e-08
  5.234e-07          8.89543e-08
  5.235e-07          8.67105e-08
  5.236e-07          7.92674e-08
  5.237e-07          7.18143e-08
  5.238e-07          6.43514e-08
  5.239e-07          5.68935e-08
  5.24e-07          4.94217e-08
  5.241e-07          5.16823e-08
  5.242e-07          5.39329e-08
  5.243e-07          5.61864e-08
  5.244e-07          5.84428e-08
  5.245e-07          6.07021e-08
  5.246e-07          6.93348e-08
  5.247e-07          7.79788e-08
  5.248e-07          8.6634e-08
  5.249e-07          9.53005e-08
  5.25e-07          1.03978e-07
  5.251e-07          9.79884e-08
  5.252e-07          9.19923e-08
  5.253e-07          8.59899e-08
  5.254e-07          7.99812e-08
  5.255e-07          7.39662e-08
  5.256e-07          6.63557e-08
  5.257e-07          5.87372e-08
  5.258e-07          5.11107e-08
  5.259e-07          4.34764e-08
  5.26e-07          3.58422e-08
  5.261e-07          4.46856e-08
  5.262e-07          5.35417e-08
  5.263e-07          6.24104e-08
  5.264e-07          7.12945e-08
  5.265e-07          8.01919e-08
  5.266e-07          8.91026e-08
  5.267e-07          9.80011e-08
  5.268e-07          1.06908e-07
  5.269e-07          1.15824e-07
  5.27e-07          1.24749e-07
  5.271e-07          1.19049e-07
  5.272e-07          1.13343e-07
  5.273e-07          1.07631e-07
  5.274e-07          1.01913e-07
  5.275e-07          9.61885e-08
  5.276e-07          9.80973e-08
  5.277e-07          1.00008e-07
  5.278e-07          1.0192e-07
  5.279e-07          1.03835e-07
  5.28e-07          1.05751e-07
  5.281e-07          1.02042e-07
  5.282e-07          9.83289e-08
  5.283e-07          9.46102e-08
  5.284e-07          9.08864e-08
  5.285e-07          8.71633e-08
  5.286e-07          8.21704e-08
  5.287e-07          7.71701e-08
  5.288e-07          7.21577e-08
  5.289e-07          6.71386e-08
  5.29e-07          6.21127e-08
  5.291e-07          6.88034e-08
  5.292e-07          7.54928e-08
  5.293e-07          8.21897e-08
  5.294e-07          8.88892e-08
  5.295e-07          9.55954e-08
  5.296e-07          8.94879e-08
  5.297e-07          8.33742e-08
  5.298e-07          7.72543e-08
  5.299e-07          7.11281e-08
  5.3e-07          6.49957e-08
  5.301e-07          6.41994e-08
  5.302e-07          6.34026e-08
  5.303e-07          6.26054e-08
  5.304e-07          6.18076e-08
  5.305e-07          6.10093e-08
  5.306e-07          6.60963e-08
  5.307e-07          7.11883e-08
  5.308e-07          7.62853e-08
  5.309e-07          8.13873e-08
  5.31e-07          8.64998e-08
  5.311e-07          7.69901e-08
  5.312e-07          6.7465e-08
  5.313e-07          5.79096e-08
  5.314e-07          4.83438e-08
  5.315e-07          3.87678e-08
  5.316e-07          4.46454e-08
  5.317e-07          5.05425e-08
  5.318e-07          5.64489e-08
  5.319e-07          6.23646e-08
  5.32e-07          6.8272e-08
  5.321e-07          7.55667e-08
  5.322e-07          8.2867e-08
  5.323e-07          9.01729e-08
  5.324e-07          9.74845e-08
  5.325e-07          1.04802e-07
  5.326e-07          1.05669e-07
  5.327e-07          1.06536e-07
  5.328e-07          1.07405e-07
  5.329e-07          1.08274e-07
  5.33e-07          1.09143e-07
  5.331e-07          1.02435e-07
  5.332e-07          9.57179e-08
  5.333e-07          8.89918e-08
  5.334e-07          8.22355e-08
  5.335e-07          7.54735e-08
  5.336e-07          7.49851e-08
  5.337e-07          7.44962e-08
  5.338e-07          7.40069e-08
  5.339e-07          7.35172e-08
  5.34e-07          7.3027e-08
  5.341e-07          7.98168e-08
  5.342e-07          8.66121e-08
