#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35_scibs-ri.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, sci ri, without atmosphere
#
# Characteristics:
#    lambda_0:  7.64075e-07 [central wavelength, in m]
#    w_eff:     1.23715e-07 [effective width, in m]
#    FWHM:      1.31898e-07 [full-width at half max., in m]
#    Trans_max: 0.11249 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0133051 [W/m^3 above atm]
#    f_nu_0:     2554.98 [Jy above atm]
#    f_phot_0:   5.07529e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.00268e-08 [W at telescope aperture]
#    F_phot_0:   2.14665e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          1.48504e-11
  3.707e-07          1.32734e-11
  3.708e-07          1.16847e-11
  3.709e-07          1.00738e-11
  3.71e-07          8.45446e-12
  3.711e-07          8.90957e-12
  3.712e-07          9.37485e-12
  3.713e-07          9.85984e-12
  3.714e-07          1.03582e-11
  3.715e-07          1.087e-11
  3.716e-07          1.38785e-11
  3.717e-07          1.72652e-11
  3.718e-07          2.10381e-11
  3.719e-07          2.51999e-11
  3.72e-07          2.97327e-11
  3.721e-07          3.56378e-11
  3.722e-07          4.12231e-11
  3.723e-07          4.64035e-11
  3.724e-07          5.11704e-11
  3.725e-07          5.55154e-11
  3.726e-07          6.90424e-11
  3.727e-07          8.22861e-11
  3.728e-07          9.54553e-11
  3.729e-07          1.08352e-10
  3.73e-07          1.20964e-10
  3.731e-07          1.37288e-10
  3.732e-07          1.54746e-10
  3.733e-07          1.72576e-10
  3.734e-07          1.9152e-10
  3.735e-07          2.11508e-10
  3.736e-07          1.91144e-10
  3.737e-07          1.7015e-10
  3.738e-07          1.48967e-10
  3.739e-07          1.27007e-10
  3.74e-07          1.04259e-10
  3.741e-07          1.38338e-10
  3.742e-07          1.76577e-10
  3.743e-07          2.19052e-10
  3.744e-07          2.66165e-10
  3.745e-07          3.17895e-10
  3.746e-07          3.22141e-10
  3.747e-07          3.25017e-10
  3.748e-07          3.26641e-10
  3.749e-07          3.25996e-10
  3.75e-07          3.23895e-10
  3.751e-07          3.11497e-10
  3.752e-07          2.982e-10
  3.753e-07          2.84252e-10
  3.754e-07          2.69985e-10
  3.755e-07          2.5513e-10
  3.756e-07          2.31958e-10
  3.757e-07          2.09738e-10
  3.758e-07          1.88494e-10
  3.759e-07          1.68627e-10
  3.76e-07          1.49694e-10
  3.761e-07          1.53225e-10
  3.762e-07          1.56642e-10
  3.763e-07          1.60107e-10
  3.764e-07          1.6309e-10
  3.765e-07          1.66105e-10
  3.766e-07          1.89817e-10
  3.767e-07          2.15226e-10
  3.768e-07          2.42352e-10
  3.769e-07          2.71264e-10
  3.77e-07          3.02449e-10
  3.771e-07          3.10398e-10
  3.772e-07          3.17072e-10
  3.773e-07          3.22282e-10
  3.774e-07          3.26162e-10
  3.775e-07          3.29185e-10
  3.776e-07          3.21433e-10
  3.777e-07          3.14013e-10
  3.778e-07          3.06584e-10
  3.779e-07          2.99147e-10
  3.78e-07          2.90726e-10
  3.781e-07          2.91537e-10
  3.782e-07          2.92002e-10
  3.783e-07          2.92116e-10
  3.784e-07          2.91791e-10
  3.785e-07          2.9143e-10
  3.786e-07          3.09707e-10
  3.787e-07          3.28677e-10
  3.788e-07          3.48203e-10
  3.789e-07          3.68293e-10
  3.79e-07          3.89699e-10
  3.791e-07          3.89314e-10
  3.792e-07          3.86139e-10
  3.793e-07          3.80103e-10
  3.794e-07          3.70749e-10
  3.795e-07          3.49926e-10
  3.796e-07          3.90889e-10
  3.797e-07          4.3414e-10
  3.798e-07          4.79878e-10
  3.799e-07          5.2802e-10
  3.8e-07          5.7861e-10
  3.801e-07          5.31953e-10
  3.802e-07          4.86131e-10
  3.803e-07          4.41201e-10
  3.804e-07          3.97223e-10
  3.805e-07          3.54081e-10
  3.806e-07          3.96988e-10
  3.807e-07          4.37894e-10
  3.808e-07          4.7706e-10
  3.809e-07          5.14062e-10
  3.81e-07          5.48781e-10
  3.811e-07          5.74109e-10
  3.812e-07          5.96959e-10
  3.813e-07          6.1755e-10
  3.814e-07          6.35806e-10
  3.815e-07          6.51653e-10
  3.816e-07          6.3037e-10
  3.817e-07          6.09038e-10
  3.818e-07          5.87665e-10
  3.819e-07          5.66561e-10
  3.82e-07          5.45415e-10
  3.821e-07          5.75961e-10
  3.822e-07          6.07042e-10
  3.823e-07          6.38508e-10
  3.824e-07          6.70505e-10
  3.825e-07          7.03038e-10
  3.826e-07          6.25632e-10
  3.827e-07          5.50631e-10
  3.828e-07          4.79362e-10
  3.829e-07          4.11971e-10
  3.83e-07          3.48975e-10
  3.831e-07          4.07525e-10
  3.832e-07          4.64282e-10
  3.833e-07          5.18482e-10
  3.834e-07          5.70249e-10
  3.835e-07          6.1947e-10
  3.836e-07          7.05418e-10
  3.837e-07          7.99477e-10
  3.838e-07          9.00668e-10
  3.839e-07          1.00923e-09
  3.84e-07          1.12569e-09
  3.841e-07          1.01879e-09
  3.842e-07          9.11643e-10
  3.843e-07          8.09148e-10
  3.844e-07          7.11791e-10
  3.845e-07          6.19333e-10
  3.846e-07          6.3623e-10
  3.847e-07          6.52916e-10
  3.848e-07          6.68388e-10
  3.849e-07          6.82598e-10
  3.85e-07          6.95497e-10
  3.851e-07          7.59838e-10
  3.852e-07          8.18378e-10
  3.853e-07          8.91241e-10
  3.854e-07          9.68446e-10
  3.855e-07          1.04976e-09
  3.856e-07          1.12437e-09
  3.857e-07          1.20198e-09
  3.858e-07          1.27551e-09
  3.859e-07          1.35135e-09
  3.86e-07          1.42955e-09
  3.861e-07          1.38198e-09
  3.862e-07          1.33164e-09
  3.863e-07          1.281e-09
  3.864e-07          1.22722e-09
  3.865e-07          1.17002e-09
  3.866e-07          1.36416e-09
  3.867e-07          1.57374e-09
  3.868e-07          1.80047e-09
  3.869e-07          2.04333e-09
  3.87e-07          2.30326e-09
  3.871e-07          2.17536e-09
  3.872e-07          2.05044e-09
  3.873e-07          1.92242e-09
  3.874e-07          1.79712e-09
  3.875e-07          1.67468e-09
  3.876e-07          1.6557e-09
  3.877e-07          1.63547e-09
  3.878e-07          1.61639e-09
  3.879e-07          1.59542e-09
  3.88e-07          1.57306e-09
  3.881e-07          1.40903e-09
  3.882e-07          1.25157e-09
  3.883e-07          1.10056e-09
  3.884e-07          9.57562e-10
  3.885e-07          8.21199e-10
  3.886e-07          9.75799e-10
  3.887e-07          1.08488e-09
  3.888e-07          1.1466e-09
  3.889e-07          1.15585e-09
  3.89e-07          1.11304e-09
  3.891e-07          1.04715e-09
  3.892e-07          9.82589e-10
  3.893e-07          9.19629e-10
  3.894e-07          8.59702e-10
  3.895e-07          8.01012e-10
  3.896e-07          7.58672e-10
  3.897e-07          7.14881e-10
  3.898e-07          6.69241e-10
  3.899e-07          6.22949e-10
  3.9e-07          5.74122e-10
  3.901e-07          6.31293e-10
  3.902e-07          6.91861e-10
  3.903e-07          7.53076e-10
  3.904e-07          8.17406e-10
  3.905e-07          8.84921e-10
  3.906e-07          1.04084e-09
  3.907e-07          1.21092e-09
  3.908e-07          1.39611e-09
  3.909e-07          1.59631e-09
  3.91e-07          1.81486e-09
  3.911e-07          1.96007e-09
  3.912e-07          2.09525e-09
  3.913e-07          2.22001e-09
  3.914e-07          2.334e-09
  3.915e-07          2.44131e-09
  3.916e-07          2.51211e-09
  3.917e-07          2.58365e-09
  3.918e-07          2.65394e-09
  3.919e-07          2.72488e-09
  3.92e-07          2.79218e-09
  3.921e-07          2.61025e-09
  3.922e-07          2.43131e-09
  3.923e-07          2.2562e-09
  3.924e-07          2.08506e-09
  3.925e-07          1.91997e-09
  3.926e-07          1.93547e-09
  3.927e-07          1.95106e-09
  3.928e-07          1.96674e-09
  3.929e-07          1.98214e-09
  3.93e-07          2.00015e-09
  3.931e-07          2.11375e-09
  3.932e-07          2.23046e-09
  3.933e-07          2.35099e-09
  3.934e-07          2.47542e-09
  3.935e-07          2.56497e-09
  3.936e-07          2.45266e-09
  3.937e-07          2.33748e-09
  3.938e-07          2.21939e-09
  3.939e-07          2.09866e-09
  3.94e-07          1.97488e-09
  3.941e-07          2.0928e-09
  3.942e-07          2.19064e-09
  3.943e-07          2.26665e-09
  3.944e-07          2.32115e-09
  3.945e-07          2.35346e-09
  3.946e-07          2.1032e-09
  3.947e-07          1.86561e-09
  3.948e-07          1.63901e-09
  3.949e-07          1.42396e-09
  3.95e-07          1.22048e-09
  3.951e-07          1.36502e-09
  3.952e-07          1.50235e-09
  3.953e-07          1.63225e-09
  3.954e-07          1.75358e-09
  3.955e-07          1.86687e-09
  3.956e-07          1.765e-09
  3.957e-07          1.65978e-09
  3.958e-07          1.55063e-09
  3.959e-07          1.43747e-09
  3.96e-07          1.32021e-09
  3.961e-07          1.45557e-09
  3.962e-07          1.59826e-09
  3.963e-07          1.74846e-09
  3.964e-07          1.90518e-09
  3.965e-07          2.0696e-09
  3.966e-07          2.51674e-09
  3.967e-07          3.00797e-09
  3.968e-07          3.54872e-09
  3.969e-07          4.13938e-09
  3.97e-07          4.78117e-09
  3.971e-07          4.47617e-09
  3.972e-07          4.1758e-09
  3.973e-07          3.8749e-09
  3.974e-07          3.57357e-09
  3.975e-07          3.26951e-09
  3.976e-07          3.38498e-09
  3.977e-07          3.50394e-09
  3.978e-07          3.62672e-09
  3.979e-07          3.75179e-09
  3.98e-07          3.87918e-09
  3.981e-07          4.02512e-09
  3.982e-07          4.16822e-09
  3.983e-07          4.31477e-09
  3.984e-07          4.46484e-09
  3.985e-07          4.61684e-09
  3.986e-07          4.69989e-09
  3.987e-07          4.78536e-09
  3.988e-07          4.87208e-09
  3.989e-07          4.9622e-09
  3.99e-07          5.0537e-09
  3.991e-07          5.20879e-09
  3.992e-07          5.36743e-09
  3.993e-07          5.5332e-09
  3.994e-07          5.70284e-09
  3.995e-07          5.87644e-09
  3.996e-07          5.9553e-09
  3.997e-07          6.03514e-09
  3.998e-07          6.10949e-09
  3.999e-07          6.18469e-09
  4e-07          6.26296e-09
  4.001e-07          6.09567e-09
  4.002e-07          5.92934e-09
  4.003e-07          5.76545e-09
  4.004e-07          5.60255e-09
  4.005e-07          5.44067e-09
  4.006e-07          5.83231e-09
  4.007e-07          6.1977e-09
  4.008e-07          6.54187e-09
  4.009e-07          6.86397e-09
  4.01e-07          7.16542e-09
  4.011e-07          6.41718e-09
  4.012e-07          5.6741e-09
  4.013e-07          4.93641e-09
  4.014e-07          4.20506e-09
  4.015e-07          3.47926e-09
  4.016e-07          4.45926e-09
  4.017e-07          5.5022e-09
  4.018e-07          6.61128e-09
  4.019e-07          7.78859e-09
  4.02e-07          9.03458e-09
  4.021e-07          8.91795e-09
  4.022e-07          8.76269e-09
  4.023e-07          8.5561e-09
  4.024e-07          8.30982e-09
  4.025e-07          8.02316e-09
  4.026e-07          7.48555e-09
  4.027e-07          6.96197e-09
  4.028e-07          6.45156e-09
  4.029e-07          5.95673e-09
  4.03e-07          5.47699e-09
  4.031e-07          5.38362e-09
  4.032e-07          5.288e-09
  4.033e-07          5.19012e-09
  4.034e-07          5.0893e-09
  4.035e-07          4.9852e-09
  4.036e-07          4.89063e-09
  4.037e-07          4.79184e-09
  4.038e-07          4.68874e-09
  4.039e-07          4.58009e-09
  4.04e-07          4.46706e-09
  4.041e-07          4.87721e-09
  4.042e-07          5.30606e-09
  4.043e-07          5.75184e-09
  4.044e-07          6.21483e-09
  4.045e-07          6.69531e-09
  4.046e-07          6.67873e-09
  4.047e-07          6.65527e-09
  4.048e-07          6.62479e-09
  4.049e-07          6.58517e-09
  4.05e-07          6.5383e-09
  4.051e-07          6.24121e-09
  4.052e-07          5.92837e-09
  4.053e-07          5.60123e-09
  4.054e-07          5.25762e-09
  4.055e-07          4.89761e-09
  4.056e-07          5.57928e-09
  4.057e-07          6.28293e-09
  4.058e-07          7.00889e-09
  4.059e-07          7.75753e-09
  4.06e-07          8.52503e-09
  4.061e-07          7.80746e-09
  4.062e-07          7.07001e-09
  4.063e-07          6.31528e-09
  4.064e-07          5.53941e-09
  4.065e-07          4.74208e-09
  4.066e-07          5.73e-09
  4.067e-07          6.73685e-09
  4.068e-07          7.76048e-09
  4.069e-07          8.80109e-09
  4.07e-07          9.84956e-09
  4.071e-07          9.53526e-09
  4.072e-07          9.21277e-09
  4.073e-07          8.88198e-09
  4.074e-07          8.54443e-09
  4.075e-07          8.19824e-09
  4.076e-07          8.66375e-09
  4.077e-07          9.14481e-09
  4.078e-07          9.64642e-09
  4.079e-07          1.01646e-08
  4.08e-07          1.06995e-08
  4.081e-07          1.10064e-08
  4.082e-07          1.13182e-08
  4.083e-07          1.16349e-08
  4.084e-07          1.19593e-08
  4.085e-07          1.22887e-08
  4.086e-07          1.16495e-08
  4.087e-07          1.10109e-08
  4.088e-07          1.03753e-08
  4.089e-07          9.74018e-09
  4.09e-07          9.10568e-09
  4.091e-07          8.21047e-09
  4.092e-07          7.35063e-09
  4.093e-07          6.53106e-09
  4.094e-07          5.75259e-09
  4.095e-07          5.01716e-09
  4.096e-07          5.21065e-09
  4.097e-07          5.40057e-09
  4.098e-07          5.58684e-09
  4.099e-07          5.77176e-09
  4.1e-07          5.953e-09
  4.101e-07          6.5454e-09
  4.102e-07          7.14668e-09
  4.103e-07          7.76077e-09
  4.104e-07          8.38781e-09
  4.105e-07          9.02995e-09
  4.106e-07          8.65138e-09
  4.107e-07          8.25109e-09
  4.108e-07          7.82815e-09
  4.109e-07          7.38467e-09
  4.11e-07          6.91849e-09
  4.111e-07          6.57546e-09
  4.112e-07          6.2125e-09
  4.113e-07          5.82724e-09
  4.114e-07          5.42183e-09
  4.115e-07          4.99604e-09
  4.116e-07          5.79334e-09
  4.117e-07          6.61729e-09
  4.118e-07          7.46818e-09
  4.119e-07          8.34631e-09
  4.12e-07          9.25819e-09
  4.121e-07          8.79366e-09
  4.122e-07          8.31032e-09
  4.123e-07          7.80712e-09
  4.124e-07          7.27986e-09
  4.125e-07          6.73388e-09
  4.126e-07          6.99435e-09
  4.127e-07          7.26371e-09
  4.128e-07          7.53859e-09
  4.129e-07          7.81986e-09
  4.13e-07          8.10682e-09
  4.131e-07          8.05113e-09
  4.132e-07          7.99245e-09
  4.133e-07          7.93074e-09
  4.134e-07          7.86867e-09
  4.135e-07          7.80345e-09
  4.136e-07          8.24098e-09
  4.137e-07          8.68861e-09
  4.138e-07          9.14508e-09
  4.139e-07          9.61154e-09
  4.14e-07          1.00883e-08
  4.141e-07          9.73846e-09
  4.142e-07          9.35686e-09
  4.143e-07          8.94307e-09
  4.144e-07          8.49772e-09
  4.145e-07          8.01959e-09
  4.146e-07          9.05627e-09
  4.147e-07          1.01515e-08
  4.148e-07          1.13053e-08
