#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-rp_bs-65-35_scibs-5050_atm.dat
#
# Science (camssci1) r' bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  6.15078e-07 [central wavelength, in m]
#    w_eff:     1.11628e-07 [effective width, in m]
#    FWHM:      1.26454e-07 [full-width at half max., in m]
#    Trans_max: 0.107085 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0258655 [W/m^3 above atm]
#    f_nu_0:     3201.01 [Jy above atm]
#    f_phot_0:   7.91704e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.77525e-08 [W at telescope aperture]
#    F_phot_0:   2.87629e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          1.42817e-06
  5.001e-07          1.43059e-06
  5.002e-07          1.43302e-06
  5.003e-07          1.43532e-06
  5.004e-07          1.43762e-06
  5.005e-07          1.44029e-06
  5.006e-07          1.44163e-06
  5.007e-07          1.44296e-06
  5.008e-07          1.44428e-06
  5.009e-07          1.44562e-06
  5.01e-07          1.44695e-06
  5.011e-07          1.44942e-06
  5.012e-07          1.45151e-06
  5.013e-07          1.4536e-06
  5.014e-07          1.45568e-06
  5.015e-07          1.45776e-06
  5.016e-07          1.46474e-06
  5.017e-07          1.47174e-06
  5.018e-07          1.47875e-06
  5.019e-07          1.48577e-06
  5.02e-07          1.49281e-06
  5.021e-07          1.49616e-06
  5.022e-07          1.49951e-06
  5.023e-07          1.50286e-06
  5.024e-07          1.50641e-06
  5.025e-07          1.50995e-06
  5.026e-07          1.51367e-06
  5.027e-07          1.5174e-06
  5.028e-07          1.52113e-06
  5.029e-07          1.52484e-06
  5.03e-07          1.52824e-06
  5.031e-07          1.52467e-06
  5.032e-07          1.52107e-06
  5.033e-07          1.51729e-06
  5.034e-07          1.51349e-06
  5.035e-07          1.50967e-06
  5.036e-07          1.51814e-06
  5.037e-07          1.52664e-06
  5.038e-07          1.53516e-06
  5.039e-07          1.5437e-06
  5.04e-07          1.55225e-06
  5.041e-07          1.55044e-06
  5.042e-07          1.54861e-06
  5.043e-07          1.54676e-06
  5.044e-07          1.54521e-06
  5.045e-07          1.54383e-06
  5.046e-07          1.54542e-06
  5.047e-07          1.547e-06
  5.048e-07          1.54826e-06
  5.049e-07          1.54953e-06
  5.05e-07          1.5506e-06
  5.051e-07          1.553e-06
  5.052e-07          1.5554e-06
  5.053e-07          1.55781e-06
  5.054e-07          1.56056e-06
  5.055e-07          1.56332e-06
  5.056e-07          1.56962e-06
  5.057e-07          1.57593e-06
  5.058e-07          1.58189e-06
  5.059e-07          1.58786e-06
  5.06e-07          1.59384e-06
  5.061e-07          1.59065e-06
  5.062e-07          1.58744e-06
  5.063e-07          1.58422e-06
  5.064e-07          1.58098e-06
  5.065e-07          1.57772e-06
  5.066e-07          1.5807e-06
  5.067e-07          1.58368e-06
  5.068e-07          1.58667e-06
  5.069e-07          1.59029e-06
  5.07e-07          1.59391e-06
  5.071e-07          1.59414e-06
  5.072e-07          1.59436e-06
  5.073e-07          1.59457e-06
  5.074e-07          1.59478e-06
  5.075e-07          1.59445e-06
  5.076e-07          1.59455e-06
  5.077e-07          1.59464e-06
  5.078e-07          1.59473e-06
  5.079e-07          1.59481e-06
  5.08e-07          1.59488e-06
  5.081e-07          1.60056e-06
  5.082e-07          1.60625e-06
  5.083e-07          1.61194e-06
  5.084e-07          1.61765e-06
  5.085e-07          1.62336e-06
  5.086e-07          1.61584e-06
  5.087e-07          1.60829e-06
  5.088e-07          1.6007e-06
  5.089e-07          1.59309e-06
  5.09e-07          1.58545e-06
  5.091e-07          1.59119e-06
  5.092e-07          1.59694e-06
  5.093e-07          1.6027e-06
  5.094e-07          1.60847e-06
  5.095e-07          1.61424e-06
  5.096e-07          1.62357e-06
  5.097e-07          1.63309e-06
  5.098e-07          1.64262e-06
  5.099e-07          1.65217e-06
  5.1e-07          1.66174e-06
  5.101e-07          1.65927e-06
  5.102e-07          1.65661e-06
  5.103e-07          1.65394e-06
  5.104e-07          1.65114e-06
  5.105e-07          1.64832e-06
