#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-rp_bs-65-35_scibs-open_atm.dat
#
# Science (camssci1) r' bandpass with 65/35 B/S, sci open, with atmosphere
#
# Characteristics:
#    lambda_0:  6.14542e-07 [central wavelength, in m]
#    w_eff:     1.1045e-07 [effective width, in m]
#    FWHM:      1.2617e-07 [full-width at half max., in m]
#    Trans_max: 0.230797 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0259365 [W/m^3 above atm]
#    f_nu_0:     3204.35 [Jy above atm]
#    f_phot_0:   7.93209e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.70644e-08 [W at telescope aperture]
#    F_phot_0:   6.14534e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          3.18788e-06
  5.001e-07          3.19316e-06
  5.002e-07          3.19844e-06
  5.003e-07          3.20345e-06
  5.004e-07          3.20845e-06
  5.005e-07          3.21428e-06
  5.006e-07          3.21713e-06
  5.007e-07          3.21997e-06
  5.008e-07          3.2228e-06
  5.009e-07          3.22564e-06
  5.01e-07          3.22848e-06
  5.011e-07          3.23387e-06
  5.012e-07          3.23839e-06
  5.013e-07          3.24291e-06
  5.014e-07          3.24743e-06
  5.015e-07          3.25194e-06
  5.016e-07          3.26739e-06
  5.017e-07          3.28286e-06
  5.018e-07          3.29836e-06
  5.019e-07          3.31389e-06
  5.02e-07          3.32944e-06
  5.021e-07          3.33677e-06
  5.022e-07          3.34411e-06
  5.023e-07          3.35146e-06
  5.024e-07          3.35922e-06
  5.025e-07          3.36699e-06
  5.026e-07          3.37516e-06
  5.027e-07          3.38333e-06
  5.028e-07          3.39151e-06
  5.029e-07          3.39963e-06
  5.03e-07          3.40708e-06
  5.031e-07          3.39897e-06
  5.032e-07          3.39081e-06
  5.033e-07          3.38225e-06
  5.034e-07          3.37364e-06
  5.035e-07          3.36499e-06
  5.036e-07          3.38375e-06
  5.037e-07          3.40254e-06
