#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-zp_bs-65-35_scibs-open_atm.dat
#
# Science (camssci1) z' bandpass with 65/35 B/S, sci open, with atmosphere
#
# Characteristics:
#    lambda_0:  9.08467e-07 [central wavelength, in m]
#    w_eff:     1.30963e-07 [effective width, in m]
#    FWHM:      1.42257e-07 [full-width at half max., in m]
#    Trans_max: 0.0872444 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00826108 [W/m^3 above atm]
#    f_nu_0:     2243.69 [Jy above atm]
#    f_phot_0:   3.74599e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.28813e-08 [W at telescope aperture]
#    F_phot_0:   1.30082e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          6.28885e-08
  5.001e-07          6.39835e-08
  5.002e-07          6.50821e-08
  5.003e-07          6.61785e-08
  5.004e-07          6.72782e-08
  5.005e-07          6.83987e-08
  5.006e-07          5.74007e-08
  5.007e-07          4.63597e-08
  5.008e-07          3.52757e-08
  5.009e-07          2.4149e-08
  5.01e-07          1.29791e-08
  5.011e-07          2.61272e-08
  5.012e-07          3.93079e-08
  5.013e-07          5.25247e-08
  5.014e-07          6.57776e-08
  5.015e-07          7.90664e-08
  5.016e-07          7.09955e-08
  5.017e-07          6.29021e-08
  5.018e-07          5.47864e-08
  5.019e-07          4.66484e-08
  5.02e-07          3.84881e-08
  5.021e-07          4.44313e-08
  5.022e-07          5.03971e-08
  5.023e-07          5.63855e-08
  5.024e-07          6.24042e-08
  5.025e-07          6.84469e-08
  5.026e-07          6.68516e-08
  5.027e-07          6.52486e-08
  5.028e-07          6.36379e-08
  5.029e-07          6.20183e-08
  5.03e-07          6.03789e-08
  5.031e-07          5.96046e-08
  5.032e-07          5.88271e-08
  5.033e-07          5.80405e-08
  5.034e-07          5.7251e-08
  5.035e-07          5.64584e-08
  5.036e-07          6.79806e-08
  5.037e-07          7.95413e-08
  5.038e-07          9.11406e-08
  5.039e-07          1.02778e-07
  5.04e-07          1.14454e-07
  5.041e-07          9.96044e-08
  5.042e-07          8.47049e-08
  5.043e-07          6.97561e-08
  5.044e-07          5.47687e-08
  5.045e-07          3.97309e-08
  5.046e-07          3.77983e-08
  5.047e-07          3.58579e-08
  5.048e-07          3.3903e-08
  5.049e-07          3.1941e-08
  5.05e-07          2.99683e-08
  5.051e-07          3.64124e-08
  5.052e-07          4.28751e-08
  5.053e-07          4.93566e-08
  5.054e-07          5.58696e-08
  5.055e-07          6.24043e-08
  5.056e-07          6.59955e-08
  5.057e-07          6.95985e-08
  5.058e-07          7.31966e-08
  5.059e-07          7.68047e-08
  5.06e-07          8.0423e-08
  5.061e-07          6.51089e-08
  5.062e-07          4.97506e-08
  5.063e-07          3.43481e-08
  5.064e-07          1.89014e-08
  5.065e-07          3.41051e-09
  5.066e-07          1.60701e-08
  5.067e-07          2.87682e-08
  5.068e-07          4.15049e-08
  5.069e-07          5.43017e-08
  5.07e-07          6.71472e-08
  5.071e-07          5.99245e-08
  5.072e-07          5.26758e-08
  5.073e-07          4.54011e-08
  5.074e-07          3.81004e-08
  5.075e-07          3.07637e-08
  5.076e-07          2.96086e-08
  5.077e-07          2.84501e-08
  5.078e-07          2.72882e-08
  5.079e-07          2.61228e-08
  5.08e-07          2.49539e-08
  5.081e-07          2.95305e-08
  5.082e-07          3.41205e-08
  5.083e-07          3.87237e-08
  5.084e-07          4.33402e-08
  5.085e-07          4.797e-08
  5.086e-07          4.52708e-08
  5.087e-07          4.25635e-08
  5.088e-07          3.98482e-08
  5.089e-07          3.71248e-08
  5.09e-07          3.43933e-08
  5.091e-07          3.51515e-08
  5.092e-07          3.59113e-08
  5.093e-07          3.66728e-08
  5.094e-07          3.74359e-08
  5.095e-07          3.82006e-08
  5.096e-07          3.74371e-08
  5.097e-07          3.66755e-08
  5.098e-07          3.59119e-08
  5.099e-07          3.51462e-08
  5.1e-07          3.43785e-08
  5.101e-07          3.88463e-08
  5.102e-07          4.33254e-08
  5.103e-07          4.78193e-08
  5.104e-07          5.23245e-08
  5.105e-07          5.6844e-08
  5.106e-07          5.60725e-08
  5.107e-07          5.52982e-08
  5.108e-07          5.45268e-08
  5.109e-07          5.37526e-08
  5.11e-07          5.29754e-08
  5.111e-07          5.28184e-08
  5.112e-07          5.26609e-08
  5.113e-07          5.25028e-08
  5.114e-07          5.23442e-08
  5.115e-07          5.21969e-08
  5.116e-07          5.0212e-08
  5.117e-07          4.82215e-08
  5.118e-07          4.62255e-08
  5.119e-07          4.42196e-08
  5.12e-07          4.22086e-08
  5.121e-07          4.825e-08
  5.122e-07          5.43052e-08
  5.123e-07          6.03827e-08
  5.124e-07          6.64768e-08
  5.125e-07          7.25873e-08
  5.126e-07          6.39129e-08
  5.127e-07          5.52139e-08
  5.128e-07          4.64888e-08
  5.129e-07          3.7754e-08
  5.13e-07          2.89888e-08
  5.131e-07          3.48454e-08
  5.132e-07          4.07051e-08
  5.133e-07          4.65797e-08
  5.134e-07          5.24648e-08
  5.135e-07          5.83638e-08
  5.136e-07          5.231e-08
  5.137e-07          4.6244e-08
  5.138e-07          4.01659e-08
  5.139e-07          3.40756e-08
