#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-zp_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci1) z' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  9.08285e-07 [central wavelength, in m]
#    w_eff:     1.30433e-07 [effective width, in m]
#    FWHM:      1.43039e-07 [full-width at half max., in m]
#    Trans_max: 0.0842431 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00826468 [W/m^3 above atm]
#    f_nu_0:     2244.04 [Jy above atm]
#    f_phot_0:   3.74711e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.27627e-08 [W at telescope aperture]
#    F_phot_0:   1.25137e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          1.96078e-08
  5.001e-07          2.03406e-08
  5.002e-07          2.1088e-08
  5.003e-07          2.18481e-08
  5.004e-07          2.26227e-08
  5.005e-07          2.34179e-08
  5.006e-07          2.01778e-08
  5.007e-07          1.67209e-08
  5.008e-07          1.3046e-08
  5.009e-07          9.15201e-09
  5.01e-07          5.03762e-09
  5.011e-07          1.04229e-08
  5.012e-07          1.61054e-08
  5.013e-07          2.20877e-08
  5.014e-07          2.83709e-08
  5.015e-07          3.49562e-08
  5.016e-07          3.20088e-08
  5.017e-07          2.89099e-08
  5.018e-07          2.5659e-08
  5.019e-07          2.22555e-08
  5.02e-07          1.86988e-08
  5.021e-07          2.16683e-08
  5.022e-07          2.46708e-08
  5.023e-07          2.77065e-08
  5.024e-07          3.07792e-08
  5.025e-07          3.38861e-08
  5.026e-07          3.26681e-08
  5.027e-07          3.14669e-08
  5.028e-07          3.02825e-08
  5.029e-07          2.91146e-08
  5.03e-07          2.79583e-08
  5.031e-07          2.69547e-08
  5.032e-07          2.59665e-08
  5.033e-07          2.49912e-08
  5.034e-07          2.40317e-08
  5.035e-07          2.3088e-08
  5.036e-07          2.70818e-08
  5.037e-07          3.0847e-08
  5.038e-07          3.43825e-08
  5.039e-07          3.7687e-08
  5.04e-07          4.07593e-08
  5.041e-07          3.46813e-08
  5.042e-07          2.8822e-08
  5.043e-07          2.31824e-08
  5.044e-07          1.77674e-08
  5.045e-07          1.2574e-08
  5.046e-07          1.17816e-08
  5.047e-07          1.10052e-08
  5.048e-07          1.0243e-08
  5.049e-07          9.49736e-09
  5.05e-07          8.76742e-09
  5.051e-07          1.05844e-08
  5.052e-07          1.23825e-08
  5.053e-07          1.41618e-08
  5.054e-07          1.59258e-08
  5.055e-07          1.76715e-08
  5.056e-07          1.87255e-08
  5.057e-07          1.97869e-08
  5.058e-07          2.08509e-08
  5.059e-07          2.19219e-08
  5.06e-07          2.29998e-08
  5.061e-07          1.87651e-08
  5.062e-07          1.44495e-08
  5.063e-07          1.00525e-08
  5.064e-07          5.57386e-09
  5.065e-07          1.01332e-09
  5.066e-07          4.81176e-09
  5.067e-07          8.6802e-09
  5.068e-07          1.26189e-08
  5.069e-07          1.66348e-08
  5.07e-07          2.07247e-08
  5.071e-07          1.84812e-08
  5.072e-07          1.62331e-08
  5.073e-07          1.39805e-08
  5.074e-07          1.17233e-08
  5.075e-07          9.45853e-09
  5.076e-07          8.9561e-09
  5.077e-07          8.46415e-09
  5.078e-07          7.98271e-09
  5.079e-07          7.51184e-09
  5.08e-07          7.0516e-09
  5.081e-07          8.08066e-09
  5.082e-07          9.03134e-09
  5.083e-07          9.90329e-09
  5.084e-07          1.06962e-08
  5.085e-07          1.14096e-08
  5.086e-07          1.03239e-08
  5.087e-07          9.28946e-09
  5.088e-07          8.30635e-09
  5.089e-07          7.37486e-09
  5.09e-07          6.49522e-09
  5.091e-07          6.34804e-09
  5.092e-07          6.18862e-09
  5.093e-07          6.01691e-09
  5.094e-07          5.83287e-09
  5.095e-07          5.63647e-09
  5.096e-07          5.29656e-09
  5.097e-07          4.96617e-09
  5.098e-07          4.64477e-09
  5.099e-07          4.33238e-09
  5.1e-07          4.02905e-09
  5.101e-07          4.39184e-09
  5.102e-07          4.71887e-09
  5.103e-07          5.01037e-09
  5.104e-07          5.2658e-09
  5.105e-07          5.48531e-09
  5.106e-07          5.25984e-09
  5.107e-07          5.03828e-09
  5.108e-07          4.82115e-09
  5.109e-07          4.60793e-09
  5.11e-07          4.39863e-09
  5.111e-07          4.30056e-09
  5.112e-07          4.20295e-09
  5.113e-07          4.1058e-09
  5.114e-07          4.00912e-09
  5.115e-07          3.91381e-09
  5.116e-07          3.72786e-09
  5.117e-07          3.54443e-09
  5.118e-07          3.36354e-09
  5.119e-07          3.1849e-09
  5.12e-07          3.00885e-09
  5.121e-07          3.43942e-09
  5.122e-07          3.87094e-09
  5.123e-07          4.30403e-09
  5.124e-07          4.73827e-09
  5.125e-07          5.17367e-09
  5.126e-07          4.59881e-09
  5.127e-07          4.0104e-09
  5.128e-07          3.40824e-09
  5.129e-07          2.79351e-09
  5.13e-07          2.16465e-09
  5.131e-07          2.65706e-09
  5.132e-07          3.16824e-09
  5.133e-07          3.69913e-09
  5.134e-07          4.24945e-09
  5.135e-07          4.81952e-09
  5.136e-07          4.45978e-09
  5.137e-07          4.06653e-09
  5.138e-07          3.63967e-09
  5.139e-07          3.1791e-09
  5.14e-07          2.68543e-09
  5.141e-07          3.00134e-09
  5.142e-07          3.33419e-09
  5.143e-07          3.68391e-09
  5.144e-07          4.05068e-09
  5.145e-07          4.43456e-09
  5.146e-07          4.45505e-09
  5.147e-07          4.45717e-09
  5.148e-07          4.44185e-09
  5.149e-07          4.40906e-09
  5.15e-07          4.35873e-09
  5.151e-07          5.71315e-09
  5.152e-07          7.16133e-09
  5.153e-07          8.7052e-09
  5.154e-07          1.03439e-08
  5.155e-07          1.20778e-08
  5.156e-07          1.0363e-08
  5.157e-07          8.56709e-09
  5.158e-07          6.6921e-09
  5.159e-07          4.73789e-09
  5.16e-07          2.70427e-09
  5.161e-07          3.8829e-09
  5.162e-07          5.04414e-09
  5.163e-07          6.18794e-09
