#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ch4-cont_bs-65-35_scibs-5050.dat
#
# Science CH4 Continuum bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  9.2423e-07 [central wavelength, in m]
#    w_eff:     2.5342e-08 [effective width, in m]
#    FWHM:      2.59449e-08 [full-width at half max., in m]
#    Trans_max: 0.0375029 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00807026 [W/m^3 above atm]
#    f_nu_0:     2298.83 [Jy above atm]
#    f_phot_0:   3.75418e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 6.21573e-09 [W at telescope aperture]
#    F_phot_0:   1.08439e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  9.016e-07          0
  9.017e-07          1.26374e-07
  9.018e-07          2.52691e-07
  9.019e-07          3.7895e-07
  9.02e-07          5.05187e-07
  9.021e-07          6.31361e-07
  9.022e-07          7.57486e-07
  9.023e-07          9.61626e-06
  9.024e-07          1.84738e-05
  9.025e-07          2.73301e-05
  9.026e-07          3.61851e-05
  9.027e-07          4.49861e-05
  9.028e-07          5.37651e-05
  9.029e-07          6.2522e-05
  9.03e-07          7.56489e-05
  9.031e-07          8.87963e-05
  9.032e-07          0.000101927
  9.033e-07          0.00011504
  9.034e-07          0.000128202
  9.035e-07          0.000141361
  9.036e-07          0.000154516
  9.037e-07          0.000174974
  9.038e-07          0.000195437
  9.039e-07          0.000215897
  9.04e-07          0.000226134
  9.041e-07          0.000236336
  9.042e-07          0.000246534
  9.043e-07          0.000256728
  9.044e-07          0.00026695
  9.045e-07          0.000277171
  9.046e-07          0.000290302
  9.047e-07          0.000303431
  9.048e-07          0.000316061
  9.049e-07          0.000328646
  9.05e-07          0.000341188
  9.051e-07          0.000353729
  9.052e-07          0.000366548
  9.053e-07          0.000383484
  9.054e-07          0.000400396
  9.055e-07          0.000417581
  9.056e-07          0.000434766
  9.057e-07          0.000451953
  9.058e-07          0.00046914
  9.059e-07          0.000486327
  9.06e-07          0.000516862
  9.061e-07          0.000547367
  9.062e-07          0.00057787
  9.063e-07          0.000608137
  9.064e-07          0.000638379
  9.065e-07          0.000675002
  9.066e-07          0.000711629
  9.067e-07          0.000748259
  9.068e-07          0.000784892
  9.069e-07          0.000821527
  9.07e-07          0.000880908
  9.071e-07          0.000940098
  9.072e-07          0.000999068
  9.073e-07          0.00104916
  9.074e-07          0.00109922
  9.075e-07          0.00114974
  9.076e-07          0.00122286
  9.077e-07          0.00129638
  9.078e-07          0.00136933
  9.079e-07          0.00144227
  9.08e-07          0.00151538
  9.081e-07          0.00158844
  9.082e-07          0.0016615
  9.083e-07          0.00190912
  9.084e-07          0.00215589
  9.085e-07          0.00240244
  9.086e-07          0.00255134
  9.087e-07          0.00270024
  9.088e-07          0.00284914
  9.089e-07          0.00307417
  9.09e-07          0.00329919
  9.091e-07          0.00351606
  9.092e-07          0.00373189
  9.093e-07          0.00396458
  9.094e-07          0.0042042
  9.095e-07          0.00444361
  9.096e-07          0.00499154
  9.097e-07          0.005539
  9.098e-07          0.00608841
  9.099e-07          0.00671452
  9.1e-07          0.00734178
  9.101e-07          0.00796869
  9.102e-07          0.00846787
  9.103e-07          0.0089669
  9.104e-07          0.00946579
  9.105e-07          0.0103673
  9.106e-07          0.0112688
  9.107e-07          0.0121704
  9.108e-07          0.0130722
  9.109e-07          0.0143125
  9.11e-07          0.0155516
  9.111e-07          0.0167894
  9.112e-07          0.0171017
  9.113e-07          0.0174137
  9.114e-07          0.0177254
  9.115e-07          0.0189525
  9.116e-07          0.0201852
  9.117e-07          0.0214178
  9.118e-07          0.0226502
  9.119e-07          0.0238605
  9.12e-07          0.0250706
  9.121e-07          0.0262809
  9.122e-07          0.0272273
  9.123e-07          0.0281374
  9.124e-07          0.0289693
  9.125e-07          0.0297988
  9.126e-07          0.0306653
  9.127e-07          0.0315317
  9.128e-07          0.0318205
  9.129e-07          0.0321092
  9.13e-07          0.032356
  9.131e-07          0.0326013
  9.132e-07          0.0329571
  9.133e-07          0.0333415
  9.134e-07          0.0337255
  9.135e-07          0.0342962
  9.136e-07          0.0348662
  9.137e-07          0.0354453
  9.138e-07          0.0356078
  9.139e-07          0.0357702
  9.14e-07          0.0359374
  9.141e-07          0.0361052
  9.142e-07          0.036273
  9.143e-07          0.0364407
  9.144e-07          0.0365606
  9.145e-07          0.0369265
  9.146e-07          0.0372911
  9.147e-07          0.0373365
  9.148e-07          0.0373818
  9.149e-07          0.0374272
  9.15e-07          0.0374725
  9.151e-07          0.0374661
  9.152e-07          0.0374597
  9.153e-07          0.0374532
  9.154e-07          0.0374468
  9.155e-07          0.0374528
  9.156e-07          0.0374587
  9.157e-07          0.0374647
  9.158e-07          0.0374653
  9.159e-07          0.0374659
  9.16e-07          0.0374833
  9.161e-07          0.0375009
  9.162e-07          0.0375029
  9.163e-07          0.037488
  9.164e-07          0.0374411
  9.165e-07          0.0373941
  9.166e-07          0.0373471
  9.167e-07          0.0373
  9.168e-07          0.0373019
  9.169e-07          0.0373038
  9.17e-07          0.0373057
  9.171e-07          0.0373282
