#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-gp_bs-65-35_scibs-5050_atm.dat
#
# Science (camssci2) g' bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  5.25254e-07 [central wavelength, in m]
#    w_eff:     4.40286e-08 [effective width, in m]
#    FWHM:      4.73667e-08 [full-width at half max., in m]
#    Trans_max: 0.132724 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0409232 [W/m^3 above atm]
#    f_nu_0:     3753.02 [Jy above atm]
#    f_phot_0:   1.07983e+17 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.47607e-08 [W at telescope aperture]
#    F_phot_0:   1.91781e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          0.0954877
  5.001e-07          0.0956473
  5.002e-07          0.0958066
  5.003e-07          0.095958
  5.004e-07          0.0961092
  5.005e-07          0.0962851
  5.006e-07          0.0964586
  5.007e-07          0.0966322
  5.008e-07          0.0968059
  5.009e-07          0.0969804
  5.01e-07          0.0971547
  5.011e-07          0.0973014
  5.012e-07          0.0974221
  5.013e-07          0.0975424
  5.014e-07          0.0976627
  5.015e-07          0.0977828
  5.016e-07          0.0979026
  5.017e-07          0.0980221
  5.018e-07          0.0981416
  5.019e-07          0.0982609
  5.02e-07          0.0983798
  5.021e-07          0.0985533
  5.022e-07          0.0987268
  5.023e-07          0.0989003
  5.024e-07          0.0990857
  5.025e-07          0.0992713
  5.026e-07          0.0994719
  5.027e-07          0.0996725
  5.028e-07          0.099873
  5.029e-07          0.100072
  5.03e-07          0.100251
  5.031e-07          0.100408
  5.032e-07          0.100565
  5.033e-07          0.100712
  5.034e-07          0.100858
  5.035e-07          0.101005
  5.036e-07          0.101162
  5.037e-07          0.10132
  5.038e-07          0.101477
  5.039e-07          0.101634
  5.04e-07          0.101791
  5.041e-07          0.101933
  5.042e-07          0.102074
  5.043e-07          0.102216
  5.044e-07          0.102378
  5.045e-07          0.102552
  5.046e-07          0.102738
  5.047e-07          0.102923
  5.048e-07          0.103088
  5.049e-07          0.103252
  5.05e-07          0.103404
  5.051e-07          0.103533
  5.052e-07          0.103662
  5.053e-07          0.103791
  5.054e-07          0.103943
  5.055e-07          0.104096
  5.056e-07          0.104249
  5.057e-07          0.104402
  5.058e-07          0.104532
  5.059e-07          0.104661
  5.06e-07          0.10479
  5.061e-07          0.104928
  5.062e-07          0.105066
  5.063e-07          0.105203
  5.064e-07          0.105341
  5.065e-07          0.105479
  5.066e-07          0.105624
  5.067e-07          0.10577
  5.068e-07          0.105916
  5.069e-07          0.106103
  5.07e-07          0.106291
  5.071e-07          0.106472
  5.072e-07          0.106653
  5.073e-07          0.106835
  5.074e-07          0.107016
  5.075e-07          0.107162
  5.076e-07          0.107306
  5.077e-07          0.107449
  5.078e-07          0.107593
  5.079e-07          0.107736
  5.08e-07          0.10788
  5.081e-07          0.108035
  5.082e-07          0.108189
  5.083e-07          0.108344
  5.084e-07          0.108498
  5.085e-07          0.108653
  5.086e-07          0.108804
  5.087e-07          0.108956
  5.088e-07          0.109107
  5.089e-07          0.109259
  5.09e-07          0.10941
