#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-halpha_bs-halpha-ir_scibs-halpha_atm.dat
#
# Science H-alpha bandpass with H-alpha/IR B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  6.56424e-07 [central wavelength, in m]
#    w_eff:     8.52282e-09 [effective width, in m]
#    FWHM:      8.4707e-09 [full-width at half max., in m]
#    Trans_max: 0.229864 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0178848 [W/m^3 above atm]
#    f_nu_0:     2570.33 [Jy above atm]
#    f_phot_0:   5.90972e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 4.63267e-09 [W at telescope aperture]
#    F_phot_0:   3.51873e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.4e-07          0
  6.401e-07          1.51284e-06
  6.402e-07          3.03262e-06
  6.403e-07          3.33696e-06
  6.404e-07          3.64253e-06
  6.405e-07          3.73278e-06
  6.406e-07          3.82328e-06
  6.407e-07          3.83019e-06
  6.408e-07          3.83829e-06
  6.409e-07          3.84638e-06
  6.41e-07          3.85341e-06
  6.411e-07          3.85645e-06
  6.412e-07          3.86055e-06
  6.413e-07          3.863e-06
  6.414e-07          3.8664e-06
  6.415e-07          3.90971e-06
  6.416e-07          4.06297e-06
  6.417e-07          4.38811e-06
  6.418e-07          4.83297e-06
  6.419e-07          5.10922e-06
  6.42e-07          5.32809e-06
  6.421e-07          5.66953e-06
  6.422e-07          5.91344e-06
  6.423e-07          6.15734e-06
  6.424e-07          6.44585e-06
  6.425e-07          6.73435e-06
  6.426e-07          7.0233e-06
  6.427e-07          7.31222e-06
  6.428e-07          7.83288e-06
  6.429e-07          8.27492e-06
  6.43e-07          8.68339e-06
  6.431e-07          9.17303e-06
  6.432e-07          9.54916e-06
  6.433e-07          9.9426e-06
  6.434e-07          1.0347e-05
  6.435e-07          1.07733e-05
  6.436e-07          1.13681e-05
  6.437e-07          1.18329e-05
  6.438e-07          1.23153e-05
  6.439e-07          1.28148e-05
  6.44e-07          1.33424e-05
  6.441e-07          1.40899e-05
  6.442e-07          1.50715e-05
  6.443e-07          1.57638e-05
  6.444e-07          1.64548e-05
  6.445e-07          1.71477e-05
  6.446e-07          1.78395e-05
  6.447e-07          1.88378e-05
  6.448e-07          2.00236e-05
  6.449e-07          2.17302e-05
  6.45e-07          2.28889e-05
  6.451e-07          2.37703e-05
  6.452e-07          2.48084e-05
  6.453e-07          2.59417e-05
  6.454e-07          2.74995e-05
  6.455e-07          2.87423e-05
  6.456e-07          3.02556e-05
  6.457e-07          3.18344e-05
  6.458e-07          3.35033e-05
  6.459e-07          3.59965e-05
  6.46e-07          3.80647e-05
  6.461e-07          4.32444e-05
  6.462e-07          4.75006e-05
  6.463e-07          5.18447e-05
  6.464e-07          5.6495e-05
  6.465e-07          6.12334e-05
  6.466e-07          6.5745e-05
  6.467e-07          7.0317e-05
  6.468e-07          7.65506e-05
  6.469e-07          8.33293e-05
  6.47e-07          9.04638e-05
  6.471e-07          9.8472e-05
  6.472e-07          0.000110031
  6.473e-07          0.000118705
  6.474e-07          0.000129158
  6.475e-07          0.000142333
  6.476e-07          0.000155893
  6.477e-07          0.000174252
