#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ip_bs-65-35_scibs-5050_atm.dat
#
# Science (camssci2) i' bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  7.61541e-07 [central wavelength, in m]
#    w_eff:     1.25973e-07 [effective width, in m]
#    FWHM:      1.40229e-07 [full-width at half max., in m]
#    Trans_max: 0.057805 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134635 [W/m^3 above atm]
#    f_nu_0:     2565.2 [Jy above atm]
#    f_phot_0:   5.11502e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.15466e-08 [W at telescope aperture]
#    F_phot_0:   1.13202e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          2.73903e-08
  5.001e-07          3.11367e-08
  5.002e-07          3.4896e-08
  5.003e-07          3.86648e-08
  5.004e-07          4.2446e-08
  5.005e-07          4.62512e-08
  5.006e-07          3.97279e-08
  5.007e-07          3.31795e-08
  5.008e-07          2.66061e-08
  5.009e-07          2.00078e-08
  5.01e-07          1.33843e-08
  5.011e-07          1.69057e-08
  5.012e-07          2.0433e-08
  5.013e-07          2.39697e-08
  5.014e-07          2.75157e-08
  5.015e-07          3.10711e-08
  5.016e-07          2.70946e-08
  5.017e-07          2.31074e-08
  5.018e-07          1.91095e-08
  5.019e-07          1.5101e-08
  5.02e-07          1.10817e-08
  5.021e-07          1.49627e-08
  5.022e-07          1.88584e-08
  5.023e-07          2.27686e-08
  5.024e-07          2.66967e-08
  5.025e-07          3.06404e-08
  5.026e-07          3.26572e-08
  5.027e-07          3.46826e-08
  5.028e-07          3.67166e-08
  5.029e-07          3.87586e-08
  5.03e-07          4.08009e-08
  5.031e-07          4.11696e-08
  5.032e-07          4.15395e-08
  5.033e-07          4.19062e-08
  5.034e-07          4.22738e-08
  5.035e-07          4.26423e-08
  5.036e-07          4.58736e-08
  5.037e-07          4.91154e-08
  5.038e-07          5.23675e-08
  5.039e-07          5.56301e-08
  5.04e-07          5.89032e-08
  5.041e-07          5.31629e-08
  5.042e-07          4.74038e-08
  5.043e-07          4.16259e-08
  5.044e-07          3.58364e-08
  5.045e-07          3.00295e-08
  5.046e-07          3.10647e-08
  5.047e-07          3.21036e-08
  5.048e-07          3.31398e-08
  5.049e-07          3.41792e-08
  5.05e-07          3.52177e-08
  5.051e-07          3.46987e-08
  5.052e-07          3.41781e-08
  5.053e-07          3.36558e-08
  5.054e-07          3.31394e-08
  5.055e-07          3.26212e-08
  5.056e-07          3.6075e-08
  5.057e-07          3.954e-08
  5.058e-07          4.30065e-08
  5.059e-07          4.64827e-08
  5.06e-07          4.99683e-08
  5.061e-07          4.78367e-08
  5.062e-07          4.56989e-08
  5.063e-07          4.35549e-08
  5.064e-07          4.14047e-08
  5.065e-07          3.92483e-08
  5.066e-07          3.95084e-08
  5.067e-07          3.97691e-08
  5.068e-07          4.00304e-08
  5.069e-07          4.03084e-08
  5.07e-07          4.05871e-08
  5.071e-07          3.88733e-08
  5.072e-07          3.71534e-08
  5.073e-07          3.54273e-08
  5.074e-07          3.3695e-08
  5.075e-07          3.19461e-08
  5.076e-07          3.43817e-08
  5.077e-07          3.6824e-08
  5.078e-07          3.92729e-08
  5.079e-07          4.17285e-08
  5.08e-07          4.41909e-08
  5.081e-07          4.15945e-08
  5.082e-07          3.89904e-08
  5.083e-07          3.63787e-08
  5.084e-07          3.37594e-08
  5.085e-07          3.11325e-08
  5.086e-07          3.07149e-08
  5.087e-07          3.0296e-08
  5.088e-07          2.98758e-08
  5.089e-07          2.94543e-08
  5.09e-07          2.90315e-08
  5.091e-07          2.9878e-08
  5.092e-07          3.07264e-08
  5.093e-07          3.15766e-08
  5.094e-07          3.24285e-08
  5.095e-07          3.32823e-08
  5.096e-07          3.837e-08
  5.097e-07          4.34734e-08
  5.098e-07          4.8589e-08
  5.099e-07          5.37169e-08
  5.1e-07          5.88569e-08
  5.101e-07          5.44877e-08
  5.102e-07          5.0098e-08
  5.103e-07          4.56935e-08
  5.104e-07          4.12716e-08
  5.105e-07          3.68356e-08
  5.106e-07          4.0215e-08
  5.107e-07          4.36048e-08
  5.108e-07          4.701e-08
  5.109e-07          5.04263e-08
  5.11e-07          5.38538e-08
  5.111e-07          5.25505e-08
  5.112e-07          5.12442e-08
  5.113e-07          4.99349e-08
  5.114e-07          4.86225e-08
  5.115e-07          4.73179e-08
  5.116e-07          4.334e-08
  5.117e-07          3.93513e-08
  5.118e-07          3.5352e-08
  5.119e-07          3.1339e-08
  5.12e-07          2.73161e-08
  5.121e-07          3.06662e-08
  5.122e-07          3.40235e-08
  5.123e-07          3.73935e-08
  5.124e-07          4.07724e-08
  5.125e-07          4.41602e-08
  5.126e-07          4.08339e-08
  5.127e-07          3.74983e-08
  5.128e-07          3.41522e-08
  5.129e-07          3.08087e-08
  5.13e-07          2.74537e-08
  5.131e-07          3.32937e-08
  5.132e-07          3.9137e-08
  5.133e-07          4.49948e-08
  5.134e-07          5.08628e-08
  5.135e-07          5.67442e-08
  5.136e-07          5.45514e-08
  5.137e-07          5.23543e-08
  5.138e-07          5.01529e-08
  5.139e-07          4.79471e-08
  5.14e-07          4.5749e-08
  5.141e-07          4.38457e-08
  5.142e-07          4.19374e-08
  5.143e-07          4.00225e-08
  5.144e-07          3.81029e-08
  5.145e-07          3.61785e-08
  5.146e-07          3.82962e-08
  5.147e-07          4.04097e-08
  5.148e-07          4.25275e-08
  5.149e-07          4.46493e-08
  5.15e-07          4.67752e-08
  5.151e-07          4.51808e-08
  5.152e-07          4.35837e-08
  5.153e-07          4.19924e-08
  5.154e-07          4.03977e-08
  5.155e-07          3.87998e-08
  5.156e-07          3.64169e-08
  5.157e-07          3.40226e-08
  5.158e-07          3.16243e-08
  5.159e-07          2.92223e-08
  5.16e-07          2.68165e-08
  5.161e-07          2.5198e-08
  5.162e-07          2.35761e-08
  5.163e-07          2.19509e-08
  5.164e-07          2.03209e-08
  5.165e-07          1.86877e-08
  5.166e-07          2.29812e-08
  5.167e-07          2.72828e-08
  5.168e-07          3.15864e-08
  5.169e-07          3.58964e-08
  5.17e-07          4.02181e-08
  5.171e-07          4.14553e-08
  5.172e-07          4.26945e-08
  5.173e-07          4.3936e-08
  5.174e-07          4.51738e-08
  5.175e-07          4.64135e-08
  5.176e-07          4.30614e-08
  5.177e-07          3.97041e-08
  5.178e-07          3.63417e-08
  5.179e-07          3.29741e-08
  5.18e-07          2.96013e-08
  5.181e-07          3.25083e-08
  5.182e-07          3.54196e-08
