#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-rp_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci2) r' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  6.12814e-07 [central wavelength, in m]
#    w_eff:     1.05711e-07 [effective width, in m]
#    FWHM:      1.20872e-07 [full-width at half max., in m]
#    Trans_max: 0.229093 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0261299 [W/m^3 above atm]
#    f_nu_0:     3212.6 [Jy above atm]
#    f_phot_0:   7.97251e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.39503e-08 [W at telescope aperture]
#    F_phot_0:   5.86803e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          2.19394e-06
  5.001e-07          2.17804e-06
  5.002e-07          2.16208e-06
  5.003e-07          2.14586e-06
  5.004e-07          2.12959e-06
  5.005e-07          2.11379e-06
  5.006e-07          2.08622e-06
  5.007e-07          2.0586e-06
  5.008e-07          2.03091e-06
  5.009e-07          2.00319e-06
  5.01e-07          1.9754e-06
  5.011e-07          1.94379e-06
  5.012e-07          1.91155e-06
  5.013e-07          1.8792e-06
  5.014e-07          1.84676e-06
  5.015e-07          1.81422e-06
  5.016e-07          1.79427e-06
  5.017e-07          1.77406e-06
  5.018e-07          1.75359e-06
  5.019e-07          1.73286e-06
  5.02e-07          1.71188e-06
  5.021e-07          1.70949e-06
  5.022e-07          1.70707e-06
  5.023e-07          1.70463e-06
  5.024e-07          1.70237e-06
  5.025e-07          1.70009e-06
  5.026e-07          1.72583e-06
  5.027e-07          1.75168e-06
  5.028e-07          1.77764e-06
  5.029e-07          1.80367e-06
  5.03e-07          1.82944e-06
  5.031e-07          1.86187e-06
  5.032e-07          1.89409e-06
  5.033e-07          1.92591e-06
  5.034e-07          1.95752e-06
  5.035e-07          1.98891e-06
  5.036e-07          2.03575e-06
  5.037e-07          2.083e-06
  5.038e-07          2.13068e-06
