#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-zp_bs-65-35_scibs-5050_atm.dat
#
# Science (camssci2) z' bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  9.08983e-07 [central wavelength, in m]
#    w_eff:     1.32033e-07 [effective width, in m]
#    FWHM:      1.43272e-07 [full-width at half max., in m]
#    Trans_max: 0.0449134 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00825093 [W/m^3 above atm]
#    f_nu_0:     2243.15 [Jy above atm]
#    f_phot_0:   3.74318e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.31093e-08 [W at telescope aperture]
#    F_phot_0:   6.74628e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          3.47144e-08
  5.001e-07          3.53178e-08
  5.002e-07          3.59229e-08
  5.003e-07          3.65269e-08
  5.004e-07          3.71326e-08
  5.005e-07          3.77499e-08
  5.006e-07          3.16789e-08
  5.007e-07          2.55846e-08
  5.008e-07          1.94671e-08
  5.009e-07          1.33263e-08
  5.01e-07          7.16211e-09
  5.011e-07          1.44169e-08
  5.012e-07          2.16894e-08
  5.013e-07          2.89812e-08
  5.014e-07          3.62924e-08
  5.015e-07          4.3623e-08
  5.016e-07          3.91688e-08
  5.017e-07          3.47024e-08
  5.018e-07          3.02241e-08
  5.019e-07          2.57337e-08
  5.02e-07          2.12313e-08
  5.021e-07          2.4509e-08
  5.022e-07          2.77989e-08
  5.023e-07          3.11011e-08
  5.024e-07          3.44197e-08
  5.025e-07          3.77514e-08
  5.026e-07          3.68703e-08
  5.027e-07          3.59851e-08
  5.028e-07          3.50955e-08
  5.029e-07          3.42012e-08
  5.03e-07          3.32961e-08
  5.031e-07          3.28679e-08
  5.032e-07          3.24382e-08
  5.033e-07          3.20034e-08
  5.034e-07          3.1567e-08
  5.035e-07          3.11289e-08
  5.036e-07          3.74806e-08
  5.037e-07          4.38531e-08
  5.038e-07          5.02463e-08
  5.039e-07          5.66603e-08
  5.04e-07          6.30952e-08
  5.041e-07          5.4907e-08
  5.042e-07          4.66921e-08
  5.043e-07          3.84505e-08
  5.044e-07          3.01883e-08
  5.045e-07          2.18988e-08
