#####################################################################
#  MagAO-X Filter Curve
#
# magaox_wfs-open_bs-65-35.dat
#
# WFS bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  7.95095e-07 [central wavelength, in m]
#    w_eff:     3.10512e-07 [effective width, in m]
#    FWHM:      3.61791e-07 [full-width at half max., in m]
#    Trans_max: 0.0878519 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0133158 [W/m^3 above atm]
#    f_nu_0:     2544.08 [Jy above atm]
#    f_phot_0:   5.02073e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 1.25663e-07 [W at telescope aperture]
#    F_phot_0:   4.16256e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  5.98e-07          0
  5.99e-07          0.0106561
  6e-07          0.0283118
  6.01e-07          0.0338178
  6.02e-07          0.0352354
  6.03e-07          0.0370723
  6.04e-07          0.0384845
  6.05e-07          0.0397703
  6.06e-07          0.0411653
  6.07e-07          0.0425273
  6.08e-07          0.0436473
  6.09e-07          0.0447523
  6.1e-07          0.046135
  6.11e-07          0.0474238
  6.12e-07          0.0490015
  6.13e-07          0.0502556
  6.14e-07          0.0515682
  6.15e-07          0.053231
  6.16e-07          0.0546932
  6.17e-07          0.0555212
  6.18e-07          0.0563796
  6.19e-07          0.0576213
  6.2e-07          0.0585383
  6.21e-07          0.0596772
  6.22e-07          0.0605933
  6.23e-07          0.0613196
  6.24e-07          0.0623451
  6.25e-07          0.0631592
  6.26e-07          0.0642444
  6.27e-07          0.0653752
  6.28e-07          0.0666856
  6.29e-07          0.0676746
  6.3e-07          0.0683024
  6.31e-07          0.0690613
  6.32e-07          0.0698066
  6.33e-07          0.0704282
  6.34e-07          0.0712281
  6.35e-07          0.0722568
  6.36e-07          0.0730917
  6.37e-07          0.0738213
  6.38e-07          0.0743878
  6.39e-07          0.0751601
  6.4e-07          0.0761521
  6.41e-07          0.0770593
  6.42e-07          0.0778173
  6.43e-07          0.0784687
  6.44e-07          0.0791502
  6.45e-07          0.0797607
  6.46e-07          0.0804034
  6.47e-07          0.0807043
  6.48e-07          0.0812234
  6.49e-07          0.0817592
  6.5e-07          0.0825364
  6.51e-07          0.0834006
  6.52e-07          0.083834
  6.53e-07          0.084248
  6.54e-07          0.0845462
  6.55e-07          0.0845008
  6.56e-07          0.0847769
  6.57e-07          0.0850516
  6.58e-07          0.0852125
  6.59e-07          0.0854551
  6.6e-07          0.0857229
  6.61e-07          0.0862585
  6.62e-07          0.0866443
  6.63e-07          0.0868734
  6.64e-07          0.0870738
  6.65e-07          0.0872609
  6.66e-07          0.0875378
  6.67e-07          0.0876341
  6.68e-07          0.0876977
  6.69e-07          0.0876271
  6.7e-07          0.0876017
  6.71e-07          0.0877791
  6.72e-07          0.0878519
  6.73e-07          0.0877997
  6.74e-07          0.0876772
  6.75e-07          0.0875394
  6.76e-07          0.0876544
  6.77e-07          0.0872704
  6.78e-07          0.0870651
  6.79e-07          0.0870006
  6.8e-07          0.0869658
  6.81e-07          0.0869844
  6.82e-07          0.0868312
  6.83e-07          0.0869558
  6.84e-07          0.087006
  6.85e-07          0.0870379
  6.86e-07          0.0870643
  6.87e-07          0.0869531
  6.88e-07          0.086608
  6.89e-07          0.08632
  6.9e-07          0.0860571
  6.91e-07          0.0856749
  6.92e-07          0.0852158
  6.93e-07          0.0845618
  6.94e-07          0.0838928
  6.95e-07          0.0834343
  6.96e-07          0.0832144
  6.97e-07          0.0830098
  6.98e-07          0.0827441
  6.99e-07          0.0827042
  7e-07          0.0826751
  7.01e-07          0.0823742
  7.02e-07          0.0820168
  7.03e-07          0.0817861
  7.04e-07          0.0813057
  7.05e-07          0.0807388
  7.06e-07          0.0802186
  7.07e-07          0.0799097
  7.08e-07          0.0795335
  7.09e-07          0.0791292
  7.1e-07          0.0787415
  7.11e-07          0.0784037
  7.12e-07          0.078241
  7.13e-07          0.0777782
  7.14e-07          0.0772988
  7.15e-07          0.0768229
  7.16e-07          0.0764538
  7.17e-07          0.0761723
  7.18e-07          0.0760172
  7.19e-07          0.0759954
  7.2e-07          0.0760939
  7.21e-07          0.0761871
  7.22e-07          0.0761715
  7.23e-07          0.0760772
  7.24e-07          0.0757582
  7.25e-07          0.0752522
  7.26e-07          0.0749399
  7.27e-07          0.074568
  7.28e-07          0.0743459
  7.29e-07          0.0742153
  7.3e-07          0.0741645
  7.31e-07          0.0741364
  7.32e-07          0.0740951
  7.33e-07          0.0740487
  7.34e-07          0.073895
  7.35e-07          0.0735119
  7.36e-07          0.0732168
  7.37e-07          0.0729968
  7.38e-07          0.0727797
  7.39e-07          0.0723995
  7.4e-07          0.0722535
  7.41e-07          0.0722561
  7.42e-07          0.0722432
  7.43e-07          0.0722213
  7.44e-07          0.0721719
  7.45e-07          0.0715903
  7.46e-07          0.0714268
  7.47e-07          0.0712465
  7.48e-07          0.0710449
  7.49e-07          0.0708769
  7.5e-07          0.0707126
  7.51e-07          0.0703324
  7.52e-07          0.0700494
  7.53e-07          0.0699282
  7.54e-07          0.069827
  7.55e-07          0.0696471
  7.56e-07          0.0694364
  7.57e-07          0.0690446
  7.58e-07          0.0688337
  7.59e-07          0.0686507
  7.6e-07          0.0685166
  7.61e-07          0.0683879
  7.62e-07          0.0682986
  7.63e-07          0.0681191
  7.64e-07          0.0677758
  7.65e-07          0.0675767
  7.66e-07          0.0673407
  7.67e-07          0.0670805
  7.68e-07          0.0667643
  7.69e-07          0.0663875
  7.7e-07          0.0660683
  7.71e-07          0.0658089
  7.72e-07          0.0655891
  7.73e-07          0.0652705
  7.74e-07          0.0652344
  7.75e-07          0.0652384
  7.76e-07          0.0652544
  7.77e-07          0.0653207
  7.78e-07          0.0651287
  7.79e-07          0.0650697
  7.8e-07          0.0650178
  7.81e-07          0.0649456
  7.82e-07          0.0648031
  7.83e-07          0.0644678
  7.84e-07          0.0643915
  7.85e-07          0.0642825
  7.86e-07          0.0641997
  7.87e-07          0.0641047
  7.88e-07          0.0640127
  7.89e-07          0.0638818
  7.9e-07          0.0636611
  7.91e-07          0.063501
  7.92e-07          0.0632489
  7.93e-07          0.0630306
  7.94e-07          0.0628103
  7.95e-07          0.0626153
  7.96e-07          0.0624808
  7.97e-07          0.0624295
  7.98e-07          0.0622991
  7.99e-07          0.062259
  8e-07          0.0622236
  8.01e-07          0.0623962
  8.02e-07          0.0625391
  8.03e-07          0.0626904
  8.04e-07          0.0627693
  8.05e-07          0.0628955
  8.06e-07          0.0629626
  8.07e-07          0.0630111
  8.08e-07          0.0630901
  8.09e-07          0.0631742
  8.1e-07          0.0632615
  8.11e-07          0.0632977
  8.12e-07          0.0633744
  8.13e-07          0.0634451
  8.14e-07          0.0634672
  8.15e-07          0.0636701
  8.16e-07          0.0639276
  8.17e-07          0.064028
  8.18e-07          0.0641166
  8.19e-07          0.064185
  8.2e-07          0.0642644
  8.21e-07          0.0641727
  8.22e-07          0.0641339
  8.23e-07          0.0641158
  8.24e-07          0.064146
  8.25e-07          0.0640474
  8.26e-07          0.0639821
  8.27e-07          0.0638803
  8.28e-07          0.0637786
  8.29e-07          0.0636778
  8.3e-07          0.0635507
  8.31e-07          0.0634403
  8.32e-07          0.0634915
  8.33e-07          0.0634557
  8.34e-07          0.0633302
  8.35e-07          0.0632642
  8.36e-07          0.0632014
  8.37e-07          0.063149
  8.38e-07          0.0631206
  8.39e-07          0.0631218
  8.4e-07          0.0631136
  8.41e-07          0.0633116
  8.42e-07          0.0635143
  8.43e-07          0.0639229
  8.44e-07          0.0642712
  8.45e-07          0.0644073
  8.46e-07          0.0645443
  8.47e-07          0.0646251
  8.48e-07          0.0647162
  8.49e-07          0.0647913
  8.5e-07          0.0648855
  8.51e-07          0.0650576
  8.52e-07          0.065305
  8.53e-07          0.0655536
  8.54e-07          0.0658913
  8.55e-07          0.0662978
  8.56e-07          0.0665835
  8.57e-07          0.0668782
  8.58e-07          0.067104
  8.59e-07          0.0673597
  8.6e-07          0.0676647
  8.61e-07          0.0677519
  8.62e-07          0.0677336
  8.63e-07          0.0676897
  8.64e-07          0.0676322
  8.65e-07          0.0675865
  8.66e-07          0.0677687
  8.67e-07          0.0678253
  8.68e-07          0.0678566
  8.69e-07          0.0679495
  8.7e-07          0.0680511
  8.71e-07          0.0682929
  8.72e-07          0.0685584
  8.73e-07          0.0688279
  8.74e-07          0.0690752
  8.75e-07          0.0692668
  8.76e-07          0.0694873
  8.77e-07          0.06964
  8.78e-07          0.0698019
  8.79e-07          0.0699459
  8.8e-07          0.0701118
  8.81e-07          0.0700034
  8.82e-07          0.0699122
  8.83e-07          0.0698594
  8.84e-07          0.0697854
  8.85e-07          0.0697982
  8.86e-07          0.0698745
  8.87e-07          0.0697819
  8.88e-07          0.0696415
  8.89e-07          0.0694814
  8.9e-07          0.0692808
  8.91e-07          0.0692703
  8.92e-07          0.0692093
  8.93e-07          0.0691563
