#####################################################################
#  MagAO-X Filter Curve
#
# magaox_wfs-open_bs-65-35_atm.dat
#
# WFS bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  7.91272e-07 [central wavelength, in m]
#    w_eff:     2.96486e-07 [effective width, in m]
#    FWHM:      3.614e-07 [full-width at half max., in m]
#    Trans_max: 0.0878519 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134802 [W/m^3 above atm]
#    f_nu_0:     2552.65 [Jy above atm]
#    f_phot_0:   5.06099e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 1.21469e-07 [W at telescope aperture]
#    F_phot_0:   4.0064e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  5.98e-07          0
  5.99e-07          0.0106524
  6e-07          0.0282545
  6.01e-07          0.0338002
  6.02e-07          0.0352301
  6.03e-07          0.0370704
  6.04e-07          0.0384843
  6.05e-07          0.0397579
  6.06e-07          0.0411479
  6.07e-07          0.0425273
  6.08e-07          0.0436473
  6.09e-07          0.0447523
  6.1e-07          0.0461345
  6.11e-07          0.0474238
  6.12e-07          0.0490015
  6.13e-07          0.0502556
  6.14e-07          0.0515682
  6.15e-07          0.053231
  6.16e-07          0.0546931
  6.17e-07          0.0555212
  6.18e-07          0.0563796
  6.19e-07          0.0576213
  6.2e-07          0.0585383
  6.21e-07          0.0596771
  6.22e-07          0.0605933
  6.23e-07          0.0613195
  6.24e-07          0.0623439
  6.25e-07          0.0631104
  6.26e-07          0.0642402
  6.27e-07          0.0653698
  6.28e-07          0.0663616
  6.29e-07          0.0676588
  6.3e-07          0.068222
  6.31e-07          0.0690506
  6.32e-07          0.0697791
  6.33e-07          0.0704249
  6.34e-07          0.0712208
  6.35e-07          0.0722545
  6.36e-07          0.073065
  6.37e-07          0.0738022
  6.38e-07          0.0743791
  6.39e-07          0.0750746
  6.4e-07          0.0761504
  6.41e-07          0.0770021
  6.42e-07          0.077812
  6.43e-07          0.0784673
  6.44e-07          0.0791132
  6.45e-07          0.0797452
  6.46e-07          0.0803825
  6.47e-07          0.0806332
  6.48e-07          0.0810521
  6.49e-07          0.081659
  6.5e-07          0.0825132
  6.51e-07          0.0833525
  6.52e-07          0.0837171
  6.53e-07          0.0842397
  6.54e-07          0.0845096
  6.55e-07          0.0844062
  6.56e-07          0.0840419
  6.57e-07          0.0849728
  6.58e-07          0.0852049
