#####################################################################
#  MagAO-X Filter Curve
#
# magaox_wfs-open_bs-halpha-ir_atm.dat
#
# WFS bandpass with H-alpha/IR B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  8.36712e-07 [central wavelength, in m]
#    w_eff:     2.05131e-07 [effective width, in m]
#    FWHM:      2.16816e-07 [full-width at half max., in m]
#    Trans_max: 0.196214 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0106248 [W/m^3 above atm]
#    f_nu_0:     2386.53 [Jy above atm]
#    f_phot_0:   4.36837e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 6.62393e-08 [W at telescope aperture]
#    F_phot_0:   5.34373e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.99e-07          0
  5e-07          4.78207e-09
  5.01e-07          1.59859e-09
  5.02e-07          1.41966e-08
  5.03e-07          3.18793e-09
  5.04e-07          1.47273e-08
  5.05e-07          2.40862e-09
  5.06e-07          9.00634e-09
  5.07e-07          4.53893e-09
  5.08e-07          4.19658e-09
  5.09e-07          3.01246e-09
  5.1e-07          2.86414e-09
  5.11e-07          2.59052e-09
  5.12e-07          7.74871e-09
  5.13e-07          2.21968e-08
  5.14e-07          1.36038e-08
  5.15e-07          1.62297e-08
  5.16e-07          1.996e-08
  5.17e-07          6.05126e-09
  5.18e-07          2.82102e-09
  5.19e-07          1.938e-08
  5.2e-07          3.41432e-09
  5.21e-07          1.65313e-08
  5.22e-07          5.16239e-09
  5.23e-07          3.24952e-09
  5.24e-07          3.65914e-08
  5.25e-07          2.07718e-08
  5.26e-07          1.14475e-08
  5.27e-07          2.59399e-09
  5.28e-07          9.31032e-09
  5.29e-07          1.91083e-08
  5.3e-07          8.36658e-09
  5.31e-07          2.04194e-08
  5.32e-07          1.8589e-08
  5.33e-07          1.58899e-08
  5.34e-07          2.07601e-08
  5.35e-07          5.52625e-09
  5.36e-07          1.93405e-08
  5.37e-07          5.83739e-09
  5.38e-07          2.31943e-08
  5.39e-07          2.96831e-09
  5.4e-07          5.03793e-08
  5.41e-07          2.75773e-08
  5.42e-07          4.28273e-08
  5.43e-07          9.73802e-08
  5.44e-07          1.27318e-07
  5.45e-07          1.07166e-07
  5.46e-07          1.05236e-07
  5.47e-07          7.79564e-08
  5.48e-07          8.3805e-08
  5.49e-07          8.45574e-08
  5.5e-07          6.83097e-08
  5.51e-07          7.1872e-08
  5.52e-07          6.63985e-08
  5.53e-07          5.16643e-08
  5.54e-07          1.56794e-08
  5.55e-07          1.78319e-08
  5.56e-07          1.27525e-08
  5.57e-07          2.47444e-08
  5.58e-07          2.21229e-09
  5.59e-07          1.52947e-08
  5.6e-07          1.29684e-09
  5.61e-07          3.65177e-10
  5.62e-07          2.17241e-08
  5.63e-07          3.02804e-08
  5.64e-07          1.65127e-08
  5.65e-07          2.55732e-08
  5.66e-07          2.84729e-08
  5.67e-07          1.59524e-08
  5.68e-07          2.90069e-08
  5.69e-07          2.42133e-08
  5.7e-07          3.05311e-08
  5.71e-07          3.3019e-09
  5.72e-07          1.12125e-08
  5.73e-07          2.99225e-08
  5.74e-07          4.68967e-08
  5.75e-07          4.25613e-08
  5.76e-07          2.48394e-08
  5.77e-07          5.41102e-08
  5.78e-07          4.56821e-08
  5.79e-07          7.752e-09
  5.8e-07          8.49158e-08
  5.81e-07          3.3588e-08
  5.82e-07          6.96823e-09
  5.83e-07          5.24252e-08
  5.84e-07          5.96599e-08
  5.85e-07          6.90218e-08
  5.86e-07          5.03324e-08
  5.87e-07          2.08384e-08
  5.88e-07          5.63899e-08
  5.89e-07          5.27053e-08
  5.9e-07          4.53831e-08
  5.91e-07          7.66699e-08
  5.92e-07          1.10492e-07
  5.93e-07          3.73287e-07
  5.94e-07          2.33655e-06
  5.95e-07          2.24849e-05
  5.96e-07          0.000388224
  5.97e-07          0.00291142
  5.98e-07          0.00860402
  5.99e-07          0.0139686
  6e-07          0.0164451
  6.01e-07          0.0172741
  6.02e-07          0.0178114
  6.03e-07          0.0181386
  6.04e-07          0.0178891
  6.05e-07          0.0171622
  6.06e-07          0.0162856
  6.07e-07          0.0153429
  6.08e-07          0.0142514
  6.09e-07          0.0131112
  6.1e-07          0.0122417
  6.11e-07          0.0116938
  6.12e-07          0.0114141
  6.13e-07          0.0113087
  6.14e-07          0.0113573
  6.15e-07          0.0114528
  6.16e-07          0.0116896
  6.17e-07          0.0120049
  6.18e-07          0.0124851
  6.19e-07          0.0128994
  6.2e-07          0.0134449
  6.21e-07          0.0139125
  6.22e-07          0.0143194
  6.23e-07          0.014669
  6.24e-07          0.01499
  6.25e-07          0.0152638
  6.26e-07          0.015462
  6.27e-07          0.0155378
  6.28e-07          0.0154469
  6.29e-07          0.0154999
  6.3e-07          0.0154252
  6.31e-07          0.0154452
  6.32e-07          0.015475
  6.33e-07          0.015601
  6.34e-07          0.015706
  6.35e-07          0.0158016
  6.36e-07          0.0157389
  6.37e-07          0.0156034
  6.38e-07          0.0152669
  6.39e-07          0.0148928
  6.4e-07          0.0145434
  6.41e-07          0.0141823
  6.42e-07          0.0139506
  6.43e-07          0.0138396
  6.44e-07          0.0139806
  6.45e-07          0.014349
  6.46e-07          0.0149203
  6.47e-07          0.0156822
  6.48e-07          0.0165339
  6.49e-07          0.0173903
  6.5e-07          0.0181928
  6.51e-07          0.0187459
  6.52e-07          0.0190136
  6.53e-07          0.0190188
  6.54e-07          0.0186993
  6.55e-07          0.0182933
  6.56e-07          0.0176389
  6.57e-07          0.0173367
  6.58e-07          0.0169935
  6.59e-07          0.0167551
  6.6e-07          0.0166512
  6.61e-07          0.0166846
  6.62e-07          0.0167637
  6.63e-07          0.0168143
  6.64e-07          0.0168893
  6.65e-07          0.0168593
  6.66e-07          0.0166865
  6.67e-07          0.0164373
  6.68e-07          0.0161317
  6.69e-07          0.0158127
  6.7e-07          0.0155572
  6.71e-07          0.0153325
  6.72e-07          0.0152885
  6.73e-07          0.0153572
  6.74e-07          0.015535
  6.75e-07          0.0157973
  6.76e-07          0.0160546
  6.77e-07          0.0162842
  6.78e-07          0.0163685
  6.79e-07          0.0163379
  6.8e-07          0.0160672
  6.81e-07          0.0156538
  6.82e-07          0.0151114
  6.83e-07          0.014495
  6.84e-07          0.0138084
  6.85e-07          0.0131009
  6.86e-07          0.0125607
  6.87e-07          1.47249e-08
  6.88e-07          0.0116048
  6.89e-07          0.0114265
  6.9e-07          0.0112962
  6.91e-07          0.0111243
  6.92e-07          0.00759356
  6.93e-07          0.0108781
  6.94e-07          0.0106715
  6.95e-07          0.0104169
  6.96e-07          0.0101697
  6.97e-07          0.00988355
  6.98e-07          0.00958886
  6.99e-07          0.00933134
  7e-07          0.00895705
  7.01e-07          0.0089275
  7.02e-07          0.00880376
  7.03e-07          0.00869181
  7.04e-07          0.00864349
  7.05e-07          0.0085819
  7.06e-07          0.00858464
  7.07e-07          0.00862873
  7.08e-07          0.00864792
  7.09e-07          0.00862055
  7.1e-07          0.0086786
  7.11e-07          0.00885968
  7.12e-07          0.00891783
  7.13e-07          0.00898449
  7.14e-07          0.00915021
  7.15e-07          0.00937872
  7.16e-07          0.00952467
  7.17e-07          0.00885512
  7.18e-07          0.00975788
  7.19e-07          0.00986736
  7.2e-07          0.00981
  7.21e-07          0.0102275
  7.22e-07          0.00836069
  7.23e-07          0.0107954
  7.24e-07          0.0113582
  7.25e-07          0.0127943
  7.26e-07          0.0123216
  7.27e-07          0.0178912
  7.28e-07          0.0203797
  7.29e-07          0.0264932
  7.3e-07          0.034121
  7.31e-07          0.0413861
  7.32e-07          0.0478025
  7.33e-07          0.0580385
  7.34e-07          0.0669435
  7.35e-07          0.0739107
  7.36e-07          0.08513
  7.37e-07          0.0946453
  7.38e-07          0.103191
  7.39e-07          0.114102
  7.4e-07          0.123549
  7.41e-07          0.132228
  7.42e-07          0.140135
  7.43e-07          0.148505
  7.44e-07          0.154999
  7.45e-07          0.161235
  7.46e-07          0.166811
  7.47e-07          0.171369
  7.48e-07          0.175725
  7.49e-07          0.179563
  7.5e-07          0.182739
  7.51e-07          0.185529
  7.52e-07          0.187877
  7.53e-07          0.189521
  7.54e-07          0.190882
  7.55e-07          0.191619
  7.56e-07          0.192224
  7.57e-07          0.19229
  7.58e-07          0.192293
  7.59e-07          0.192035
  7.6e-07          0.166673
  7.61e-07          7.00344e-36
  7.62e-07          0.188783
  7.63e-07          0.110906
  7.64e-07          0.183381
  7.65e-07          0.186759
  7.66e-07          0.189626
  7.67e-07          0.189969
  7.68e-07          0.186929
  7.69e-07          0.18847
  7.7e-07          0.187654
  7.71e-07          0.186996
  7.72e-07          0.186413
  7.73e-07          0.186119
  7.74e-07          0.186104
  7.75e-07          0.18624
  7.76e-07          0.186353
  7.77e-07          0.186566
  7.78e-07          0.186698
  7.79e-07          0.1866
  7.8e-07          0.186485
  7.81e-07          0.186302
  7.82e-07          0.185855
  7.83e-07          0.185531
  7.84e-07          0.185314
  7.85e-07          0.184929
  7.86e-07          0.184624
  7.87e-07          0.184246
  7.88e-07          0.183846
  7.89e-07          0.183282
  7.9e-07          0.182483
  7.91e-07          0.181722
  7.92e-07          0.180423
  7.93e-07          0.179933
  7.94e-07          0.179247
  7.95e-07          0.17534
  7.96e-07          0.177524
  7.97e-07          0.177287
  7.98e-07          0.177445
  7.99e-07          0.177443
  8e-07          0.176882
  8.01e-07          0.172253
  8.02e-07          0.178019
  8.03e-07          0.159309
  8.04e-07          0.178227
  8.05e-07          0.179589
  8.06e-07          0.179879
  8.07e-07          0.179954
  8.08e-07          0.180485
  8.09e-07          0.180737
  8.1e-07          0.181012
  8.11e-07          0.172052
  8.12e-07          0.181383
  8.13e-07          0.181542
  8.14e-07          0.181402
  8.15e-07          0.180311
