M/Ms	Teff	L/Ls	g	R/Rs
0.01	1570	-3.87	4.05	0.156
0.015	2261	-3.08	4.06	0.189
0.02	2519	-2.67	3.96	0.244
0.03	2682	-2.43	4.01	0.283
0.04	2768	-2.35	4.11	0.292
0.05	2843	-2.23	4.14	0.315
0.06	2900	-2.15	4.16	0.335
0.07	2946	-2.06	4.18	0.358
0.072	2954	-2.04	4.18	0.363
0.075	2967	-2.02	4.18	0.369
0.08	2987	-1.98	4.17	0.383
0.09	3021	-1.91	4.18	0.405
0.1	3050	-1.87	4.2	0.416
0.11	3075	-1.82	4.2	0.435
0.13	3118	-1.72	4.2	0.475
0.15	3159	-1.64	4.2	0.509
0.17	3197	-1.56	4.2	0.544
0.2	3240	-1.47	4.2	0.587
0.3	3363	-1.23	4.21	0.713
0.4	3508	-1.05	4.23	0.805
0.5	3651	-0.91	4.25	0.88
0.6	3781	-0.79	4.27	0.942
0.7	3908	-0.67	4.28	1.005
0.8	4041	-0.57	4.29	1.064
0.9	4191	-0.46	4.29	1.121
1	4363	-0.34	4.29	1.189
1.1	4553	-0.21	4.28	1.259
1.2	4768	-0.07	4.26	1.347
1.3	5038	0.09	4.22	1.459
1.4	5363	0.29	4.16	1.624
