Mass	Teff	LogLum	Logg	Radius
0.01	2345	-2.7	3.57	0.271
0.015	2504	-2.42	3.59	0.326
0.02	2598	-2.25	3.6	0.372
0.03	2710	-1.98	3.58	0.467
0.04	2779	-1.81	3.58	0.536
0.05	2824	-1.65	3.54	0.628
0.06	2864	-1.53	3.52	0.702
0.072	2896	-1.39	3.49	0.803
0.075	2897	-1.36	3.48	0.829
0.08	2898	-1.31	3.45	0.877
0.09	2908	-1.23	3.43	0.959
0.1	2936	-1.17	3.44	1.002
0.2	3226	-0.66	3.38	1.503
0.3	3428	-0.48	3.49	1.636
0.4	3634	-0.32	3.55	1.753
0.5	3802	-0.18	3.59	1.87
0.6	3955	-0.07	3.63	1.971
0.7	4078	0.04	3.64	2.096
0.8	4192	0.13	3.66	2.2
0.9	4290	0.21	3.66	2.31
1	4377	0.28	3.67	2.416
1.1	4456	0.35	3.68	2.52
1.2	4529	0.41	3.68	2.612
1.3	4596	0.47	3.69	2.71
1.4	4658	0.52	3.69	2.797
