Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
V* AB Aur,ABAur,,Auriga,,73.94102499 30.55119258,II,Salyk 2013,2001-2011,9840,,A0,,5.94,4.23,6.96,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.75E+30,48,,2.39,,,,,1.26E-07,-6.9,,2.40E+00,,,,,0.5,,1,,,,,,,,,162.8664495
PDS 70 b,PDS 70 b,,Centaurus,,212.04231047 -41.39793796,II,Haffert 2019,,,,,,,,,R=1740 - 3450 spectroscopy,480-930nm,MUSE VLT,Line Width,10% width Ha,,,,,,,,,1.91E-11,,,1.00E-02,,,,,,,5.4,Companion,,,,,,,,
PDS 70 c,PDS 70 c,,Centaurus,,212.04231047 -41.39793796,II,Haffert 2019,,,,,,,,,R=1740 - 3450 spectroscopy,480-930nm,MUSE VLT,Line Width,10% width Ha,,,,,,,,,9.54E-12,,,4.20E-03,,,,,,,5.4,Companion,,,,,,,,
PDS 70 b,PDS 70 b,,Centaurus,,212.04231047 -41.39793796,II,Wagner 2018,,,,K7,,,,,,656nm,MagAO Magellan,Line Strength,Ha Line Strength,,,,,,0.10049,,,1.90E-12,,,6.68E-03,,,,,,,5,Companion,3,,,,,,,
PDS 70 b ,PDS 70 b ,,Centaurus,,212.04231047 -41.39793796,II,Aoyama 2019,,,,,,,,,narrowed down from Haffert and Wagner,,,,,,,,,,,,,3.82E-11,,,1.15E-02,,,,,,,5.4,,,,,,,,,
PDS 70 c,PDS 70 c,,Centaurus,,212.04231047 -41.39793796,II,Aoyama 2019,,,,,,,,,narrowed down from Haffert and Wagner,,,,,,,,,,,,,9.54E-12,,,9.54E-03,,,,,,,5.4,,,,,,,,,
2MASS J11013205-7718249,2M J11013205-7718249,,Chamaeleon I,,165.3833 -77.3069,II,Muzerolle 2005,30-Dec-03,2710,,M8,,14.63,13.54,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.3,,0.3,,,,3.50E-02,,0.025752,,,,,2,,0,,"Luhman+2007 , converted from A_j",,,,,173.1301939
2MASS J11011926-7732383,2MASS J11011926-7732383,,Chamaeleon I,,165.330275 -77.543976,III,Muzerolle 2005,30-Dec-03,2838,,M7.25,,13.1,11.63,19.4,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.59,,0.28,1.00E-12,-12,,5.00E-02,,0.034934,,,,,2,,1.59,,"Luhman+2007 , converted from A_j",,upper limit,disk classification from Luhman et al. 2008,,184.9078235
2MASS J11070324-7610565,2MASS J11070324-7610565,,Chamaeleon I,,166.763507 -76.182381,III,Muzerolle 2005,30-Dec-03,2990,,M6,,13.85,12.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.43,,0.3,1.00E-12,-12,,7.00E-02,,0.057198,,,,,2,,0.39,,"Luhman+2007 , converted from A_j",,upper limit,disk classification from Luhman et al. 2008,,201.8530106
[NC98] Cha HA 1,,,Chamaeleon I,,166.8208 -77.5983,II,Muzerolle 2005,30-Dec-03,2752,,M7.75,,13.34,12.17,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.5,,,5.01E-12,-11.3,,3.50E-02,,,,,,,2,,0.2,,Natta+ 2004,,,,corrected coordinates from SIMBAD (original: 166.5708 -77.5981   ),196.8039046
