Sixth Catalog of Orbits of Visual Binary Stars: Orbits																																	
RA(2000).	DEC(2000)	WDS.......	DD............	ADS..	HD....	HIP...	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee	E.EEEEEE	e.eeeeee	OOO.OOOO	eee.eeee	EQNX	LAST	G	N	REF.....	PNGFILE...........
0.91	-192955.8	00000-1930	LTT 9831		224690	2	9				499.7989	d	18.8466	14.31	m	2.81	118.06	5.05	77.28	5.2	48397.3164	d	10.1805	0		0			1991	9	n	HIP1997d	wds00000-1930r.png
19.1	-441726	00003-4417	I  1477		224750	25	6.8		7.56		384.1	y	22.5	1.023	a	0.096	75.3	2.4	141.6	1.9	2008.2	y	14.9	0.703	0.056	246.5	3.1	2000	2001	5		Cve2010e	wds00003-4417a.png
123.67	393638.2	00014+3937	HLD  60	17178	224873	110	9.09		9.77		223.2	y	12.2	0.8798	a	0.0039	128.3	2.8	324.7	2.2	1903.08	y	1.28	0.6479	0.0123	325.7	3.8	2000	2009	3	n	Hrt2011a	wds00014+3937k.png
208.72	-681650.6	00021-6817	I   699AB		224953	169	9.71		10.56		290	y		2.738	a		57.7		117.8		1884.54	y		0.65		207.1		2000	2000	5		Zir2013d	wds00021-6817b.png
210.18	270455.6	00022+2705	BU  733AB	17175	224930	171	5.83		8.9		26.28	y		0.83	a		49		290		1989.4	y		0.38		96		2000		2	n	Sod1999	wds00022+2705a.png
225.33	104635.9	00024+1047	A  1249AB	17180	224994	190	9.37		9.91		129.72	y		0.366	a		97.2		59.4		1989.44	y		0.046		231.4		2000	1995	4	n	Zir2003	wds00024+1047a.png
238.92	-82916.6	00026-0829	A   428	4	225015	210	9.82		10.07		414.95	y	20.96	0.505	a	0.021	111.9	1.2	192.2	2	2005.35	y	2.47	0.503	0.013	226.8	4.2	2000	2014	4	n	Tok2015c	wds00026-0829o.png
247.14	20749.4	00028+0208	BU  281AB	9	225028	223	7.4		9.36		1117	y		3.14	a		108.5		149.9		2077.5	y		0.639		55.7		2000	2014	5		Lin2015a	wds00028+0208o.png
436.6	420533.2	00046+4206	"CHR 122Aa,Ab"	30	225218	365	6				70.12	y	5.41	0.165	a	0.008	104.8	0.6	100.6	0.6	2050.07	y	0.96	0.515	0.027	295.1	4.4	2000	1996	4	n	Cve2008a	wds00046+4206b.png
440.09	341554.7	00047+3416	STF3056AB	32	225220	374	7.72		8.08		545	y		0.623	a		99.4		136.4		2142	y		0.67		119.6		2000	2009	4		Zir2015a	wds00047+3416i.png
446.86	381025.2	00048+3810	BU  862	34		385	10.02		10.18		403	y		0.74	a		40		43		1942	y		0.68		198.8			1984	4	n	Cou1986b	wds00048+3810a.png
520.15	-54228.2	00053-0542	33 Psc		28	443	4.63				72.93	d		4.57	m	1.08	35.97	37.26	66.3	25.28	48319.3281	d	5.0119	0.272		337.71			1991	9	n	HIP1997d	wds00053-0542r.png
529.06	340620.4	00055+3406	HU 1201AB	51	39	461	8.2		9.76		47.06	y		0.138	a		91.5		128.1		1983.89	y		0.651		23.9		2000	1998	3	n	Zir2003	wds00055+3406a.png
541.03	454843.3	00057+4549	STT 547AB	48	38	473	8.98		9.15		1550.637	y		11.7613	a		56.68		175.14		1970.438	y		0.4973		349.37		2000	1994	4	n	Pop1996b	wds00057+4549a.png
541.03	454843.3	00057+4549	STT 547AB	48	38	473	8.98		9.15		509.65	y	96.99	6.21	a	0.77	54.9	2.4	13.5	2.3	2115.8	y	123.47	0.22	0.04	267.2	27.4			4	n	Kiy2001	wds00057+4549b.png
541.03	454843.3	00057+4549	STT 547AF	48	38	473	8.98		10.19		830.37	c		205.1	a		75.9		74.3		26357	y		0.81		345.6				5	n	Kiy2001	wds00057+4549c.png
615.81	582612.5	00063+5826	STF3062	61	123	518	6.42		7.32		106.7	y		1.44	a		45		221		1943.1	y		0.45		277		2000		2	n	Sod1999	wds00063+5826a.png
823.17	290527	00084+2905	"MKT  11Aa,Ab"	94	358	677	2.22		4.21		96.7015	d	0.0044	24	m	0.13	105.6	0.23	284.4	0.21	47374.563	d	0.095	0.535	0.0046	257.4	0.31			2	n	Pbx2000b	wds00084+2905a.png
828.39	345604.3	00085+3456	HDS  17		375	689	8.27		8.31		12.81	y		0.09	a		150.9		57		2006.3	y		0.527		173.8		2000	2007	2		Cve2010c	wds00085+3456a.png
850.82	864716.3	00088+8647	NLTT 324		245	705	8.37				71.55	d		2.5	m	0.7	142.3	17.6	26.6	12.7	46405.92	d		0.221		140.8		2000		9	n	Ren2013	wds00088+8647f.png
902.35	-540007.1	00090-5400	HDO 181		469	730	6.74		8.07		256.86	y		0.585	a		140.5		152.6		1981.09	y		0.514		23.3		2000	1991	5	n	USN2001	wds00090-5400c.png
902.35	-540007.1	00090-5400	HDO 181		469	730	6.74		8.07		221	y	78	0.42	a	0.13	154.1	14	161.6	9	1978.71	y	1.9	0.406	0.12	25.3	11	2000	1999	4	n	Ary2002b	wds00090-5400b.png
915.63	251656.3	00093+2517	NLTT 403		471	754	7.77				483	d	13	9.8	m	2.8	74	10	169	16	48565	d	74	0.22	0.31	112	46		1991	9		Gln2007	wds00093+2517r.png
920.18	794252.4	00093+7943	STF   2	102	431	760	6.68		6.89		540	y		0.995	a		110.1		171.2		1887.5	y		0.715		333.7		2000		3	n	Hei1997	wds00093+7943a.png
921.02	-275916.5	00094-2759	BU  391AB	111	493	761	6.13		6.24		616.04	y		1.5	a		98.98		81.75		2095.68	y		0.103		256.86		2000	2006	5		Zir2010	wds00094-2759a.png
927.98	190656.5	00095+1907	COU 247		489	768	8.29		9.98		159.51	y		0.543	a		137		21.1		2005.8	y		0.309		103.4		2000	2010	5		Doc2012i	wds00095+1907g.png
950.08	-334720.6	00098-3347	SEE   3		546	794	9.56		9.74		406	y		1.119	a		41.7		267.7		1978.45	y		0.85		77.6		2000	2008	5	n	Hrt2010a	wds00098-3347a.png
1005.26	382453.6	00101+3825	"HDS  23Da,Db"			823	11.42		12.85		31.408	y	1.222	0.1309	a	0.003	134.8	8.7	93.7	12.3	2006.277	y	1.013	0.856	0.219	311.2	17.4	2000	2004	4		Cve2014	wds00101+3825a.png
1038.56	-731327.7	00106-7313	I    43AB		661	865	6.97		8.55		1637.7	y	84	2.762	a	0.177	95.6	1.8	172.8	5.3	2187.8	y	86.3	0.487	0.036	13.9	2.6	2000	1996	5		Cve2010e	wds00106-7313a.png
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		462.7	y		0.14	a		0.3		31					0.9		344			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		58.8	y		0.05	a		0.4		33					0.9		14			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		117.9	y		0.1	a		70		48					0.31		300			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		206.3	y		0.17	a		70		243					0.69		63			2003	7	n	SKW2005	
1150.13	282524	00118+2825	BU  255	147	744	956	7.88		8.97		245	y		0.661	a		116		166.1		2067.2	y		0.96		265.4		2000	2008	4		Zir2015a	wds00118+2825i.png
1208.05	533726.1	00121+5337	BU 1026AB	148	761	981	7.25		8.46		66.84	y	0.17	0.2514	a	0.0055	42.77	0.84	254.9	1.2	1986.542	y	0.029	0.8282	0.0058	255.2	1.1	2000		2	n	Hrt1996a	wds00121+5337a.png
1210.31	464629.7	00122+4647	A   802	149	764	984	9.7		10.35		269.52	y		0.26	a		108.8		125.6		1972.51	y		0.511		266.6		2000	1991	5	n	Msn2001c	wds00122+4647a.png
1230.12	143349.3	00125+1434	LN Peg			999	8.59				1251.355	d	88.1887	18.39	m	1.24	81.27	5.77	118.04	4.23	48480.625	d	16.4729	0		0			1991	9	n	HIP1997d	wds00125+1434r.png
1233.15	-114134.7	00126-1142	RST3343		821	1005	8.98		8.98		187.8	y		0.277	a		42		88.9		2058.25	y		0.164		272.5		2000	2008	5		Doc2013g	wds00126-1142b.png
1323.93	265915.4	00134+2659	STT   2AB	161	895	1076	6.77		7.67		421.98	y	7.92	0.641	a	0.003	124.1	0.9	193	0.7	1969.97	y	0.28	0.72	0.004	286.1	0.6	2000	2005	3	n	Hrt2008	wds00134+2659b.png
1420.22	-273151.9	00143-2732	HDS  33		1002	1144	7.93		8.88		10.22	y	0.07	0.124	a	0.002	28.4	2.5	215.3	5.3	2013.47	y	0.04	0.609	0.009	80	4.3	2000	2014	2		Tok2015c	wds00143-2732o.png
1453.43	-320910	00149-3209	B  1024		1078	1190	8.66		8.9		1466	y	356	1.586	a	0.266	110.4	0.4	126	0.6	1926.38	y	1.07	0.814	0.032	311.8	3.1	2000	2008	5		Lin2012a	wds00149-3209k.png
1509.8	272345.1	00152+2722	J   868	195			12.42		12.62		1089	y	153	8.48	a	1.06	75.2	2.5	68.9	3.1	1725	y	147	0.367	0.37	352.8	19.4	2000	2006	5		Nov2007b	wds00152+2722b.png
1517.83	441212.2	00153+4412	A  1256AB	197	1082	1233	7.3		7.5		330	y		0.29	a		73.8		64.3		1995.5	y		0.715		78.1		2000	1991	4		USN2002	wds00153+4412b.png
1517.83	441212.2	00153+4412	A  1256AB	197	1082	1233	7.3		7.5		137.958	y	1.657	0.1527	a	0.0008	62.9	0.3	68.4	1	1997.78	y	0.12	0.7238	0.0096	118.14	0.02	2000	1991	3		Ole2003d	wds00153+4412k.png
1527.67	-160756.3	00155-1608	HEI 299		1242	1242	11		11.4		4.55	y	0.002	0.306	a	0.002	145.6	1.3	60.8	1.4	1995.363	y	0.016	0.36	0.005	344.5	2.2	2000	2014	2	n	Tok2015c	wds00155-1608o.png
1614.02	765703	00162+7657	STF  13	207	1141	1296	7.03		7.12		971.444	y		0.9873	a		135.8		89.4		2770.589	y		0.4095		285.2			1996	4	n	Ole2001	wds00162+7657a.png
1644.54	362929.4	00167+3629	STT   4	221	1224	1336	7.94		9.88		108.9	y		0.35	a		162.5		10.8		1907.9	y		0.56		356.3			1999	2	n	Alz2000a	wds00167+3629a.png
1653.59	-523905.7	00169-5239	GJ 13		1273	1349	6.85				411.4	d		20.98	m	0.56	74.7	2.1	352.3	3.3	34233.3	d		0.57		4.7			1992	9	n	Jnc2005	wds00169-5239s.png
1705.54	384054	00171+3841	CHR 123		1280	1366	4.61				1033	d	84	25	m	22	69	15	263	103	48587	d	243	0.95	0.22	89	102		1993	9	n	Gln2006	wds00171+3841s.png
1705.54	384054	00171+3841	CHR 123		1280	1366	4.61				1006	d	95	12	m	6	63	10	294	94	48621	d	327	0.62	0.28	70	96		1993	9	n	Gln2006	wds00171+3841r.png
1724.5	85234.8	00174+0853	A  1803AB	238	1317	1392	8.38		7.78		35.66	y		0.189	a		95.4		124.1		1950.7	y		0.002		282		2000	2008	2	n	Hrt2010a	wds00174+0853b.png
1814.7	725648.4	00182+7257	A   803	243	1360	1461	8.1		8.76		247.63	y	5.08	0.367	a	0.026	68.6	1.3	151.2	1.1	2053.72	y	3.7	0.392	0.035	243	5.3	2000	1998	4	n	Cve2006e	wds00182+7257b.png
1822.88	440122.6	00184+4401	GRB  34AB	246	1326	1475	8.31	v	11.36	v	1253	y	259	26.73	a	3.54	46	11	243	25	2327	y	81	0.59	0.19	331	32	2000	2011	5	n	PkO2014c	wds00184+4401o.png
2018.38	-324608.9	00203-3246	B  1025		1620	1625	8.83		10.64		126.11	y		0.609	a		109.1		167.2		1920.97	y		0.544		283.5		2000	2010	4	n	Hrt2012a	wds00203-3246k.png
2033	453032.2	00205+4531	A   647	277	1614	1642	7.17		9.56		372.7	y		0.947	a		122		39.4		1876.01	y		0.292		136.8		2000	2006	5		Pru2008	wds00205+4531c.png
2038.21	121839.8	00206+1219	BU 1015	281	1634	1646	8.39		9.67		137	y		0.333	a		35		291.2		1961.65	y		0.557		10		2000	2008	2	n	Hrt2010a	wds00206+1219a.png
2054.1	325840.9	00209+3259	AC    1	285	1641	1669	7.27		8.26		525	y		1.234	a		84		107.5		1820.1	y		0.6		26.8		2000	2012	4		Zir2015a	wds00209+3259i.png
2054.59	105836.8	00209+1059	BU 1093	287	1663	1670	6.73		8.55		471	y		0.545	a		42.4		132.3		1844.26	y		0.517		181.6		2000	2005	5		Lin2010c	wds00209+1059b.png
2057.23	674003	00210+6740	HJ 1018	283	1624	1674	8.57		8.89		161	y		1	a		88		87		1941	y		0.89		202		2000		4	n	Sod1999	wds00210+6740a.png
2122.17	670019.5	00214+6700	STT   6AB	293	1658	1700	7.54		8.77		335.385	y		0.3935	a		128.3		149		1928.76	y		0.9424		182.7			1997	4	n	Ole2001	wds00214+6700a.png
2223.47	-270153.8	00224-2702	GJ 9011		1815	1768	8.33				1150	d	40	40	m	2.2	47	4	93	93	49225	d	272	0.07	0.08	117	64		1991	9		Gln2007	wds00224-2702r.png
2415.64	520111.7	00243+5201	HU  506	328	1976	1921	5.95		6.84		169.29	y		0.214	a		64.8		30.1		1955.06	y		0.163		311.8		2000	2004	3	n	Doc2005b	wds00243+5201a.png
2444.24	-270826.5	00247-2653	LEI   1BC				18.69		19.07		17.24	y	0.01	0.4578	a	0.0011	61.82	0.06	14.65	0.05	54145	d	1.1	0.0227	0.35	217.01	0.06	2000	2008	2	n	Koh2012	wds00247-2653c.png
2444.25	-270827.9	00247-2653	"LEI   1A,BC"				15.4		18.69		44.4	y	7.2	1.1116	a	0.001	54.75	0.5	26.8	0.08	59727.9	d	3.4	0.52	0.0016	147.61	4.25	2000	2008	4	n	Koh2012	wds00247-2653d.png
2444.31	-510235.7	00247-5103	CD-51   95		2070	1955	6.82				115.3	d		4.68	m	0.25	108	7.5	299	8.3	35627.6	d		0.33		18.7			1992	9		Jnc2005	wds00247-5103r.png
2508.5	480250.9	00251+4803	HDS  56AB		2057	1987	7.72		10.63		28.05	y	0.46	0.23	a	0.008	164	3.8	96.1	16.2	1999.29	y	0.55	0.481	0.058	358.9	15.7	2000	2007	3		Cve2011a	wds00251+4803a.png
2616.87	-421818.4	00262-4217	alp Phe		2261	2081	2.37				3848.8	d		103.5	m	8.2	128	5.4	242.8	3.9	16201.8	d		0.34		19.8			1992	9	n	Jnc2005	wds00262-4217s.png
2707.77	-75233.6	00271-0753	A   431AB	363	2333	2143	8.84		8.95		53.56	y		0.364	a		109		25.5		2003.58	y		0.644		293		2000	2013	2	n	Sca2015a	wds00271-0753i.png
