Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
0.91	-192955.8	00000-1930	LTT 9831	224690	9				499.7989	d	18.8466	14.31	m	2.81	118.06	5.05	77.28	5.2	48397.3164	d	10.1805
19.1	-441726	00003-4417	I  1477	224750	6.8		7.56		384.1	y	22.5	1.023	a	0.096	75.3	2.4	141.6	1.9	2008.2	y	14.9
123.67	393638.2	00014+3937	HLD  60	224873	9.09		9.77		223.2	y	12.2	0.8798	a	0.0039	128.3	2.8	324.7	2.2	1903.08	y	1.28
208.72	-681650.6	00021-6817	I   699AB	224953	9.71		10.56		290	y		2.738	a		57.7		117.8		1884.54	y	
210.18	270455.6	00022+2705	BU  733AB	224930	5.83		8.9		26.28	y		0.83	a		49		290		1989.4	y	
225.33	104635.9	00024+1047	A  1249AB	224994	9.37		9.91		129.72	y		0.366	a		97.2		59.4		1989.44	y	
238.92	-82916.6	00026-0829	A   428	225015	9.82		10.07		414.95	y	20.96	0.505	a	0.021	111.9	1.2	192.2	2	2005.35	y	2.47
247.14	20749.4	00028+0208	BU  281AB	225028	7.4		9.36		1117	y		3.14	a		108.5		149.9		2077.5	y	
436.6	420533.2	00046+4206	CHR 122Aa Ab	225218	6				70.12	y	5.41	0.165	a	0.008	104.8	0.6	100.6	0.6	2050.07	y	0.96
440.09	341554.7	00047+3416	STF3056AB	225220	7.72		8.08		545	y		0.623	a		99.4		136.4		2142	y	
446.86	381025.2	00048+3810	BU  862		10.02		10.18		403	y		0.74	a		40		43		1942	y	
520.15	-54228.2	00053-0542	33 Psc	28	4.63				72.93	d		4.57	m	1.08	35.97	37.26	66.3	25.28	48319.3281	d	5.0119
